epoch,train_contrastive,train_kl,train_loss,train_reconstruction,val_kl,val_loss,val_reconstruction
1.0,0.0,24.186044974760577,73.32330816442317,72.59772673520175,13.619413375854492,66.61166381835938,66.20307922363281
2.0,0.0,19.427534623579547,62.97190631519664,62.389080394398086,23.281402587890625,62.496421813964844,61.79798126220703
3.0,0.0,27.35419797897339,59.920626466924496,59.10000072826039,31.206933975219727,58.68717575073242,57.75096893310547
4.0,0.0,36.33012650229714,56.18038689006459,55.09048366546631,39.49916458129883,54.987144470214844,53.80216979980469
5.0,0.0,42.195335301485926,53.62417654557662,52.35831659490412,44.486026763916016,53.01420593261719,51.67962646484375
6.0,0.0,47.4829795143821,51.57443384690718,50.14994456551292,49.30082702636719,50.571990966796875,49.09296798706055
7.0,0.0,52.364932493730024,49.54178021170876,47.97083247791637,54.10723876953125,48.64239501953125,47.0191764831543
8.0,0.0,56.44610370289195,47.735048120672054,46.041664990511805,57.336151123046875,47.367122650146484,45.647037506103516
9.0,0.0,59.145694732666016,46.382497267289594,44.60812638022683,60.39915466308594,46.44672775268555,44.6347541809082
10.0,0.0,60.59682837399569,45.16939839449796,43.35149357535622,60.86758041381836,45.581356048583984,43.75532913208008
11.0,0.0,60.5491607839411,44.148006265813656,42.33153169805353,59.154579162597656,44.91851043701172,43.14387130737305
12.0,0.0,60.11237257177179,43.04558537223122,41.24221420288086,59.10134506225586,43.97203063964844,42.19898986816406
13.0,0.0,59.91575674577193,42.015609394420274,40.21813678741455,59.21430587768555,43.32950210571289,41.55307388305664
14.0,0.0,59.627592433582656,40.978180625221945,39.18935290249911,58.577518463134766,42.45317840576172,40.69585418701172
15.0,0.0,59.14497678930109,40.0443642356179,38.270015022971414,57.08824157714844,41.850948333740234,40.138301849365234
16.0,0.0,58.65236395055597,39.12525255029852,37.36568173495206,57.256507873535156,41.149147033691406,39.43144989013672
17.0,0.0,58.56203261288729,38.326337640935726,36.569476561112836,56.93867492675781,40.40497589111328,38.696815490722656
18.0,0.0,58.406651583584875,37.50203817540949,35.74983856894753,58.285789489746094,40.137657165527344,38.38908386230469
19.0,0.0,58.303453185341574,36.71104214408181,34.96193859793923,57.580604553222656,39.34829330444336,37.62087631225586
20.0,0.0,57.78442816300826,36.0262428630482,34.29271004416726,57.02138900756836,39.10191345214844,37.391273498535156
21.0,0.0,57.53768825531006,35.32170867919922,33.59557810696688,57.04535675048828,38.712589263916016,37.00122833251953
22.0,0.0,57.23943337527189,35.22790865464644,33.51072549819946,56.625614166259766,38.04766845703125,36.348899841308594
23.0,0.0,57.331169388510965,34.14260335402055,32.42266845703125,56.737030029296875,37.67827224731445,35.97616195678711
24.0,0.0,57.17565415122292,33.47689229791815,31.761622602289375,56.74630355834961,37.35546112060547,35.653072357177734
25.0,0.0,57.066353277726606,32.95538460124623,31.243393941359088,56.47026062011719,36.79203796386719,35.097930908203125
26.0,0.0,56.575032927773215,32.36758279800415,30.670331608165394,55.69374465942383,36.72364044189453,35.05282974243164
