scenario,input_rows,included_rows,person_trips_unscaled,vehicle_trips_unscaled,scale,vehicle_trips_scaled,road_modes
real,111808,35507,5547769.98799401,4624121.65538717,0.047145039912,218004.4,positive_occupancy
synthetic,110880,21640,21640.0,18167.03333333,12.0,218004.4,positive_occupancy
