LOCATION_ID,COUNTY_DESC,ROADNAME,ID_PREFIX,ID_RTE_NO,ID_MP,BEGIN_SECTION,END_SECTION,STATION_DESC,ROAD_SECTION,RURAL_URBAN,F_SYSTEM,F_SYSTEM_DESC,MAIN_LINE,PEAK_HOUR_DIRECTION,NUM_LANES,COUNTED_FACTORED,K_FACTOR,D_FACTOR,NORTH_EAST_SPLIT,SOUTH_WEST_SPLIT,AADT_2017,AADT_2018,AAWDT_2017,AAWDT_2018,AADT,AAWDT,TRUCK_AADT,LINK,longitude,latitude,station_class,is_mainline,is_ramp,candidate_reason,candidate_for_tract_screenline_seed
S2012150872,Montgomery,Adelphi Rd,CO,4542.0,0.04,0.0,0.1,Adelphi Rd - Between Md 650 & Sierra St,New Hampshire Ave To Mt Pisgah Rd,Urban,4.0,Minor Arterial,1.0,West,5.0,F,7.34,53.35,48.62,51.38,21405.0,21900.0,22905.0,23430.0,21901.0,23221.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2012150872,-76.97824265575771,39.01125456647754,S,True,False,montgomery_dc_spatial;pg_montgomery_spatial,True
S2012150918,Montgomery,Cedar Ave,MU,30.0,0.07,0.0,0.575,Cedar Ave - .10 Mi South Of Md 355,S Frederick Rd To W Deer Park Rd,Urban,5.0,Major Collector,1.0,South,2.0,F,8.12,63.11,41.43,58.57,2075.0,2270.0,2205.0,2410.0,2271.0,2501.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2012150918,-77.19729294628844,39.13902181165452,S,True,False,,False
B020063,Anne Arundel,Sappington Station Rd,MD,32.0,0.75,0.44,1.0,Md32aa-.10 Mi W Of S Burns Crossing Rd,N Burns Station Rd To Md 175,Urban,5.0,Major Collector,1.0,West,2.0,F,9.54,59.27,42.43,57.57,12850.0,12731.0,13620.0,13501.0,12732.0,14012.0,492.0,https://maps.roads.maryland.gov/itms_public/?stationid=B020063,-76.68063532963795,39.07992295432136,B,True,False,,False
S2017150268,Montgomery,Diamondback Dr,CO,6166.0,0.1,0.0,0.7,Diamondback Dr - .10 Mile North Ofmd 28,Md 28 To Diamondback Dr (ahead),Urban,6.0,Minor Collector,1.0,North,3.0,F,13.1,53.64,45.5,54.5,3970.0,3931.0,4210.0,4171.0,3932.0,4332.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2017150268,-77.20206940633342,39.10648709143226,S,True,False,montgomery_dc_spatial,True
S2008130001,Howard,No Name,IS,95.0,0.1,0.0,0.73,Is 95k - Entrance To Is 95 North Welcome Center,Is 95 To Is 95,Urban,7.0,Local,1.0,North,1.0,C,7.98,100.0,100.0,0.0,2002.0,1983.0,2122.0,2103.0,2370.0,2610.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2008130001,-76.84735938548606,39.13913825701736,S,True,False,,False
S2012150896,Montgomery,Wintergate Dr,CO,6328.0,0.08,0.0,0.46,Wintergate Dr - .10 Mi South Of Md 28,Norbeck Rd To Longmead Crossing Dr,Urban,5.0,Major Collector,1.0,North,2.0,F,7.01,50.4,50.91,49.09,3345.0,3280.0,3555.0,3480.0,3281.0,3611.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2012150896,-77.0584744133444,39.11149524925764,S,True,False,montgomery_dc_spatial;pg_montgomery_spatial,True
S2012150796,Montgomery,Weller Rd,CO,1564.0,0.49,0.0,1.25,Weller Rd - Between Md 97 & Flack St,Woodedge Rd To Md 185,Urban,6.0,Minor Collector,1.0,North,2.0,F,10.52,59.72,50.98,49.02,4425.0,4370.0,4695.0,4630.0,4371.0,4811.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2012150796,-77.06016583771815,39.06648903144367,S,True,False,montgomery_dc_spatial;pg_montgomery_spatial,True
S2012150676,Montgomery,Emory La,CO,137.0,1.68,0.39,1.74,Emory La - .10 Mile East Of Md 115,Cashell Rd To Md 115,Urban,6.0,Minor Collector,1.0,East,2.0,F,12.69,74.36,48.67,51.33,6025.0,5860.0,6395.0,6210.0,5861.0,6451.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2012150676,-77.09870247644538,39.117085000884025,S,True,False,montgomery_dc_spatial;pg_montgomery_spatial,True
B2788,Montgomery,Layhill Rd,MD,182.0,4.512,4.412,5.838,Md182-.10 Mi N Of Md28/norbeck Rd,Md 28 To Norwood Rd,Urban,4.0,Minor Arterial,1.0,North,3.0,F,9.33,67.93,50.67,49.33,9490.0,9411.0,10150.0,10071.0,9812.0,9982.0,,https://maps.roads.maryland.gov/itms_public/?stationid=B2788,-77.03251119720495,39.12153971778955,B,True,False,pg_montgomery_spatial,True
S2005020032,Anne Arundel,Ramp 1 Fr Md 175 Nb To Md 32 Wb,RP,32.0,0.1,0.0,0.26,Exit 6 Ramp 1 Fr Md 175 Nb To Md 32 Wb,Exit 6  Ramp 01 Annapolis Rd To No Name,Urban,2.0,Principal Arterial Other Freeways and Expressways,2.0,North,1.0,F,15.5,100.0,100.0,0.0,5965.0,6280.0,6385.0,6720.0,6281.0,6661.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2005020032,-76.71782112496007,39.09412867119439,S,False,True,,False
