matsim_link_id,count_link_id,direction
mdot_aadt_S2010030157_37_fwd,mdot_aadt_S2010030157_37,fwd
mdot_aadt_S2010030157_37_rev,mdot_aadt_S2010030157_37,rev
mdot_aadt_V2013000129_38_fwd,mdot_aadt_V2013000129_38,fwd
mdot_aadt_V2013000129_38_rev,mdot_aadt_V2013000129_38,rev
mdot_aadt_S2006030057_39_fwd,mdot_aadt_S2006030057_39,fwd
mdot_aadt_S2006030057_39_rev,mdot_aadt_S2006030057_39,rev
mdot_aadt_S2001030011_40_fwd,mdot_aadt_S2001030011_40,fwd
mdot_aadt_S2001030011_40_rev,mdot_aadt_S2001030011_40,rev
mdot_aadt_B0711_41_fwd,mdot_aadt_B0711_41,fwd
mdot_aadt_B0711_41_rev,mdot_aadt_B0711_41,rev
mdot_aadt_V2017000911_42_fwd,mdot_aadt_V2017000911_42,fwd
mdot_aadt_V2017000911_42_rev,mdot_aadt_V2017000911_42,rev
mdot_aadt_V2013000109_43_fwd,mdot_aadt_V2013000109_43,fwd
mdot_aadt_V2013000109_43_rev,mdot_aadt_V2013000109_43,rev
mdot_aadt_V2016000898_44_fwd,mdot_aadt_V2016000898_44,fwd
mdot_aadt_V2016000898_44_rev,mdot_aadt_V2016000898_44,rev
mdot_aadt_S2017010209_45_fwd,mdot_aadt_S2017010209_45,fwd
mdot_aadt_S2017010209_45_rev,mdot_aadt_S2017010209_45,rev
mdot_aadt_S2011031012_46_fwd,mdot_aadt_S2011031012_46,fwd
mdot_aadt_S2011031012_46_rev,mdot_aadt_S2011031012_46,rev
mdot_aadt_B060073_47_fwd,mdot_aadt_B060073_47,fwd
mdot_aadt_B060073_47_rev,mdot_aadt_B060073_47,rev
mdot_aadt_S2000020036_48_fwd,mdot_aadt_S2000020036_48,fwd
mdot_aadt_S2000020036_48_rev,mdot_aadt_S2000020036_48,rev
mdot_aadt_S2000030157_49_fwd,mdot_aadt_S2000030157_49,fwd
mdot_aadt_S2000030157_49_rev,mdot_aadt_S2000030157_49,rev
mdot_aadt_S1999030134_50_fwd,mdot_aadt_S1999030134_50,fwd
mdot_aadt_S1999030134_50_rev,mdot_aadt_S1999030134_50,rev
mdot_aadt_S2004020049_51_fwd,mdot_aadt_S2004020049_51,fwd
mdot_aadt_S2004020049_51_rev,mdot_aadt_S2004020049_51,rev
mdot_aadt_V2013000177_52_fwd,mdot_aadt_V2013000177_52,fwd
mdot_aadt_V2013000177_52_rev,mdot_aadt_V2013000177_52,rev
mdot_aadt_S2004020027_53_fwd,mdot_aadt_S2004020027_53,fwd
mdot_aadt_S2004020027_53_rev,mdot_aadt_S2004020027_53,rev
mdot_aadt_S2001030127_54_fwd,mdot_aadt_S2001030127_54,fwd
mdot_aadt_S2001030127_54_rev,mdot_aadt_S2001030127_54,rev
mdot_aadt_S2000020111_55_fwd,mdot_aadt_S2000020111_55,fwd
mdot_aadt_S2000020111_55_rev,mdot_aadt_S2000020111_55,rev
mdot_aadt_S2012030011_56_fwd,mdot_aadt_S2012030011_56,fwd
mdot_aadt_S2012030011_56_rev,mdot_aadt_S2012030011_56,rev
mdot_aadt_S2018010233_57_fwd,mdot_aadt_S2018010233_57,fwd
mdot_aadt_S2018010233_57_rev,mdot_aadt_S2018010233_57,rev
mdot_aadt_B0966_58_fwd,mdot_aadt_B0966_58,fwd
mdot_aadt_B0966_58_rev,mdot_aadt_B0966_58,rev
mdot_aadt_B1340_59_fwd,mdot_aadt_B1340_59,fwd
mdot_aadt_B1340_59_rev,mdot_aadt_B1340_59,rev
mdot_aadt_B030008_60_fwd,mdot_aadt_B030008_60,fwd
mdot_aadt_B030008_60_rev,mdot_aadt_B030008_60,rev
mdot_aadt_B1113_61_fwd,mdot_aadt_B1113_61,fwd
mdot_aadt_B1113_61_rev,mdot_aadt_B1113_61,rev
mdot_aadt_B0583_62_fwd,mdot_aadt_B0583_62,fwd
mdot_aadt_B0583_62_rev,mdot_aadt_B0583_62,rev
mdot_aadt_S2010010054_63_fwd,mdot_aadt_S2010010054_63,fwd
mdot_aadt_S2010010054_63_rev,mdot_aadt_S2010010054_63,rev
mdot_aadt_B010050_64_fwd,mdot_aadt_B010050_64,fwd
mdot_aadt_B010050_64_rev,mdot_aadt_B010050_64,rev
mdot_aadt_V2013000149_65_fwd,mdot_aadt_V2013000149_65,fwd
mdot_aadt_V2013000149_65_rev,mdot_aadt_V2013000149_65,rev
mdot_aadt_S2011020855_66_fwd,mdot_aadt_S2011020855_66,fwd
mdot_aadt_S2011020855_66_rev,mdot_aadt_S2011020855_66,rev
mdot_aadt_B070021_67_fwd,mdot_aadt_B070021_67,fwd
mdot_aadt_B070021_67_rev,mdot_aadt_B070021_67,rev
mdot_aadt_S2011031015_68_fwd,mdot_aadt_S2011031015_68,fwd
mdot_aadt_S2011031015_68_rev,mdot_aadt_S2011031015_68,rev
mdot_aadt_S2005030045_69_fwd,mdot_aadt_S2005030045_69,fwd
mdot_aadt_S2005030045_69_rev,mdot_aadt_S2005030045_69,rev
mdot_aadt_S2011031026_70_fwd,mdot_aadt_S2011031026_70,fwd
mdot_aadt_S2011031026_70_rev,mdot_aadt_S2011031026_70,rev
mdot_aadt_B1449_71_fwd,mdot_aadt_B1449_71,fwd
mdot_aadt_B1449_71_rev,mdot_aadt_B1449_71,rev
mdot_aadt_S2011030937_72_fwd,mdot_aadt_S2011030937_72,fwd
mdot_aadt_S2011030937_72_rev,mdot_aadt_S2011030937_72,rev
mdot_aadt_B010039_73_fwd,mdot_aadt_B010039_73,fwd
mdot_aadt_B010039_73_rev,mdot_aadt_B010039_73,rev
mdot_aadt_S2012030051_74_fwd,mdot_aadt_S2012030051_74,fwd
mdot_aadt_S2012030051_74_rev,mdot_aadt_S2012030051_74,rev
mdot_aadt_B1331_75_fwd,mdot_aadt_B1331_75,fwd
mdot_aadt_B1331_75_rev,mdot_aadt_B1331_75,rev
mdot_aadt_S2009030080_76_fwd,mdot_aadt_S2009030080_76,fwd
mdot_aadt_S2009030080_76_rev,mdot_aadt_S2009030080_76,rev
mdot_aadt_S2012030185_77_fwd,mdot_aadt_S2012030185_77,fwd
mdot_aadt_S2012030185_77_rev,mdot_aadt_S2012030185_77,rev
mdot_aadt_B0544_78_fwd,mdot_aadt_B0544_78,fwd
mdot_aadt_B0544_78_rev,mdot_aadt_B0544_78,rev
mdot_aadt_S2010020049_79_fwd,mdot_aadt_S2010020049_79,fwd
mdot_aadt_S2010020049_79_rev,mdot_aadt_S2010020049_79,rev
mdot_aadt_V2013000007_80_fwd,mdot_aadt_V2013000007_80,fwd
mdot_aadt_V2013000007_80_rev,mdot_aadt_V2013000007_80,rev
mdot_aadt_S2011030958_81_fwd,mdot_aadt_S2011030958_81,fwd
mdot_aadt_S2011030958_81_rev,mdot_aadt_S2011030958_81,rev
mdot_aadt_S2000020002_82_fwd,mdot_aadt_S2000020002_82,fwd
mdot_aadt_S2000020002_82_rev,mdot_aadt_S2000020002_82,rev
mdot_aadt_B020094_83_fwd,mdot_aadt_B020094_83,fwd
mdot_aadt_B020094_83_rev,mdot_aadt_B020094_83,rev
mdot_aadt_V2013000306_84_fwd,mdot_aadt_V2013000306_84,fwd
mdot_aadt_V2013000306_84_rev,mdot_aadt_V2013000306_84,rev
mdot_aadt_B020046_85_fwd,mdot_aadt_B020046_85,fwd
mdot_aadt_B020046_85_rev,mdot_aadt_B020046_85,rev
mdot_aadt_S2011090568_86_fwd,mdot_aadt_S2011090568_86,fwd
mdot_aadt_S2011090568_86_rev,mdot_aadt_S2011090568_86,rev
mdot_aadt_S2012030068_87_fwd,mdot_aadt_S2012030068_87,fwd
mdot_aadt_S2012030068_87_rev,mdot_aadt_S2012030068_87,rev
mdot_aadt_B1431_88_fwd,mdot_aadt_B1431_88,fwd
mdot_aadt_B1431_88_rev,mdot_aadt_B1431_88,rev
mdot_aadt_B1206_89_fwd,mdot_aadt_B1206_89,fwd
mdot_aadt_B1206_89_rev,mdot_aadt_B1206_89,rev
mdot_aadt_S2008030011_90_fwd,mdot_aadt_S2008030011_90,fwd
mdot_aadt_S2008030011_90_rev,mdot_aadt_S2008030011_90,rev
mdot_aadt_S2011020843_91_fwd,mdot_aadt_S2011020843_91,fwd
mdot_aadt_S2011020843_91_rev,mdot_aadt_S2011020843_91,rev
mdot_aadt_S2006010041_92_fwd,mdot_aadt_S2006010041_92,fwd
mdot_aadt_S2006010041_92_rev,mdot_aadt_S2006010041_92,rev
mdot_aadt_S2017030279_93_fwd,mdot_aadt_S2017030279_93,fwd
mdot_aadt_S2017030279_93_rev,mdot_aadt_S2017030279_93,rev
mdot_aadt_S2012021514_94_fwd,mdot_aadt_S2012021514_94,fwd
mdot_aadt_S2012021514_94_rev,mdot_aadt_S2012021514_94,rev
mdot_aadt_B070009_95_fwd,mdot_aadt_B070009_95,fwd
mdot_aadt_B070009_95_rev,mdot_aadt_B070009_95,rev
mdot_aadt_S2007020018_96_fwd,mdot_aadt_S2007020018_96,fwd
mdot_aadt_S2007020018_96_rev,mdot_aadt_S2007020018_96,rev
mdot_aadt_B1976_97_fwd,mdot_aadt_B1976_97,fwd
mdot_aadt_B1976_97_rev,mdot_aadt_B1976_97,rev
mdot_aadt_S2015030252_98_fwd,mdot_aadt_S2015030252_98,fwd
mdot_aadt_S2015030252_98_rev,mdot_aadt_S2015030252_98,rev
mdot_aadt_S1998020079_99_fwd,mdot_aadt_S1998020079_99,fwd
mdot_aadt_S1998020079_99_rev,mdot_aadt_S1998020079_99,rev
mdot_aadt_B1437_100_fwd,mdot_aadt_B1437_100,fwd
mdot_aadt_B1437_100_rev,mdot_aadt_B1437_100,rev
mdot_aadt_V2013000189_101_fwd,mdot_aadt_V2013000189_101,fwd
mdot_aadt_V2013000189_101_rev,mdot_aadt_V2013000189_101,rev
mdot_aadt_B0699_102_fwd,mdot_aadt_B0699_102,fwd
mdot_aadt_B0699_102_rev,mdot_aadt_B0699_102,rev
mdot_aadt_B2514_103_fwd,mdot_aadt_B2514_103,fwd
mdot_aadt_B2514_103_rev,mdot_aadt_B2514_103,rev
mdot_aadt_S2004020004_104_fwd,mdot_aadt_S2004020004_104,fwd
mdot_aadt_S2004020004_104_rev,mdot_aadt_S2004020004_104,rev
mdot_aadt_B1019_105_fwd,mdot_aadt_B1019_105,fwd
mdot_aadt_B1019_105_rev,mdot_aadt_B1019_105,rev
mdot_aadt_S2010010014_106_fwd,mdot_aadt_S2010010014_106,fwd
mdot_aadt_S2010010014_106_rev,mdot_aadt_S2010010014_106,rev
mdot_aadt_S2011031016_107_fwd,mdot_aadt_S2011031016_107,fwd
mdot_aadt_S2011031016_107_rev,mdot_aadt_S2011031016_107,rev
mdot_aadt_V2013000284_108_fwd,mdot_aadt_V2013000284_108,fwd
mdot_aadt_V2013000284_108_rev,mdot_aadt_V2013000284_108,rev
mdot_aadt_V2013000039_109_fwd,mdot_aadt_V2013000039_109,fwd
mdot_aadt_V2013000039_109_rev,mdot_aadt_V2013000039_109,rev
mdot_aadt_B1197_110_fwd,mdot_aadt_B1197_110,fwd
mdot_aadt_B1197_110_rev,mdot_aadt_B1197_110,rev
mdot_aadt_S2011030463_111_fwd,mdot_aadt_S2011030463_111,fwd
mdot_aadt_S2011030463_111_rev,mdot_aadt_S2011030463_111,rev
mdot_aadt_S2004020041_112_fwd,mdot_aadt_S2004020041_112,fwd
mdot_aadt_S2004020041_112_rev,mdot_aadt_S2004020041_112,rev
mdot_aadt_V2013000168_113_fwd,mdot_aadt_V2013000168_113,fwd
mdot_aadt_V2013000168_113_rev,mdot_aadt_V2013000168_113,rev
mdot_aadt_B020111_114_fwd,mdot_aadt_B020111_114,fwd
mdot_aadt_B020111_114_rev,mdot_aadt_B020111_114,rev
mdot_aadt_V2013000297_115_fwd,mdot_aadt_V2013000297_115,fwd
mdot_aadt_V2013000297_115_rev,mdot_aadt_V2013000297_115,rev
mdot_aadt_S2010020089_116_fwd,mdot_aadt_S2010020089_116,fwd
mdot_aadt_S2010020089_116_rev,mdot_aadt_S2010020089_116,rev
mdot_aadt_B1091_117_fwd,mdot_aadt_B1091_117,fwd
mdot_aadt_B1091_117_rev,mdot_aadt_B1091_117,rev
mdot_aadt_S2012030034_118_fwd,mdot_aadt_S2012030034_118,fwd
mdot_aadt_S2012030034_118_rev,mdot_aadt_S2012030034_118,rev
mdot_aadt_S2017040319_119_fwd,mdot_aadt_S2017040319_119,fwd
mdot_aadt_S2017040319_119_rev,mdot_aadt_S2017040319_119,rev
mdot_aadt_S2012031537_120_fwd,mdot_aadt_S2012031537_120,fwd
mdot_aadt_S2012031537_120_rev,mdot_aadt_S2012031537_120,rev
mdot_aadt_B0920_121_fwd,mdot_aadt_B0920_121,fwd
mdot_aadt_B0920_121_rev,mdot_aadt_B0920_121,rev
mdot_aadt_S2010020078_122_fwd,mdot_aadt_S2010020078_122,fwd
mdot_aadt_S2010020078_122_rev,mdot_aadt_S2010020078_122,rev
mdot_aadt_B0691_123_fwd,mdot_aadt_B0691_123,fwd
mdot_aadt_B0691_123_rev,mdot_aadt_B0691_123,rev
mdot_aadt_S2011020864_124_fwd,mdot_aadt_S2011020864_124,fwd
mdot_aadt_S2011020864_124_rev,mdot_aadt_S2011020864_124,rev
mdot_aadt_B1654_125_fwd,mdot_aadt_B1654_125,fwd
mdot_aadt_B1654_125_rev,mdot_aadt_B1654_125,rev
mdot_aadt_V2013000111_126_fwd,mdot_aadt_V2013000111_126,fwd
mdot_aadt_V2013000111_126_rev,mdot_aadt_V2013000111_126,rev
mdot_aadt_S2013040191_127_fwd,mdot_aadt_S2013040191_127,fwd
mdot_aadt_S2013040191_127_rev,mdot_aadt_S2013040191_127,rev
mdot_aadt_S2000020130_128_fwd,mdot_aadt_S2000020130_128,fwd
mdot_aadt_S2000020130_128_rev,mdot_aadt_S2000020130_128,rev
mdot_aadt_S2006030058_129_fwd,mdot_aadt_S2006030058_129,fwd
mdot_aadt_S2006030058_129_rev,mdot_aadt_S2006030058_129,rev
mdot_aadt_B030082_130_fwd,mdot_aadt_B030082_130,fwd
mdot_aadt_B030082_130_rev,mdot_aadt_B030082_130,rev
