taz,x,y,lon,lat,out_sr,state,stfips,cntyfips,fipsstco,region
973,-76.95930502,38.97207910,-76.95930502,38.97207910,4326,Maryland,24,33,24033,TPB Modeled Region
974,-76.96077759,38.96475318,-76.96077759,38.96475318,4326,Maryland,24,33,24033,TPB Modeled Region
975,-76.96785631,38.97659605,-76.96785631,38.97659605,4326,Maryland,24,33,24033,TPB Modeled Region
976,-76.95974326,38.97673587,-76.95974326,38.97673587,4326,Maryland,24,33,24033,TPB Modeled Region
977,-76.95950877,38.98210059,-76.95950877,38.98210059,4326,Maryland,24,33,24033,TPB Modeled Region
978,-76.95148312,38.96969890,-76.95148312,38.96969890,4326,Maryland,24,33,24033,TPB Modeled Region
979,-76.94329791,38.96936469,-76.94329791,38.96936469,4326,Maryland,24,33,24033,TPB Modeled Region
980,-76.94663545,38.97809358,-76.94663545,38.97809358,4326,Maryland,24,33,24033,TPB Modeled Region
981,-76.93294327,38.98229459,-76.93294327,38.98229459,4326,Maryland,24,33,24033,TPB Modeled Region
982,-76.93380944,38.97536935,-76.93380944,38.97536935,4326,Maryland,24,33,24033,TPB Modeled Region
983,-76.92817503,38.97042791,-76.92817503,38.97042791,4326,Maryland,24,33,24033,TPB Modeled Region
984,-76.92991898,38.96464674,-76.92991898,38.96464674,4326,Maryland,24,33,24033,TPB Modeled Region
985,-76.93535305,38.96940077,-76.93535305,38.96940077,4326,Maryland,24,33,24033,TPB Modeled Region
986,-76.94297932,38.96260877,-76.94297932,38.96260877,4326,Maryland,24,33,24033,TPB Modeled Region
987,-76.93812424,38.95950921,-76.93812424,38.95950921,4326,Maryland,24,33,24033,TPB Modeled Region
988,-76.93470644,38.95659094,-76.93470644,38.95659094,4326,Maryland,24,33,24033,TPB Modeled Region
989,-76.92995350,38.95650391,-76.92995350,38.95650391,4326,Maryland,24,33,24033,TPB Modeled Region
990,-76.92633909,38.95489096,-76.92633909,38.95489096,4326,Maryland,24,33,24033,TPB Modeled Region
991,-76.92329027,38.94817806,-76.92329027,38.94817806,4326,Maryland,24,33,24033,TPB Modeled Region
992,-76.91363112,38.95700933,-76.91363112,38.95700933,4326,Maryland,24,33,24033,TPB Modeled Region
993,-76.91195878,38.96496061,-76.91195878,38.96496061,4326,Maryland,24,33,24033,TPB Modeled Region
994,-76.91979719,38.96657814,-76.91979719,38.96657814,4326,Maryland,24,33,24033,TPB Modeled Region
995,-76.92350911,38.97278754,-76.92350911,38.97278754,4326,Maryland,24,33,24033,TPB Modeled Region
996,-76.92220191,38.98257477,-76.92220191,38.98257477,4326,Maryland,24,33,24033,TPB Modeled Region
997,-76.91531785,38.98083134,-76.91531785,38.98083134,4326,Maryland,24,33,24033,TPB Modeled Region
998,-76.90584713,38.97007983,-76.90584713,38.97007983,4326,Maryland,24,33,24033,TPB Modeled Region
999,-76.88937844,38.98133191,-76.88937844,38.98133191,4326,Maryland,24,33,24033,TPB Modeled Region
1000,-76.88171615,38.97931286,-76.88171615,38.97931286,4326,Maryland,24,33,24033,TPB Modeled Region
1001,-76.89035043,38.96790091,-76.89035043,38.96790091,4326,Maryland,24,33,24033,TPB Modeled Region
1002,-76.88546699,38.95827399,-76.88546699,38.95827399,4326,Maryland,24,33,24033,TPB Modeled Region
1003,-76.87935727,38.94868281,-76.87935727,38.94868281,4326,Maryland,24,33,24033,TPB Modeled Region
1004,-76.89718573,38.95437079,-76.89718573,38.95437079,4326,Maryland,24,33,24033,TPB Modeled Region
1005,-76.90282315,38.94811912,-76.90282315,38.94811912,4326,Maryland,24,33,24033,TPB Modeled Region
1006,-76.91476691,38.94776636,-76.91476691,38.94776636,4326,Maryland,24,33,24033,TPB Modeled Region
1007,-76.91897183,38.94264787,-76.91897183,38.94264787,4326,Maryland,24,33,24033,TPB Modeled Region
