scenario,source_row,o_tpb_taz,d_tpb_taz,o_activity,d_activity,departure_time_min,travel_mode,vehicle_occupancy,person_weight,vehicle_weight_unscaled,vehicle_weight
real,111054,1951,200,1,2,720,4,1,137.00000000,137.00000000,9.75724358
real,111055,200,1951,2,1,1225,4,1,137.00000000,137.00000000,9.75724358
real,111056,1500,1475,1,18,625,4,1,31.00000000,31.00000000,2.20784344
real,111057,1475,1458,18,5,870,4,1,31.00000000,31.00000000,2.20784344
real,111058,1458,1500,5,1,880,4,1,31.00000000,31.00000000,2.20784344
real,111059,384,386,1,2,705,4,1,115.00000000,115.00000000,8.19038695
real,111063,525,685,2,8,905,4,1,115.00000000,115.00000000,8.19038695
real,111064,685,686,8,7,925,4,1,115.00000000,115.00000000,8.19038695
real,111065,686,687,7,5,950,4,1,115.00000000,115.00000000,8.19038695
real,111066,687,384,5,1,1005,4,1,115.00000000,115.00000000,8.19038695
real,111073,384,1506,1,7,1110,4,2,115.00000000,57.50000000,4.09519348
real,111074,1506,384,7,1,1230,4,2,115.00000000,57.50000000,4.09519348
real,111075,3089,3099,1,16,885,4,1,91.24851917,91.24851917,6.49878853
real,111076,3099,3100,16,6,915,4,2,91.24851917,45.62425959,3.24939426
real,111077,3100,3099,6,11,925,4,2,91.24851917,45.62425959,3.24939426
real,111078,3099,3096,11,5,975,4,1,91.24851917,91.24851917,6.49878853
