epoch,loss,numeric_loss,categorical_loss,kl_loss,learning_rate
1.0,2.530123794459861,1.1548057250236268,1.302202318357006,7.311574636120774,0.001
2.0,2.3871630729605617,1.110645788989655,1.2749192273780092,0.1598065280478839,0.001
3.0,2.3741855033456463,1.1032120479296332,1.2708353332188576,0.013813101373970101,0.001
4.0,2.372801901542977,1.1029296193493012,1.2698372988940374,0.003498625214377495,0.001
5.0,2.3741305636488685,1.103630003863818,1.2704788027288707,0.0021753007111237404,0.001
6.0,2.370893198605542,1.1026841026462921,1.2681914241346595,0.0017661505514866413,0.001
7.0,2.379478945579703,1.1110478345661947,1.2684162621084414,0.0014854636142715028,0.001
8.0,2.3798093436515493,1.1103554201997035,1.2694418141831,0.0012116209642651181,0.001
9.0,2.377763964814138,1.109175100718459,1.2685781113088948,0.0010743578327139286,0.001
10.0,2.371306028540276,1.1024294675213018,1.2688679031041115,0.0008649152698799049,0.001
11.0,2.3708678968420855,1.1012073619180618,1.2696534683715264,0.0007061103545448245,0.001
12.0,2.3775507282448687,1.1088208186027666,1.2687237496789732,0.0006157873851166333,0.001
13.0,2.3770031907242726,1.108220599557711,1.2687776682039373,0.0004921033725963234,0.001
14.0,2.372574004952766,1.1034954220192617,1.269074385568976,0.0004203836579773082,0.001
15.0,2.3705246187236213,1.1029589998123308,1.2675620083395205,0.0003611437841339811,0.001
16.0,2.373750512458418,1.105532357681832,1.2682156383174739,0.0002525214853507284,0.001
17.0,2.370894111999094,1.1020254383892774,1.2688664018291316,0.00022750415987564786,0.001
18.0,2.37097392343495,1.102640328886302,1.2683319005792,0.00017031736455439935,0.001
19.0,2.369462970184953,1.1017247435709112,1.2677367506506236,0.00014713216789883293,0.001
20.0,2.3730317664473026,1.1049460466593912,1.2680844226384271,0.00012955508979869854,0.001
21.0,2.3729118233946362,1.1044447683308223,1.2684662445495118,7.942076633576959e-05,0.001
22.0,2.375267259606488,1.106647191526683,1.2686193528240675,7.11312917801105e-05,0.001
23.0,2.370672718030677,1.1028101825278644,1.2678620662863396,4.8466664857893424e-05,0.001
24.0,2.3713447884337544,1.102769688656341,1.268574726636007,3.81456420364307e-05,0.001
25.0,2.3702941931546007,1.102667403547731,1.2676264581070642,3.4928141035815725e-05,0.001
26.0,2.3774606103766454,1.1088606516520183,1.2685995537396435,3.659487680689385e-05,0.001
27.0,2.3733255917623164,1.1047342373355884,1.2685911366928657,1.566607010500696e-05,0.001
28.0,2.370669178766747,1.102023535667489,1.2686453992373323,1.742971430156012e-05,0.001
29.0,2.3782103399163512,1.1093334612781054,1.2688766140916032,2.145131676950594e-05,0.001
30.0,2.3790750666840434,1.1106331353862535,1.2684417587437042,1.6717415015907165e-05,0.001
31.0,2.3643437999568575,1.0964461086003203,1.267897634745733,1.1242803152090844e-05,0.001
32.0,2.3757639693342933,1.1076194037041163,1.2681445471227986,1.060440039816876e-05,0.001
33.0,2.3701018764548105,1.1021597004372234,1.267942136825492,1.1002086122066036e-05,0.001
34.0,2.374748118936199,1.1062584494891232,1.2684896291663112,1.0490966777892127e-05,0.001
35.0,2.3722842632363377,1.1028553652981101,1.2694288720823315,9.655088022505156e-06,0.001
36.0,2.370666857723776,1.1024795041236704,1.268187349789763,8.264115409748565e-06,0.001
37.0,2.369175051989621,1.1014949388155655,1.2676800337011955,1.1835049531639438e-05,0.001
38.0,2.3752699584177095,1.1080509859677319,1.2672189691839697,7.477786521661626e-06,0.001
39.0,2.37140023762777,1.1032216363845895,1.268178604509188,7.1970120786804045e-06,0.001
40.0,2.3723520263689295,1.105084893910308,1.2672669571828625,1.751549688665426e-05,0.001
41.0,2.3743165617119777,1.1059069285109706,1.2684094900409926,1.4761437291968359e-05,0.001
42.0,2.370197974383559,1.1020561315153288,1.2681414754423377,3.7756230833036e-05,0.001
43.0,2.370375173821297,1.1027220400501059,1.2676530123845626,1.4379814760328895e-05,0.001
44.0,2.377664964493007,1.1092115167069108,1.2684531162862909,3.2336981452458756e-05,0.001
45.0,2.3698418662972647,1.1010466280593176,1.2687945790486792,6.50276718065823e-05,0.001
46.0,2.372602607561573,1.1036165457337959,1.268326114301812,0.06599542840259558,0.001
47.0,2.371897791074291,1.1043349896391776,1.2675590161319192,0.0003778535749637798,0.001
48.0,2.370271250537541,1.1030420369753555,1.267226934977318,0.00022697561019425575,0.001
49.0,2.349021851744282,1.0811801266996828,1.263630878979757,0.42108440261863633,0.001
50.0,1.9966010143767754,0.8650250766919628,1.0688189771621739,6.275695996741726,0.001
51.0,1.8575596461013026,0.7929691979874215,0.977800676267441,8.678976919008717,0.001
52.0,1.7984592773054289,0.7441526003624206,0.954603923782366,9.970275314975547,0.001
53.0,1.736261274172291,0.6877850109039376,0.9354005722694745,11.307569098799195,0.001
54.0,1.6773055171313351,0.6307999910829274,0.9183676732729559,12.813785727165605,0.001
55.0,1.622339195856765,0.5814133185774224,0.9011732617469683,13.975262132409501,0.001
56.0,1.587392002480215,0.5529536890656981,0.8866688837743786,14.776942723417935,0.001
57.0,1.566055015886211,0.53846586090789,0.8744604886938993,15.31286746072987,0.001
58.0,1.5466737975812939,0.5243306941093375,0.864287470573704,15.805564196686767,0.001
59.0,1.5281447052411292,0.5114637411892686,0.8535252262468207,16.31557416262692,0.001
60.0,1.5057713816699372,0.4947801806611013,0.8432995127216322,16.769169206488623,0.001
61.0,1.485922284866577,0.47805360327028246,0.8336914775034064,17.417720890480634,0.001
62.0,1.4664500799353264,0.46377788368425416,0.8223760737676055,18.029613041986615,0.001
63.0,1.447769353923188,0.45014062183632697,0.8112696692279485,18.63590734298915,0.001
64.0,1.4286498555309697,0.43503423994534635,0.8011859470306466,19.242967736231137,0.001
65.0,1.4093648717827993,0.4195545805643683,0.7910310827433791,19.877920812667778,0.001
