epoch,train_contrastive,train_kl,train_loss,train_reconstruction,val_kl,val_loss,val_reconstruction
1.0,0.05547149585221301,24.388643849979747,73.27096748352051,72.52544030276212,15.456353187561035,66.56586456298828,66.1021728515625
2.0,0.02261223070408133,20.172201676802203,62.8892128684304,62.27839391881769,23.857749938964844,62.800689697265625,62.084957122802734
3.0,0.010492019746875898,29.46661307594993,59.17110035636208,58.28447922793302,34.28205108642578,57.869728088378906,56.84126663208008
4.0,0.005586784301241013,38.839001482183285,55.383747274225406,54.21718068556352,41.07600784301758,54.178123474121094,52.94584274291992
5.0,0.004780070110097189,43.6396392475475,53.14051047238436,51.83012598211115,44.43091583251953,52.090675354003906,50.757747650146484
6.0,0.003942400830882517,48.94978852705522,50.982644601301715,49.51316564733332,50.217769622802734,49.88257598876953,48.376041412353516
7.0,0.003302784848280928,54.00466554815119,48.96066596291282,47.33970069885254,54.584388732910156,48.31709671020508,46.6795654296875
8.0,0.002962605567352677,57.35981889204545,47.425719087774105,45.704184011979535,56.93836975097656,47.213836669921875,45.50568389892578
9.0,0.0027425997752950275,59.54425768418746,46.193167513067074,44.40615437247536,59.98344421386719,46.283023834228516,44.4835205078125
10.0,0.0024828033744018862,60.40311839363792,45.00846706737172,43.19575309753418,59.236698150634766,45.28532409667969,43.50822448730469
11.0,0.002374256820820103,60.690481272610754,43.86906051635742,42.047752206975765,60.505218505859375,44.69286346435547,42.877708435058594
12.0,0.002172118534376337,60.48209580508146,42.81627446954901,41.001268646933816,59.26198959350586,43.742069244384766,41.964210510253906
13.0,0.0019315966293850745,60.157369353554465,41.74387324940074,39.93866929140958,60.079986572265625,43.14282989501953,41.340431213378906
14.0,0.0018214326674668964,59.450434164567426,40.716927008195356,38.93295868960294,58.85342025756836,42.31725311279297,40.55165100097656
15.0,0.001702704990748316,59.06413667852228,39.729301019148394,37.956951574845746,57.43022155761719,41.487876892089844,39.76496887207031
16.0,0.0015498484717682004,58.77053078738126,38.86901239915328,37.10550941120494,57.442138671875,40.75727844238281,39.03401565551758
17.0,0.00156066426478157,58.849599924954504,37.98687518726695,36.22099720348012,57.438026428222656,40.036949157714844,38.31380844116211
18.0,0.0015172012155579234,58.93085419047963,37.14365881139582,35.375353899869054,58.21525955200195,39.678985595703125,37.93252944946289
19.0,0.0015413446023806252,58.8770301992243,36.38118483803489,34.614488861777566,58.36789321899414,39.052513122558594,37.301475524902344
20.0,0.0015595282999459994,58.89766805822199,35.68315384604714,33.91583451357755,57.84385299682617,38.46979522705078,36.73447799682617
21.0,0.0016005347900896925,58.76772525093772,34.95631972226229,33.19288791309703,58.13763427734375,38.14896774291992,36.40483856201172
22.0,0.0015700182676399973,58.71270101720636,34.931143500588156,33.169370131059125,57.42222213745117,37.57926559448242,35.856597900390625
23.0,0.0015358147793449461,58.47683134945956,33.76614102450284,32.0114522413774,57.57110595703125,37.46336364746094,35.736228942871094
24.0,0.0015469068153337998,58.196148352189496,33.23337962410667,31.487108490683816,57.776153564453125,36.87710189819336,35.14381790161133
25.0,0.0015511537838557904,57.921586296775125,32.60671485554088,30.86867974021218,57.023685455322266,36.57372283935547,34.863014221191406
26.0,0.0014650321020533077,57.481679396195844,32.07556429776278,30.350747671994295,56.5816764831543,36.214271545410156,34.516822814941406
27.0,0.0014569616548463025,57.15251359072599,31.565796288576994,29.850856911052357,56.160987854003906,35.883426666259766,34.1985969543457
28.0,0.0013907338884151118,56.72709439017556,31.008120926943693,29.305960655212402,55.61207580566406,35.48366928100586,33.8153076171875
29.0,0.0013764204049948603,56.48490532961759,30.538358384912666,28.843467235565186,56.515098571777344,35.542076110839844,33.846622467041016
30.0,0.0013108368042263794,56.425524018027566,29.980082381855357,28.28698912533847,55.20193862915039,34.7445182800293,33.08845901489258
31.0,0.0012722373437348076,56.057579647410996,29.529252832586113,27.847207502885297,55.510406494140625,34.46599578857422,32.800682067871094
32.0,0.0012255188432225789,56.085491613908246,29.097785169428047,27.414914044466887,55.27143859863281,34.122554779052734,32.464412689208984
33.0,0.0012091950259425423,55.666503472761676,28.67491236600009,27.004614873365924,54.92959213256836,33.83780288696289,32.18991470336914
34.0,0.0012037077064054426,55.47485117478804,28.180991866371848,26.516445246609774,55.19960021972656,33.60490798950195,31.94892120361328
35.0,0.0011925415191481907,55.41974986683238,27.86074009808627,26.197849490425803,54.936668395996094,33.54768371582031,31.89958381652832
36.0,0.0012033717913172122,55.23943346196955,27.437606811523438,25.780123017051004,54.63285827636719,33.09431838989258,31.455333709716797
37.0,0.0012570632666624574,55.30808396772905,27.08586393703114,25.426307288083162,54.426876068115234,32.8388786315918,31.206073760986328
38.0,0.0012304648831063373,55.00330786271529,26.717886794697154,25.06748004393144,54.65140151977539,32.62885665893555,30.989315032958984
39.0,0.001229648028542711,55.011347423900254,26.371016459031537,24.720368775454435,54.352333068847656,32.5960578918457,30.96548843383789
