pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
act_14---act_16	14	9	36	7	12	0	0	0	0	0	0	0	1
act_14---act_18	0	0	6	9	0	9	0	0	0	0	0	0	0
act_14---act_2	7	8	8	0	5	0	0	0	0	0	0	0	0
act_14---act_3	0	0	12	0	13	0	0	0	0	0	0	0	0
act_14---act_4	0	4	0	0	1	0	0	0	0	0	0	0	0
act_14---act_5	60	70	76	13	2	8	7	0	6	6	8	0	0
act_14---act_6	9	22	12	2	13	0	0	0	0	0	0	0	0
act_14---act_7	56	60	52	9	6	4	0	0	0	0	0	0	0
act_14---act_8	11	18	0	6	4	5	0	5	0	0	0	0	0
act_14---act_9	7	0	0	7	0	0	0	0	0	0	0	0	0
act_15---act_1	32	99	109	36	23	31	16	5	3	0	12	3	0
act_15---act_11	3	7	0	0	0	0	0	0	0	0	0	0	0
act_15---act_12	0	2	0	0	0	0	0	0	0	0	0	0	0
act_15---act_13	5	0	0	0	0	0	0	0	0	0	0	0	0
act_15---act_14	0	0	2	0	0	0	0	0	0	0	0	0	0
act_15---act_16	5	15	18	1	0	0	0	0	0	0	0	0	3
act_15---act_2	0	1	0	8	0	0	0	0	0	0	0	0	0
act_15---act_5	20	13	6	13	5	3	0	0	0	0	0	0	0
act_15---act_6	4	10	0	0	0	0	0	0	0	0	0	0	0
act_15---act_7	23	14	36	0	0	2	0	19	0	0	0	0	0
act_15---act_8	0	0	0	0	11	14	0	0	0	0	0	0	0
act_15---act_9	10	13	2	0	0	0	0	0	0	0	0	0	0
act_16---act_1	2697	2173	1757	989	524	215	107	61	9	3	8	10	15
act_16---act_10	56	185	89	27	5	35	1	2	0	5	0	0	0
act_16---act_11	37	23	21	32	2	28	12	0	0	0	0	0	0
act_16---act_12	33	45	18	33	22	0	4	0	0	0	0	2	3
act_16---act_13	49	123	91	68	3	0	0	0	0	0	0	0	0
act_16---act_14	18	15	4	7	22	1	4	0	0	0	0	0	11
act_16---act_15	0	18	28	20	3	0	5	7	7	0	0	0	2
act_16---act_16	401	341	211	96	41	64	4	9	0	0	2	4	0
act_16---act_18	43	89	34	4	7	3	0	0	0	0	0	0	0
act_16---act_2	491	564	599	569	380	256	131	127	107	1	9	2	47
act_16---act_3	14	49	42	32	4	6	0	4	0	0	0	0	6
act_16---act_4	28	24	37	4	26	0	0	0	0	0	0	0	0
act_16---act_5	287	472	222	144	49	28	10	0	17	2	8	11	9
act_16---act_6	122	143	92	36	20	31	26	0	0	0	0	0	8
act_16---act_7	111	117	91	28	7	6	3	4	3	0	0	0	6
act_16---act_8	84	65	63	31	3	9	0	0	0	8	0	0	0
act_16---act_9	36	51	60	61	43	18	0	2	10	0	0	0	0
act_17---act_1	3	13	3	17	5	9	18	0	0	3	0	0	0
act_17---act_10	0	5	0	0	0	0	0	0	0	0	0	0	0
act_17---act_11	0	0	2	0	0	0	3	0	0	0	0	0	0
act_17---act_16	0	0	0	0	0	0	1	0	0	0	0	0	0
act_17---act_2	0	6	0	0	1	3	0	0	0	0	0	9	0
act_17---act_4	0	2	0	0	0	0	0	0	0	0	0	0	0
act_17---act_5	0	1	0	0	2	0	0	0	0	0	0	0	0
act_17---act_6	0	4	0	0	0	0	0	0	0	0	0	0	0
act_17---act_7	0	0	3	0	0	0	0	0	0	0	0	0	0
act_17---act_8	0	0	0	0	0	0	1	0	0	0	0	0	0
act_18---act_1	336	413	321	173	102	128	60	20	16	4	10	5	13
act_18---act_10	44	70	46	9	22	0	15	0	0	0	0	0	0
act_18---act_11	6	20	22	6	4	5	7	2	0	0	0	0	26
act_18---act_12	23	65	21	7	0	0	0	0	0	0	0	0	0
act_18---act_13	13	25	4	0	9	0	0	0	0	0	0	0	0
act_18---act_14	2	1	4	0	0	0	0	0	0	0	0	0	15
act_18---act_15	2	0	0	0	6	0	10	0	0	0	0	0	0
act_18---act_16	50	20	44	8	0	6	0	0	0	5	0	0	0
act_18---act_18	53	37	20	1	13	3	0	0	0	1	0	0	0
act_18---act_2	62	74	61	12	15	22	6	14	7	4	3	0	6
act_18---act_3	4	0	0	0	8	0	0	0	0	0	0	0	0
act_18---act_4	0	7	0	16	7	14	0	0	0	0	0	0	0
act_18---act_5	214	197	118	36	22	7	15	0	0	0	0	0	0
act_18---act_6	76	40	33	31	7	6	0	2	12	0	0	0	0
act_18---act_7	31	54	25	8	0	29	0	0	0	0	0	0	0
act_18---act_8	51	69	27	8	4	6	0	0	0	0	0	0	0
act_18---act_9	8	10	11	2	1	14	0	7	0	0	0	0	0
act_2---act_1	1383	3091	3624	2881	2554	2100	1498	843	777	526	354	248	528
act_2---act_10	255	188	261	136	51	76	34	39	30	7	0	0	27
act_2---act_11	39	79	115	88	21	25	10	37	28	36	0	14	20
act_2---act_12	31	51	41	13	25	14	25	3	3	9	0	0	9
act_2---act_13	183	127	79	126	102	56	33	16	23	4	0	18	3
act_2---act_14	3	34	76	21	3	23	4	6	5	2	1	0	13
act_2---act_15	4	3	10	17	20	0	6	8	0	0	0	6	0
act_2---act_16	416	551	523	427	224	220	122	74	108	43	18	7	10
act_2---act_17	0	2	3	2	3	5	0	0	0	0	0	0	0
act_2---act_18	81	96	44	30	27	21	22	0	8	8	0	0	0
act_2---act_2	759	681	890	494	284	334	112	60	28	39	44	48	35
act_2---act_3	52	14	44	35	23	4	1	0	0	0	0	4	4
act_2---act_4	26	50	17	10	48	18	4	0	7	10	2	8	0
act_2---act_5	652	1011	826	502	328	249	196	166	89	51	50	59	34
act_2---act_6	470	337	185	129	102	70	63	31	12	6	2	0	22
act_2---act_7	566	616	317	143	84	45	47	18	0	20	20	0	18
act_2---act_8	232	268	132	105	90	62	43	40	42	25	8	7	7
act_2---act_9	76	139	91	64	51	39	29	13	21	9	0	6	2
act_3---act_1	300	401	247	151	143	60	13	27	15	0	0	0	15
act_3---act_10	14	43	34	0	0	0	0	2	0	0	0	0	0
act_3---act_11	8	30	9	14	0	0	0	0	0	0	0	0	0
act_3---act_12	8	3	0	0	2	0	0	0	0	0	0	0	0
act_3---act_13	0	7	5	4	0	0	0	0	0	0	0	0	0
act_3---act_14	0	2	0	0	3	0	0	0	0	0	0	0	0
act_3---act_15	0	0	0	2	0	0	0	0	0	0	0	0	0
act_3---act_16	15	13	16	8	8	0	0	18	0	0	0	0	0
act_3---act_18	10	3	12	0	0	2	6	0	0	0	0	0	0
act_3---act_2	46	24	13	8	2	0	25	0	0	0	0	0	0
act_3---act_3	49	42	18	38	17	0	0	0	0	0	0	0	0
act_3---act_4	0	7	9	0	0	0	0	0	0	0	0	0	0
act_3---act_5	79	194	122	40	14	7	0	0	0	0	0	0	0
act_3---act_6	25	42	23	3	6	4	0	0	0	0	0	0	0
act_3---act_7	41	20	8	2	16	0	0	0	0	0	0	0	0
act_3---act_8	12	30	16	0	18	0	0	5	0	0	0	0	0
act_3---act_9	0	0	2	0	0	0	0	0	0	0	0	0	0
act_4---act_1	117	331	252	252	221	151	44	39	21	9	0	7	30
act_4---act_10	0	16	23	7	7	0	4	0	0	0	0	0	0
act_4---act_11	2	0	6	0	7	24	0	0	0	0	0	0	7
act_4---act_12	0	8	0	0	0	0	5	0	0	0	0	0	0
act_4---act_13	15	23	40	8	4	0	0	0	0	0	0	0	0
act_4---act_14	15	10	0	0	0	0	0	0	0	0	0	0	0
act_4---act_15	0	0	0	0	0	0	8	0	0	0	0	0	0
act_4---act_16	17	0	17	9	22	0	0	0	0	0	0	0	0
act_4---act_18	0	5	2	15	7	0	0	0	0	0	0	0	0
act_4---act_2	15	46	21	34	38	28	1	0	17	0	1	0	0
act_4---act_4	4	9	9	9	3	0	0	0	0	0	0	0	0
act_4---act_5	54	110	23	24	10	0	0	2	0	0	0	0	0
act_4---act_6	3	18	1	26	1	11	0	0	0	0	0	0	0
act_4---act_7	16	30	18	18	10	8	0	0	0	0	0	0	0
act_4---act_8	5	16	9	0	0	0	0	0	0	0	0	0	0
act_4---act_9	0	3	2	0	0	0	0	0	0	0	0	0	0
act_5---act_1	3960	5924	3337	1643	861	418	197	134	62	53	5	7	40
act_5---act_10	358	292	158	56	24	54	0	17	16	0	0	0	2
act_5---act_11	59	108	134	85	30	2	10	3	3	4	0	0	10
act_5---act_12	80	95	46	13	0	0	0	0	0	0	0	0	0
act_5---act_13	55	85	67	34	40	12	3	0	5	0	0	0	0
act_5---act_14	21	41	25	13	9	1	0	0	0	0	0	0	0
act_5---act_15	12	15	24	14	0	7	0	0	0	0	0	0	0
act_5---act_16	203	292	117	109	38	12	15	3	0	0	8	0	2
act_5---act_17	0	4	2	0	0	0	0	0	0	0	2	0	0
act_5---act_18	77	142	63	31	14	7	0	0	0	0	0	0	0
act_5---act_2	356	417	241	151	44	28	14	3	0	0	0	1	0
act_5---act_3	59	53	57	26	2	7	0	0	0	0	0	0	0
act_5---act_4	20	29	28	13	0	0	2	0	0	0	0	1	8
act_5---act_5	2302	1861	1032	300	106	56	42	15	36	3	2	9	0
act_5---act_6	404	134	108	8	52	20	1	0	8	0	0	0	0
act_5---act_7	296	195	149	63	33	20	9	2	0	3	18	0	0
act_5---act_8	411	335	110	32	33	14	0	11	1	0	0	0	16
act_5---act_9	27	49	53	10	17	0	11	25	5	0	0	0	0
act_6---act_1	823	1145	635	301	89	33	27	27	21	7	12	5	12
act_6---act_10	40	26	53	18	0	0	0	0	0	0	0	0	0
act_6---act_11	38	37	27	48	8	11	0	0	3	2	0	8	0
act_6---act_12	12	23	9	3	0	0	0	0	0	0	0	0	0
act_6---act_13	17	0	14	0	17	8	0	0	0	0	0	0	0
act_6---act_14	2	6	9	5	0	0	15	0	0	2	5	0	7
act_6---act_15	0	11	9	3	0	0	0	0	0	0	0	0	0
act_6---act_16	18	47	46	29	16	0	0	0	0	7	5	2	15
act_6---act_17	0	0	3	4	0	0	0	0	0	0	0	0	0
act_6---act_18	66	26	23	9	4	0	8	0	0	0	0	0	0
act_6---act_2	461	399	204	185	89	81	33	70	30	14	14	0	19
act_6---act_3	22	15	20	7	0	7	0	0	0	0	0	4	0
act_6---act_4	7	18	3	0	3	0	0	0	0	0	0	0	0
act_6---act_5	114	169	42	26	30	12	5	0	0	0	0	0	0
act_6---act_6	83	73	1	32	0	0	0	0	0	0	0	0	0
act_6---act_7	39	35	14	11	0	0	0	0	0	0	0	0	0
act_6---act_8	51	43	28	0	0	8	8	3	0	0	0	0	6
act_6---act_9	7	0	0	6	26	0	0	3	6	0	0	0	0
act_7---act_1	643	994	727	475	346	173	106	35	70	21	40	9	31
act_7---act_10	59	42	31	11	16	5	0	0	0	0	0	0	0
act_7---act_11	42	71	24	21	7	11	9	18	0	0	0	8	0
act_7---act_12	11	17	5	4	3	2	0	0	3	5	0	0	0
act_7---act_13	27	23	20	23	1	3	0	0	3	0	0	0	0
act_7---act_14	54	13	8	0	3	1	0	0	0	0	0	0	0
act_7---act_15	12	22	14	0	0	1	0	0	1	0	0	0	0
act_7---act_16	31	134	83	20	24	12	21	4	7	0	0	0	6
act_7---act_17	0	11	0	4	0	0	0	0	0	0	0	0	0
act_7---act_18	4	74	13	0	23	0	0	0	0	0	0	0	0
act_7---act_2	564	301	229	184	42	37	24	28	16	10	7	2	21
act_7---act_3	12	39	10	4	32	1	0	6	0	0	0	0	0
act_7---act_4	5	36	6	8	0	4	0	0	0	0	0	0	0
act_7---act_5	354	314	118	73	42	31	0	0	0	0	0	0	0
act_7---act_6	19	17	0	0	0	0	0	0	0	3	0	0	0
act_7---act_7	55	40	1	0	1	0	0	0	0	0	0	0	0
act_7---act_8	60	76	15	34	3	2	10	0	0	0	0	0	0
act_7---act_9	29	64	2	0	11	11	0	6	0	0	0	0	0
act_8---act_1	769	768	449	219	135	99	52	7	0	16	16	6	6
act_8---act_10	89	48	50	18	21	12	0	0	0	0	0	0	0
act_8---act_11	11	13	38	13	6	1	7	5	0	0	0	0	0
act_8---act_12	2	12	8	20	0	0	0	0	0	2	0	0	0
act_8---act_13	7	33	7	14	0	0	0	0	0	0	0	0	0
act_8---act_14	0	19	0	0	3	3	0	0	0	0	0	0	4
act_8---act_16	25	57	44	27	8	7	7	24	0	0	0	0	0
