requested_station_id,report_station_id,location,start_date,end_date,day_of_week,duration,report_type_id,count_id,source,report_record_id,report_source,report_values,report_options,itms_station_url
B160046,S2000160401,MD 210 at Wilson Bridge Dr,2019-05-29,2019-05-29,Wednesday,24 Hr,17,1495861,SHA,1236506,Summary,TurningMovement.rpt|TurningMovementDetail.rpt|TurningMovementVolume.rpt|TurningVolumeDetail.rpt,"[{""label"": ""Turning Movement"", ""value"": ""TurningMovement.rpt""}, {""label"": ""Turning Movement Detail"", ""value"": ""TurningMovementDetail.rpt""}, {""label"": ""Turning Movement Volume"", ""value"": ""TurningMovementVolume.rpt""}, {""label"": ""Turning Movement Volume Detail"", ""value"": ""TurningVolumeDetail.rpt""}]",https://maps.roads.maryland.gov/itms_public/?stationid=B160046
B160046,S2000160401,MD 210 at Wilson Bridge Dr,2018-07-19,2018-07-19,Thursday,24 Hr,17,1456295,SHA,1213730,Summary,TurningMovement.rpt|TurningMovementDetail.rpt|TurningMovementVolume.rpt|TurningVolumeDetail.rpt,"[{""label"": ""Turning Movement"", ""value"": ""TurningMovement.rpt""}, {""label"": ""Turning Movement Detail"", ""value"": ""TurningMovementDetail.rpt""}, {""label"": ""Turning Movement Volume"", ""value"": ""TurningMovementVolume.rpt""}, {""label"": ""Turning Movement Volume Detail"", ""value"": ""TurningVolumeDetail.rpt""}]",https://maps.roads.maryland.gov/itms_public/?stationid=B160046
B160046,S2000160402,MD 210 at Livingston Rd/Kerby Hill Rd,2018-07-18,2018-07-18,Wednesday,24 Hr,17,1456294,SHA,1213729,Summary,TurningMovement.rpt|TurningMovementDetail.rpt|TurningMovementVolume.rpt|TurningVolumeDetail.rpt,"[{""label"": ""Turning Movement"", ""value"": ""TurningMovement.rpt""}, {""label"": ""Turning Movement Detail"", ""value"": ""TurningMovementDetail.rpt""}, {""label"": ""Turning Movement Volume"", ""value"": ""TurningMovementVolume.rpt""}, {""label"": ""Turning Movement Volume Detail"", ""value"": ""TurningVolumeDetail.rpt""}]",https://maps.roads.maryland.gov/itms_public/?stationid=B160046
B160046,B160046,MD 210-.20 MI N OF LIVINGSTON RD/KERBY HILL RD,2018-06-27,2018-06-28,Wednesday,48 Hr,39,1456895,SHA,1211887,Summary,VolumeDetail.rpt|LengthClass.rpt,"[{""label"": ""Volume Detail"", ""value"": ""VolumeDetail.rpt""}, {""label"": ""Length Class"", ""value"": ""LengthClass.rpt""}]",https://maps.roads.maryland.gov/itms_public/?stationid=B160046
B160065,S2000160062,BRIGHTSEAT RD AT ARENA DR/BISHOP PEEBLES DR,2018-11-14,2018-11-14,Wednesday,24 Hr,17,1475905,SHA,1222913,Summary,TurningMovement.rpt|TurningMovementDetail.rpt|TurningMovementVolume.rpt|TurningVolumeDetail.rpt,"[{""label"": ""Turning Movement"", ""value"": ""TurningMovement.rpt""}, {""label"": ""Turning Movement Detail"", ""value"": ""TurningMovementDetail.rpt""}, {""label"": ""Turning Movement Volume"", ""value"": ""TurningMovementVolume.rpt""}, {""label"": ""Turning Movement Volume Detail"", ""value"": ""TurningVolumeDetail.rpt""}]",https://maps.roads.maryland.gov/itms_public/?stationid=B160065
B160065,S2000160055,MD 214 at Brightseat Rd/Hampton Park Blvd,2018-10-09,2018-10-09,Tuesday,24 Hr,17,1464450,SHA,1219904,Summary,TurningMovement.rpt|TurningMovementDetail.rpt|TurningMovementVolume.rpt|TurningVolumeDetail.rpt,"[{""label"": ""Turning Movement"", ""value"": ""TurningMovement.rpt""}, {""label"": ""Turning Movement Detail"", ""value"": ""TurningMovementDetail.rpt""}, {""label"": ""Turning Movement Volume"", ""value"": ""TurningMovementVolume.rpt""}, {""label"": ""Turning Movement Volume Detail"", ""value"": ""TurningVolumeDetail.rpt""}]",https://maps.roads.maryland.gov/itms_public/?stationid=B160065
B160065,B160065,BRIGHTSEAT RD-.10 MI N OF ARENA DR,2017-11-28,2017-11-29,Tuesday,48 Hr,8,1434834,SHA,1180339,Summary,VolumeDetail.rpt,"[{""label"": ""Volume Detail"", ""value"": ""VolumeDetail.rpt""}]",https://maps.roads.maryland.gov/itms_public/?stationid=B160065
B160063,B160063,MD210-.60 MI N OF FORT WASHINGTON RD,2018-06-27,2018-06-28,Wednesday,48 Hr,7,1456044,SHA,1211888,Summary,ClassDetail.rpt|VolumeDetail.rpt,"[{""label"": ""Class Detail"", ""value"": ""ClassDetail.rpt""}, {""label"": ""Volume Detail"", ""value"": ""VolumeDetail.rpt""}]",https://maps.roads.maryland.gov/itms_public/?stationid=B160063
B160068,B160068,MD458A (WALKER MILL RD)-.10 MI E OF MD458,2018-06-06,2018-06-07,Wednesday,48 Hr,7,1453571,SHA,1210169,Summary,ClassDetail.rpt|VolumeDetail.rpt,"[{""label"": ""Class Detail"", ""value"": ""ClassDetail.rpt""}, {""label"": ""Volume Detail"", ""value"": ""VolumeDetail.rpt""}]",https://maps.roads.maryland.gov/itms_public/?stationid=B160068
B160066,S1997160126,MD 704 at SHERIFF RD,2019-02-05,2019-02-05,Tuesday,24 Hr,17,1481960,SHA,1225291,Summary,TurningMovement.rpt|TurningMovementDetail.rpt|TurningMovementVolume.rpt|TurningVolumeDetail.rpt,"[{""label"": ""Turning Movement"", ""value"": ""TurningMovement.rpt""}, {""label"": ""Turning Movement Detail"", ""value"": ""TurningMovementDetail.rpt""}, {""label"": ""Turning Movement Volume"", ""value"": ""TurningMovementVolume.rpt""}, {""label"": ""Turning Movement Volume Detail"", ""value"": ""TurningVolumeDetail.rpt""}]",https://maps.roads.maryland.gov/itms_public/?stationid=B160066
