state_code,station_id,direction,latitude,longitude,route,location_text,source_file
24,0P0030,5,39463651,77401434,2,US 15 - .15 Mile North of Monocacy Blvd (ATR#30 OB,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0033,3,39682442,78493740,1,IS 68 - 1.22 Miles East of Old Cumberland Rd (ATR#,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0036,3,38921862,75944515,3,MD 404 - .065 Mile West of Cemetery Rd(ATR#36)    ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0043,1,38877840,76843628,1,IS 95 - 1.02 Miles South of MD 214 (ATR#43)       ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0045,3,39688004,78119969,1,IS 70 - .52 Mile East of MD 615 Structure #21062 (,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0046,3,39312773,76967226,1,IS 70 - .85 Mile West of MD 32 (ATR#46)           ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0046,7,39312773,76967226,1,IS 70 - .85 Mile West of MD 32 (ATR#46)           ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0054,1,39405909,76574641,1,IS 695 - .41 Mile North of Cromwell Bridge Rd (ATR,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0055,1,38978863,76874070,1,IS 95 - .05 Mile North of Good Luck Rd (ATR#55)   ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0060,5,39168932,77242771,1,IS 270 - .47 Mile South of Middlebrook Rd (ATR#60),Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0063,1,38373515,75252812,3,1.46 MI E OF US 50                                ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0064,5,39470724,76316047,3,MD 24 - .46 Mile North of MD 924 (ATR#64)         ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0065,1,38359536,76453029,3,MD 2 - .66 Mile North of Dowell Rd (ATR#65)       ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0066,5,39209056,76694849,1,IS 195 - .59 Mile North of MD 295 (ATR#66)        ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0068,1,39329381,77510505,2,US 15 - 1.16 Miles North of Basford Rd (ATR#68)   ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0003,1,39456140,77536220,3,MD 17 - 1.05 Miles North of US 40AL (ATR#03)      ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0070,3,39668470,78734718,1,IS 68 - .15 Mile East of Structure #1081 Hillcrest,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0005,1,38577901,76962688,2,US 301 - .74 Mile South of MD 227 (ATR#05)        ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0071,5,39239529,76699033,1,IS 95 - .65 Mile North of IS 1                    ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0005,5,38577901,76962688,2,US 301 - .74 Mile South of MD 227 (ATR#05)        ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0006,1,38812795,76721947,3,MD 4 - .54 Mile North of Patuxent River Bridge (AT,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0074,5,39281807,76483816,3,MD 695 - 50ft South of Trappe Rd (ATR#74)         ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0006,5,38812795,76721947,3,MD 4 - .54 Mile North of Patuxent River Bridge (AT,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0076,5,39385355,76662409,1,IS 83 - .04 Mile North of Old Pimlico Rd (ATR#76) ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0012,7,39461723,76252401,2,US 40 - 50ft South of Bush River Bridge (ATR#12)  ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0077,1,39238874,76668331,1,IS 695 - .15 Mile North of Hollins Ferry Rd (ATR#7,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0077,5,39238874,76668331,1,IS 695 - .15 Mile North of Hollins Ferry Rd (ATR#7,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0013,1,39472993,76640244,3,MD 45 - .14 Mile South of Warren Rd (ATR#13)      ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0078,5,39360180,76746389,1,IS 695 - 1.03 Miles South of IS 795 (ATR#78)      ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0017,1,38385617,75358354,2,.25 MI W OF MD 354                                ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0085,3,39703194,76635416,3,MD 439 - .44 Mile East of IS 83 (ATR#85)          ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0018,5,39141207,76603122,3,MD 2  - 160ft North of Marley Station Rd (ATR#18 O,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0087,1,38101803,76365215,3,MD 5 - .20 Mile North of Fresh Pond Neck Rd (ATR#8,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0020,5,39161474,76522219,3,MD 173 - .20 Mile South of Stoney Creek Bridge (AT,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0087,5,38101803,76365215,3,MD 5 - .20 Mile North of Fresh Pond Neck Rd (ATR#8,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0022,1,38871176,76061251,2,.06 MI E OF MD 662C                               ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0022,3,38871176,76061251,2,US 50 - .06 Mile East of Longwoods Rd (ATR#22)    ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0027,1,39540815,76666332,1,IS 83 - .50 mile South of Belfast Rd (ATR#27)     ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
