pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
act_14---act_3	0	1	0	0	0	0	0	0	0	0	0	0	0
act_14---act_5	24	51	37	5	4	11	3	0	0	0	0	0	9
act_14---act_6	6	4	2	0	0	0	0	2	0	0	0	0	0
act_14---act_7	30	23	28	6	0	0	0	0	8	0	0	0	0
act_14---act_8	2	21	0	11	0	0	0	0	4	0	0	0	0
act_14---act_9	11	9	0	8	0	0	0	0	0	0	0	0	0
act_15---act_1	23	46	92	59	47	10	27	3	3	2	0	0	0
act_15---act_11	0	2	0	0	0	0	0	0	0	0	0	0	0
act_15---act_13	0	2	0	0	0	0	0	0	0	0	0	0	0
act_15---act_16	7	0	2	23	0	0	3	0	0	0	0	0	0
act_15---act_18	2	0	0	0	0	0	0	0	0	0	0	0	0
act_15---act_3	0	5	0	0	0	0	0	0	0	0	0	0	0
act_15---act_5	41	7	4	16	3	0	0	0	0	0	0	0	0
act_15---act_6	0	8	0	0	0	0	0	0	0	0	0	0	0
act_15---act_7	10	22	3	4	0	6	0	0	0	0	0	0	0
act_16---act_1	2175	2933	1504	906	308	171	114	75	10	6	7	3	4
act_16---act_10	49	77	17	7	17	17	0	0	0	0	0	0	0
act_16---act_11	4	22	8	54	25	12	8	4	0	0	0	0	0
act_16---act_12	1	3	6	9	0	0	0	0	0	0	0	0	0
act_16---act_13	67	50	75	17	22	0	0	0	0	0	0	0	0
act_16---act_14	12	16	18	0	7	7	2	4	0	0	0	3	0
act_16---act_15	0	4	1	22	0	0	0	0	0	0	0	0	0
act_16---act_16	311	362	162	121	31	15	14	15	10	3	3	4	7
act_16---act_18	40	76	50	34	1	5	0	0	0	0	0	0	0
act_16---act_2	297	367	505	596	462	187	119	67	68	50	21	17	37
act_16---act_3	9	24	9	10	11	0	2	0	0	0	0	0	4
act_16---act_4	4	57	25	22	5	5	0	20	0	0	0	0	0
act_16---act_5	179	390	254	103	59	13	9	2	9	0	0	0	0
act_16---act_6	185	88	56	10	1	29	1	0	0	0	0	0	0
act_16---act_7	73	128	66	11	12	2	4	3	0	0	0	0	0
act_16---act_8	65	137	43	1	14	13	2	5	0	0	0	0	0
act_16---act_9	34	65	104	12	15	12	7	1	4	0	0	0	0
act_18---act_1	299	453	358	186	83	124	21	19	16	19	28	0	57
act_18---act_10	101	88	24	0	3	1	0	10	0	0	0	0	0
act_18---act_11	30	37	20	6	3	1	0	6	14	0	0	0	0
act_18---act_12	35	13	1	0	5	0	0	0	0	2	0	0	0
act_18---act_13	11	30	4	2	3	0	0	0	0	0	0	0	0
act_18---act_14	8	1	7	7	0	0	0	3	1	0	0	0	0
act_18---act_15	0	3	0	0	0	0	0	0	0	0	0	0	0
act_18---act_16	30	8	8	3	19	12	2	2	2	9	0	0	0
act_18---act_18	15	35	26	9	5	4	0	0	10	0	9	0	3
act_18---act_2	91	53	53	108	34	23	12	0	21	21	0	5	0
act_18---act_3	6	2	2	2	0	4	0	0	0	0	0	0	0
act_18---act_5	307	201	102	39	37	18	4	7	0	0	0	0	11
act_18---act_6	75	33	2	0	0	0	0	0	0	0	0	0	0
act_18---act_7	29	25	63	12	12	6	0	0	0	0	1	0	0
act_18---act_8	14	25	31	7	0	15	0	0	0	0	0	0	0
act_18---act_9	7	11	28	2	6	6	0	0	6	0	0	0	0
act_2---act_1	1329	2946	3419	3399	2631	1913	1452	745	486	362	227	176	274
act_2---act_10	141	208	217	104	76	43	26	41	20	4	0	5	5
act_2---act_11	46	43	87	37	41	3	23	4	10	8	0	0	0
act_2---act_12	27	32	12	5	17	42	17	17	0	0	0	0	0
act_2---act_13	119	185	75	41	68	71	24	20	0	0	0	0	0
act_2---act_14	32	13	13	28	16	0	11	0	0	0	17	0	0
act_2---act_15	0	0	0	0	7	0	0	0	0	0	0	0	0
act_2---act_16	266	383	505	464	329	105	164	59	33	63	19	0	4
act_2---act_18	66	106	51	97	57	20	23	4	16	26	0	0	0
act_2---act_2	739	824	464	443	373	144	125	90	51	25	33	9	39
act_2---act_3	10	71	46	8	30	2	5	0	0	0	0	0	0
act_2---act_4	10	28	44	48	0	31	23	10	32	0	0	0	0
act_2---act_5	542	942	584	464	278	145	119	113	92	10	14	14	23
act_2---act_6	362	434	174	93	50	63	65	20	24	14	0	16	9
act_2---act_7	507	613	224	72	52	59	19	31	0	0	6	0	0
act_2---act_8	272	241	142	190	63	49	50	25	13	16	5	11	19
act_2---act_9	41	83	114	112	62	11	53	19	0	11	2	1	0
act_3---act_1	432	447	397	219	88	58	52	11	12	5	4	0	4
act_3---act_10	5	15	0	0	2	4	0	0	0	0	0	0	0
act_3---act_11	2	5	0	0	0	0	0	5	0	0	0	0	0
act_3---act_12	0	2	0	0	0	0	0	0	0	0	0	0	0
act_3---act_13	0	0	0	0	0	0	3	1	0	0	0	0	0
act_3---act_16	12	21	9	6	14	0	0	0	0	11	0	0	0
act_3---act_18	21	14	15	0	0	0	0	0	0	0	0	0	0
act_3---act_2	0	22	10	44	21	14	0	0	3	12	0	0	0
act_3---act_3	40	69	50	20	0	0	5	0	0	0	0	0	0
act_3---act_5	90	58	58	32	3	26	11	8	0	7	0	0	0
act_3---act_6	25	12	0	0	0	0	0	0	0	0	0	0	0
act_3---act_7	24	28	25	15	9	0	0	0	0	0	0	0	0
act_3---act_8	1	1	10	0	0	0	0	0	0	0	0	0	0
act_3---act_9	0	0	4	0	0	5	2	0	0	0	0	0	0
act_4---act_1	290	625	307	167	204	122	30	86	29	9	0	0	14
act_4---act_10	7	1	12	0	0	0	0	0	0	0	0	0	0
act_4---act_11	7	22	0	0	0	0	0	0	4	0	0	0	0
act_4---act_13	0	15	1	0	7	6	0	0	0	0	0	0	0
act_4---act_14	0	14	0	0	0	0	0	0	0	0	0	0	0
act_4---act_16	26	13	19	8	0	2	0	19	0	0	0	0	0
act_4---act_18	0	0	8	0	0	0	0	0	0	0	0	0	0
act_4---act_2	0	17	19	37	58	6	0	0	0	0	0	0	0
act_4---act_3	5	13	0	0	0	0	0	0	0	0	0	0	0
act_4---act_4	0	9	21	0	4	0	0	0	0	0	0	0	0
act_4---act_5	25	66	50	23	11	4	0	0	5	0	0	0	0
act_4---act_6	21	37	7	0	0	6	11	0	0	0	0	0	0
act_4---act_7	40	69	57	24	0	0	0	0	0	0	0	0	0
act_4---act_8	0	13	4	17	0	0	9	3	0	0	0	0	0
act_4---act_9	0	2	0	0	0	0	0	0	0	0	0	0	0
act_5---act_1	4223	5177	2831	1037	522	219	151	45	32	39	39	5	28
act_5---act_10	242	236	106	26	22	0	0	0	0	0	0	0	0
act_5---act_11	85	106	80	31	8	18	7	1	0	0	0	0	0
act_5---act_12	26	91	45	12	4	2	0	0	0	0	0	0	0
act_5---act_13	55	83	26	2	0	0	0	0	0	0	0	0	0
act_5---act_14	9	25	14	18	6	0	0	8	0	0	0	0	0
act_5---act_15	8	28	11	4	0	0	0	0	0	0	0	0	0
act_5---act_16	151	256	193	34	30	10	0	0	0	0	0	0	0
act_5---act_18	157	95	125	54	38	8	0	15	5	0	0	0	0
act_5---act_2	223	292	84	97	30	10	0	0	0	0	0	0	0
act_5---act_3	15	61	17	1	10	4	0	0	0	0	0	0	0
act_5---act_4	3	10	11	0	0	6	0	0	0	0	0	0	0
act_5---act_5	1937	1659	579	167	58	30	14	6	6	6	0	0	0
act_5---act_6	326	145	70	54	13	7	0	0	5	0	0	0	0
act_5---act_7	243	257	108	37	6	0	0	4	0	0	0	9	0
act_5---act_8	242	184	42	38	18	6	0	0	0	0	0	0	0
act_5---act_9	30	42	62	27	0	0	0	0	0	0	0	0	0
act_6---act_1	885	1158	484	245	105	71	10	3	3	0	11	0	6
act_6---act_10	56	16	18	4	9	0	0	0	0	0	0	6	0
act_6---act_11	55	42	2	5	0	0	25	0	7	0	0	0	0
act_6---act_12	15	16	0	0	0	2	0	0	0	0	0	0	0
act_6---act_13	2	10	0	0	0	0	0	0	0	0	0	0	0
act_6---act_14	15	4	0	0	0	0	0	0	0	0	0	0	0
act_6---act_16	17	30	28	9	6	14	2	2	0	0	0	0	17
act_6---act_18	28	17	0	5	3	0	0	0	0	0	0	0	0
act_6---act_2	467	507	125	122	68	23	17	2	7	10	0	0	0
act_6---act_3	3	9	3	16	0	0	0	4	0	0	0	0	0
act_6---act_4	9	11	6	2	0	0	0	0	0	0	0	0	0
act_6---act_5	135	61	7	7	0	3	0	0	0	9	0	0	0
act_6---act_6	28	27	4	0	0	0	0	0	1	0	0	0	0
act_6---act_7	39	5	0	5	0	0	0	0	0	0	0	0	0
act_6---act_8	43	12	11	0	4	0	5	0	0	0	0	0	0
act_6---act_9	10	1	16	6	3	0	6	17	0	0	0	0	0
act_7---act_1	625	1030	752	438	186	110	45	27	56	8	4	2	4
act_7---act_10	27	94	30	6	2	0	0	0	0	0	0	0	0
act_7---act_11	23	50	0	4	28	0	10	0	5	0	0	2	0
act_7---act_12	15	27	0	4	4	0	0	0	0	0	0	0	0
act_7---act_13	9	19	32	0	0	0	0	0	0	0	0	0	0
act_7---act_14	24	14	0	1	0	9	0	0	0	0	0	0	0
act_7---act_15	7	6	0	0	0	0	0	0	5	0	0	0	0
act_7---act_16	64	47	52	35	57	2	0	0	0	0	0	2	0
act_7---act_18	20	23	16	15	5	19	15	2	0	0	0	0	0
act_7---act_2	449	544	191	70	22	29	16	15	6	0	0	0	8
act_7---act_3	8	26	7	8	0	4	0	0	0	0	0	0	0
act_7---act_4	3	28	27	12	6	0	0	0	0	0	0	0	0
act_7---act_5	315	196	173	43	23	18	1	5	0	0	0	0	0
act_7---act_6	22	9	2	2	8	0	0	0	0	0	0	0	0
act_7---act_7	20	31	61	5	0	2	0	0	0	0	0	0	0
act_7---act_8	62	39	6	0	0	0	0	0	0	13	1	0	0
act_7---act_9	30	11	16	5	0	0	0	0	0	0	0	0	0
act_8---act_1	577	704	244	123	109	18	26	21	19	2	17	0	0
act_8---act_10	94	72	22	1	0	0	0	0	0	0	0	0	0
act_8---act_11	8	15	2	7	3	0	8	0	0	0	0	0	0
act_8---act_12	13	10	4	5	0	0	0	0	0	0	0	0	0
act_8---act_13	22	2	32	0	0	9	0	0	0	0	0	0	0
act_8---act_14	3	4	8	1	0	0	0	0	0	0	0	0	0
act_8---act_16	59	34	6	11	0	0	0	0	5	0	0	0	0
act_8---act_18	32	13	14	0	0	4	0	6	0	0	0	0	0
act_8---act_2	139	137	97	44	19	31	20	23	6	38	0	0	0
act_8---act_3	0	4	2	0	3	0	0	0	0	0	0	0	0
act_8---act_4	0	0	4	0	0	0	0	0	0	0	0	0	0
