o_activity,o_tract_fips,o_tpb_taz,o_bmc_taz,d_activity,d_tract_fips,d_tpb_taz,d_bmc_taz,departure_time_hhmm,arrival_time_hhmm,travel_mode,transit_access_mode,transit_egress_mode,travelers_hh,travelers_nonhh,vehicle_occupancy,park_loc,park_pay,subway_used,subway_pay,subway_station_board,subway_access_mode,subway_station_exit,subway_egress_mode,hov_used,toll_road_used,distance,reported_travel_time,year,bodytype,make,model,fueltype,tolltransponder,home_tract_fips,home_tpb_taz,home_bmc_taz,home_type,home_ownership,hhsize,numstudents,numdrivers,numworkers,numdisabilities,numvehicle,numvehicle_transponder,numbicycle,hh_income_detailed,tdate_string,tdate_dow,hhtrips,package_delivered,food_delivered,service_delivered,wthhfin,age,gender,race_ethnicity,race_ethnicity_hispanic,license,disability,smartphone,employment_status,jobs_count,j1_workplace_loc,work_tract_fips,work_tpb_taz,work_bmc_taz,j1_commute_mode,j1_telecommute,j1_telecommute_days,j1_benefits_free_parking,j1_benefits_parking,j1_benefits_transit,j1_benefits_carpool,j1_benefits_walking_biking,j1_benefits_ev_charging,j1_benefits_bicycle_parking,j1_benefits_none,student_status,school_type,school_tract_fips,school_tpb_taz,school_bmc_taz,school_freq,school_mode,volunteer_status,td_paidpark,td_hov,td_toll,td_telecommute_time,td_shop_time,person_tripcount,walk_bike_loop_trips
1,11001007803,257,1656,16,11001005500,50,1449,07:55,08:40,4,,,2,0,2,3,1,,,,,,,,,7.626281212,45,2012.0,3.0,Acura,RDX,1.0,1.0,11001007803,257,1656,1,1,4,2,2,2,0,2,1,1,7,2018-05-16,3,14,0,0,1,175.0,33,1,2,2,1,2,1,0,1,1,11001006202,31,1430,4,1,1,0,0,1,0,0,0,0,0,0,,,,,,,2,1,2,2,5,0,6,0
1,24025304201,,1077,4,24025303300,,1110,07:00,07:20,15,,,1,2,,,,0,,,,,,,,6.303,20,,,,,,,24025304201,,1077,1,1,5,3,4,2,0,4,4,5,,2019-03-07,4,11,0,0,0,490.1989437769,16,2,1,2,2,2,1,6,,,,,,,,,,,,,,,,,1,3,24025303300,,1110,,4,1,,,,,0,2,
1,51510201801,1579,,9,51510200201,1568,,10:30,11:00,4,,,1,0,1,2,,,,,,,,,,4.9760525243,30,2012.0,1.0,BMW,3 series,1.0,2.0,51510201801,1579,,2,1,2,0,2,2,1,2,1,0,8,2017-12-04,1,9,0,0,0,86.0,80,2,4,2,1,1,1,0,1,1,51510201802,1600,,3,1,1,0,0,0,0,0,0,0,1,0,,,,,,,1,2,2,2,4,0,6,0
1,24003702209,3051,499,14,24003702601,3099,558,09:30,10:00,4,,,3,0,3,2,,0,,,,,,,,13.814,30,2011.0,3.0,Lexus,RX 350,1.0,1.0,24003702209,3051,499,2,1,4,2,2,1,0,2,2,0,8,2018-06-18,1,8,0,0,0,40.4988665659031,34,1,1,2,1,2,1,3,,,,,,,,,,,,,,,,,0,,,,,,,1,2,2,2,,0,2,1
1,24045010606,,,14,24047951200,,,09:30,10:05,5,,,5,0,5,,,0,,,,,,,,25.397,35,2000.0,3.0,Toyota,Land Cruiser,1.0,2.0,24045010606,,,1,1,6,0,2,1,0,2,0,5,5,2018-08-01,3,30,0,0,0,251.676512528049,9,1,1,2,,2,,,,,,,,,,,,,,,,,,,0,,,,,,,,2,,,,,5,
1,24003740105,3042,395,2,24005403402,,705,08:00,08:40,4,,,1,0,1,3,,0,,,,,,,,21.327,40,2017.0,1.0,Hyundai,Elantra,1.0,1.0,24003740105,3042,395,2,2,4,1,4,4,0,3,3,0,6,2018-06-07,4,10,1,0,0,40.4988665659031,25,1,2,2,1,2,1,0,1,1,24005403402,,705,3,2,,1,0,0,0,0,0,0,0,0,,,,,,,1,2,2,2,0,0,2,0
2,24510260404,,277,2,24005980200,,890,13:00,13:20,4,,,1,0,1,2,,0,,,,,,,,13.84,20,2000.0,4.0,Ford,F-Series pickup,1.0,2.0,24510270803,,33,2,1,2,1,2,2,0,3,0,1,6,2018-05-15,2,13,0,0,0,120.232513829917,51,2,2,2,1,2,1,0,1,1,24027606905,3005,1385,3,2,,1,0,0,0,0,0,0,0,0,,,,,,,,2,2,1,0,0,11,
2,11001004702,201,1600,16,24027601201,3000,1354,16:05,17:45,7,1,3,1,0,,,,0,,,1,,3,,,32.987,100,,,,,,,24027601201,2999,1355,3,2,2,1,1,1,0,2,0,0,6,2018-02-13,2,5,0,0,0,313.114517131315,45,1,1,2,1,2,1,0,1,1,11001004702,201,1600,7,1,2,0,0,1,0,0,0,0,0,0,,,,,,,1,2,2,2,8,0,3,0
2,24031701421,586,1986,5,24031700718,736,2136,12:05,12:40,4,,,1,0,1,2,,,,,,,,,,15.02497744,35,2012.0,1.0,Toyota,Camry,1.0,1.0,24031700207,443,1843,1,1,4,1,4,3,0,3,3,3,8,2017-10-25,3,17,0,0,1,355.0,53,2,4,2,1,2,1,0,1,1,24031701421,586,1986,3,2,,1,0,0,0,0,0,0,0,0,,,,,,,2,2,2,2,0,1,10,0
1,24005411408,,792,1,24005440800,,840,11:55,12:08,4,,,1,0,1,2,,0,,,,,,,,1.611,13,2010.0,1.0,Toyota,Camry,1.0,1.0,24005411408,,792,3,1,2,0,2,0,0,2,1,0,5,2018-06-04,1,4,0,0,0,267.977532513103,77,2,1,2,1,2,2,1,,,,,,,,,,,,,,,,,0,,,,,,,1,2,2,2,,0,4,
7,51013102902,1517,,5,51013102902,1517,,09:15,09:20,1,,,1,0,,,,,,,,,,,,0.1915403009,5,,,,,,,51013103000,1515,,2,1,2,0,2,1,0,1,1,1,8,2018-03-19,1,10,0,0,0,173.0,67,1,4,2,1,2,2,1,,,,,,9,,,,,,,,,,,0,,,,,,,2,2,2,2,0,0,4,0
1,24005492101,,766,16,24005411406,,780,11:40,11:58,5,,,2,0,2,,,0,,,,,,,,4.337,18,2016.0,1.0,Ford,Fusion,1.0,1.0,24005492101,,766,1,1,4,0,3,3,2,3,3,1,6,2018-12-05,3,18,1,0,0,189.612081236246,66,1,1,2,1,2,1,1,,,,,,,,,,,,,,,,,0,,,,,,,1,2,,,,0,5,
