o_activity,o_tpb_taz,d_activity,d_tpb_taz,departure_time_min,travel_mode,transit_access_mode,transit_egress_mode,travelers_hh,travelers_nonhh,vehicle_occupancy,park_loc,park_pay,subway_used,subway_pay,subway_station_board,subway_access_mode,subway_station_exit,subway_egress_mode,hov_used,toll_road_used,distance,reported_travel_time,year,bodytype,make,model,fueltype,tolltransponder,home_tpb_taz,home_type,home_ownership,hhsize,numstudents,numdrivers,numworkers,numdisabilities,numvehicle,numvehicle_transponder,numbicycle,hh_income_detailed,tdate_days,tdate_dow,hhtrips,package_delivered,food_delivered,service_delivered,wthhfin,age,gender,race_ethnicity,race_ethnicity_hispanic,license,disability,smartphone,employment_status,jobs_count,j1_workplace_loc,work_tpb_taz,j1_commute_mode,j1_telecommute,j1_telecommute_days,j1_benefits_free_parking,j1_benefits_parking,j1_benefits_transit,j1_benefits_carpool,j1_benefits_walking_biking,j1_benefits_ev_charging,j1_benefits_bicycle_parking,j1_benefits_none,student_status,school_type,school_tpb_taz,school_freq,school_mode,volunteer_status,td_telecommute_time,td_shop_time,person_tripcount,walk_bike_loop_trips
2,3376,5,3324,990,4,,,1,0,1,2,,,,,,,,,,8.6360096557,45,2013.0,3.0,Ford,Edge,1.0,2.0,3329,1,1,2,1,2,2,1,2,0,1,7,317,2,7,0,0,0,108.0,55,1,4,2,1,1,1,0,1,1,3380,3,1,0,1,0,0,0,0,0,0,0,0,,,,,2,0,1,4,3
5,3324,1,3329,1035,4,,,1,0,1,1,,,,,,,,,,7.4395961748,45,2013.0,3.0,Ford,Edge,1.0,2.0,3329,1,1,2,1,2,2,1,2,0,1,7,317,2,7,0,0,0,108.0,55,1,4,2,1,1,1,0,1,1,3380,3,1,0,1,0,0,0,0,0,0,0,0,,,,,2,0,1,4,3
1,3329,2,3295,660,4,,,1,0,1,2,,,,,,,,,,11.712844583,20,2016.0,1.0,Nissan,Altima,1.0,2.0,3329,1,1,2,1,2,2,1,2,0,1,7,317,2,7,0,0,0,108.0,24,2,4,2,1,2,1,0,1,1,3295,3,2,,1,0,0,0,0,0,0,0,1,6,3289,3,3,1,0,0,3,0
2,3295,7,3324,1020,4,,,1,0,1,2,,,,,,,,,,18.755691484,60,,,,,,,3329,1,1,2,1,2,2,1,2,0,1,7,317,2,7,0,0,0,108.0,24,2,4,2,1,2,1,0,1,1,3295,3,2,,1,0,0,0,0,0,0,0,1,6,3289,3,3,1,0,0,3,0
7,3324,1,3329,1110,4,,,1,0,1,1,,,,,,,,,,7.5765395274,40,2016.0,1.0,Nissan,Altima,1.0,2.0,3329,1,1,2,1,2,2,1,2,0,1,7,317,2,7,0,0,0,108.0,24,2,4,2,1,2,1,0,1,1,3295,3,2,,1,0,0,0,0,0,0,0,1,6,3289,3,3,1,0,0,3,0
1,3446,5,3436,660,4,,,1,0,1,2,,,,,,,,,,3.5831638407,15,2012.0,2.0,Honda,Odyssey,1.0,1.0,3446,1,1,2,0,2,0,0,2,1,0,6,340,4,12,1,0,0,128.0,79,1,4,2,1,2,1,1,,,,9,,,,,,,,,,,0,,,,,2,0,3,12,1
5,3436,5,3568,735,4,,,1,0,1,3,,,,,,,,,,2.1551233033,10,2012.0,2.0,Honda,Odyssey,1.0,1.0,3446,1,1,2,0,2,0,0,2,1,0,6,340,4,12,1,0,0,128.0,79,1,4,2,1,2,1,1,,,,9,,,,,,,,,,,0,,,,,2,0,3,12,1
5,3568,9,3511,795,4,,,2,0,2,2,,,,,,,,,,4.2181136337,30,2012.0,2.0,Honda,Odyssey,1.0,1.0,3446,1,1,2,0,2,0,0,2,1,0,6,340,4,12,1,0,0,128.0,79,1,4,2,1,2,1,1,,,,9,,,,,,,,,,,0,,,,,2,0,3,12,1
9,3511,5,3568,850,4,,,2,0,2,2,,,,,,,,,,4.2181136337,20,2012.0,2.0,Honda,Odyssey,1.0,1.0,3446,1,1,2,0,2,0,0,2,1,0,6,340,4,12,1,0,0,128.0,79,1,4,2,1,2,1,1,,,,9,,,,,,,,,,,0,,,,,2,0,3,12,1
5,3568,5,3435,885,4,,,1,0,1,3,,,,,,,,,,1.1139367605,10,2012.0,2.0,Honda,Odyssey,1.0,1.0,3446,1,1,2,0,2,0,0,2,1,0,6,340,4,12,1,0,0,128.0,79,1,4,2,1,2,1,1,,,,9,,,,,,,,,,,0,,,,,2,0,3,12,1
