o_activity,o_tract_fips,d_activity,d_tract_fips,departure_time_minutes,reported_travel_time,travel_mode,travelers_hh,travelers_nonhh,vehicle_occupancy,park_loc,park_pay,hov_used,toll_road_used,distance,year,vehicle,tolltransponder,home_tract_fips,home_type,home_ownership,hhsize,numstudents,numdrivers,numworkers,numdisabilities,numvehicle,numvehicle_transponder,numbicycle,hh_income_detailed,tdate_week,tdate_dow,age,gender,race_ethnicity,race_ethnicity_hispanic,license,disability,smartphone,employment_status,jobs_count,work_tract_fips,student_status,volunteer_status,weight
1,24001000200,16,24001001000,1008,13,4,1,0,1,2,-1,-1,-1,4.867,2012.0,"(Hyundai, Santa Fe, 3.0, 1.0)",2.0,24001000200,1,1,2,2,2,2,0,2,0,2,5,75,4,35,1,1,2,1,2,1,0,1,-1,1,1,191.986143661936
16,24001001000,11,24023000500,1020,56,4,2,0,2,2,-1,-1,-1,43.424,2012.0,"(Hyundai, Santa Fe, 3.0, 1.0)",2.0,24001000200,1,1,2,2,2,2,0,2,0,2,5,75,4,35,1,1,2,1,2,1,0,1,-1,1,1,191.986143661936
11,24023000500,11,24023000500,1211,29,4,2,2,4,2,-1,-1,-1,1.287,2012.0,"(Hyundai, Santa Fe, 3.0, 1.0)",2.0,24001000200,1,1,2,2,2,2,0,2,0,2,5,75,4,35,1,1,2,1,2,1,0,1,-1,1,1,191.986143661936
11,24023000500,16,24001001000,1241,41,4,1,0,1,2,-1,-1,-1,41.867,2012.0,"(Hyundai, Santa Fe, 3.0, 1.0)",2.0,24001000200,1,1,2,2,2,2,0,2,0,2,5,75,4,35,1,1,2,1,2,1,0,1,-1,1,1,191.986143661936
16,24001001000,10,24001000300,1283,5,4,1,0,1,2,-1,-1,-1,3.096,2012.0,"(Hyundai, Santa Fe, 3.0, 1.0)",2.0,24001000200,1,1,2,2,2,2,0,2,0,2,5,75,4,35,1,1,2,1,2,1,0,1,-1,1,1,191.986143661936
10,24001000300,1,24001000200,1290,4,4,1,0,1,1,-1,-1,-1,2.019,2012.0,"(Hyundai, Santa Fe, 3.0, 1.0)",2.0,24001000200,1,1,2,2,2,2,0,2,0,2,5,75,4,35,1,1,2,1,2,1,0,1,-1,1,1,191.986143661936
1,24001000200,2,24001001000,460,23,4,1,0,1,2,-1,-1,-1,4.867,2017.0,"(Chevrolet, Colorado, 4.0, 1.0)",2.0,24001000200,1,1,2,2,2,2,0,2,0,2,5,75,4,26,1,1,2,1,2,1,0,1,24001001000,1,1,191.986143661936
2,24001001000,7,24023000500,1027,42,5,2,0,2,-1,-1,-1,-1,43.424,2012.0,"(Hyundai, Santa Fe, 3.0, 1.0)",2.0,24001000200,1,1,2,2,2,2,0,2,0,2,5,75,4,26,1,1,2,1,2,1,0,1,24001001000,1,1,191.986143661936
7,24023000500,11,24023000500,1212,24,4,2,2,4,2,-1,-1,-1,1.287,2012.0,"(Hyundai, Santa Fe, 3.0, 1.0)",2.0,24001000200,1,1,2,2,2,2,0,2,0,2,5,75,4,26,1,1,2,1,2,1,0,1,24001001000,1,1,191.986143661936
11,24023000500,8,24001000400,1242,45,4,1,0,1,2,-1,-1,-1,44.519,2012.0,"(Hyundai, Santa Fe, 3.0, 1.0)",2.0,24001000200,1,1,2,2,2,2,0,2,0,2,5,75,4,26,1,1,2,1,2,1,0,1,24001001000,1,1,191.986143661936
8,24001000400,1,24001000200,1292,8,4,1,1,2,2,-1,-1,-1,2.23,2012.0,"(Hyundai, Santa Fe, 3.0, 1.0)",2.0,24001000200,1,1,2,2,2,2,0,2,0,2,5,75,4,26,1,1,2,1,2,1,0,1,24001001000,1,1,191.986143661936
