o_activity,o_tract_fips,d_activity,d_tract_fips,departure_time_minutes,reported_travel_time,travel_mode,travelers_hh,travelers_nonhh,vehicle_occupancy,park_loc,park_pay,hov_used,toll_road_used,distance,year,vehicle,tolltransponder,home_tract_fips,home_type,home_ownership,hhsize,numstudents,numdrivers,numworkers,numdisabilities,numvehicle,numvehicle_transponder,numbicycle,hh_income_detailed,tdate_week,tdate_dow,age,gender,race_ethnicity,race_ethnicity_hispanic,license,disability,smartphone,employment_status,jobs_count,work_tract_fips,student_status,volunteer_status,weight
6,24021750702,1,24021750702,1005,10,4,1,0,1,2,-1,-1,-1,0.6058075997,2011.0,"(Chevrolet, Aveo, 1.0, 1.0)",2.0,24021750702,3,2,2,2,1,1,0,1,0,0,3,66,2,29,1,2,2,1,2,1,0,1,24021750701,1,1,59.0
1,51510200405,9,51510200202,360,15,4,1,0,1,2,-1,-1,-1,1.6922892013,2012.0,"(Acura, RDX, 3.0, 1.0)",2.0,51510200405,3,1,1,0,1,1,0,1,0,0,5,77,2,64,1,2,2,1,2,1,0,1,51510200801,0,1,106.0
2,24510999999,12,51510200703,590,190,4,1,0,1,3,1,-1,-1,52.026265435,2009.0,"(BMW, 3 series, 1.0, 1.0)",2.0,51510200404,2,1,1,0,1,1,0,1,0,0,7,59,4,63,1,2,2,1,2,1,0,1,11001010200,0,2,61.0
1,24021750505,2,51069999999,360,90,4,1,0,1,2,-1,-1,-1,52.5752219,2017.0,"(BMW, M2, 1.0, 1.0)",1.0,24021750505,3,2,1,0,1,1,0,2,2,0,4,64,4,64,2,4,2,1,2,1,0,1,51069999999,0,1,174.0
11,24033800606,1,24033800519,1230,30,4,1,0,1,1,-1,-1,-1,9.701183703,2007.0,"(Infiniti, FX35, 3.0, 1.0)",1.0,24033800519,1,1,1,0,1,1,0,1,1,0,6,47,2,70,2,2,2,1,2,1,0,1,-1,0,2,51.0
1,24003730203,15,24003740102,1100,20,4,1,0,1,2,-1,-1,-1,9.176,2014.0,"(Nissan, Altima, 1.0, 1.0)",2.0,24003730203,1,1,1,0,1,0,0,1,0,0,6,124,1,64,1,1,2,1,2,2,1,0,-1,0,1,13.0315683004776
11,24510200701,1,24510200701,1050,5,4,1,0,1,3,-1,-1,-1,0.112,2013.0,"(Chevrolet, Malibu, 1.0, 1.0)",1.0,24510200701,1,1,1,0,1,1,0,1,1,0,1,95,3,69,1,2,2,1,2,2,0,1,-1,0,1,358.642088069603
10,24031705000,2,24031704804,625,20,4,1,0,1,2,1,-1,-1,1.8574959909,2011.0,"(Lexus, RX 450h, 3.0, 4.0)",2.0,51059420502,2,1,2,0,2,2,0,3,0,1,8,63,4,36,1,4,2,1,2,1,0,2,24031704804,0,1,63.0
8,24033800507,1,24033800515,1000,5,4,1,0,1,2,-1,-1,-1,1.1767394565,2011.0,"(Kia, Soul, 3.0, 1.0)",1.0,24033800515,3,1,1,0,1,1,0,1,1,1,4,65,4,61,2,4,2,1,2,1,0,1,24033803516,0,2,51.0
10,24017851001,1,24017851400,660,30,4,1,0,1,1,-1,-1,-1,13.910619795,2004.0,"(Ford, Ranger, 4.0, 1.0)",1.0,24017851400,1,1,2,0,2,0,0,2,2,0,5,74,5,72,2,4,2,1,2,2,1,0,-1,0,1,125.0
8,24027606706,2,24027606707,450,10,4,1,0,1,2,-1,-1,-1,2.445,2015.0,"(Mazda, CX7, 3.0, 1.0)",1.0,24003740500,3,1,2,0,2,2,0,2,2,0,7,73,5,62,2,1,2,1,2,1,0,1,-1,0,2,35.9523858444907
6,24009860102,1,24009860600,550,10,4,1,0,1,1,-1,-1,-1,5.7900117794,2007.0,"(Toyota, Tacoma, 4.0, 1.0)",1.0,24009860600,1,1,3,1,2,1,0,2,2,1,8,43,2,65,2,4,2,1,2,1,1,0,-1,0,2,212.0
7,51059431600,1,51059452101,1200,30,4,3,0,3,2,-1,-1,-1,4.4781086668,2007.0,"(Toyota, Sienna, 2.0, 1.0)",2.0,51059452101,2,1,6,2,2,1,0,2,1,2,7,50,3,41,1,3,2,1,2,1,2,0,-1,0,2,612.0
16,24005420900,1,24005421300,982,8,5,3,0,3,-1,-1,-1,-1,1.461,2015.0,"(Honda, CR-V, 3.0, 1.0)",2.0,24005421300,1,1,3,3,1,1,2,1,0,0,5,118,4,10,1,6,1,-1,1,-1,-1,0,-1,1,1,40.5942946983524
16,24003980000,1,51059422102,270,60,4,1,0,1,1,-1,-1,-1,55.666066349,2008.0,"(Chrysler, Aspen, 3.0, 6.0)",2.0,51059422102,1,2,3,2,1,0,0,1,0,4,1,57,5,58,1,2,2,1,2,1,4,0,-1,0,1,280.0
5,24033800213,13,24031701221,1005,35,4,1,0,1,2,-1,-1,-1,23.295453522,2016.0,"(Nissan, Juke, 3.0, 1.0)",2.0,24031700723,3,2,1,1,1,1,0,1,0,1,5,47,4,34,1,3,2,1,2,1,0,1,-1,1,2,57.0
2,51107611700,1,51059452400,1090,30,4,1,0,1,1,-1,-1,1,21.713219294,2009.0,"(Chevrolet, Avalanche, 4.0, 1.0)",1.0,51059452400,1,1,2,0,2,2,0,4,3,0,8,57,3,51,2,4,2,1,2,1,0,1,51107611700,0,1,138.0
5,24033800413,5,24033800413,865,5,4,1,0,1,2,-1,-1,-1,0.2858794938,2006.0,"(Toyota, FJ Cruiser, 3.0, 1.0)",1.0,24033800411,1,1,2,1,2,2,0,3,2,0,7,63,2,59,2,4,2,1,2,1,0,1,24033803608,1,1,136.0
1,24031701216,14,42000303501,555,155,4,1,1,2,4,-1,-1,1,120.00899741,2015.0,"(Infiniti, Q50, 1.0, 1.0)",1.0,24031701216,2,1,1,0,1,0,0,1,1,0,6,42,4,65,1,4,2,1,2,1,1,0,-1,0,2,74.0
10,51153901507,1,51153901510,1095,15,4,1,0,1,1,-1,-1,-1,2.0771213907,2004.0,"(Chevrolet, Corvette, 1.0, 1.0)",2.0,51153901510,1,1,4,1,3,3,1,4,2,1,8,64,3,59,2,4,2,1,2,1,0,2,-1,0,2,327.0
16,24013514202,2,24005402303,430,35,4,1,0,1,2,-1,-1,-1,13.825,2016.0,"(Volkswagen, Golf/Cabriolet/Cabrio/GTI/GLI, 1.0, 1.0)",2.0,24013504202,1,1,4,2,2,2,0,3,1,3,8,105,4,33,2,1,2,1,2,1,0,1,24005402303,0,1,46.7201994122159
2,51013103402,1,24033801707,1005,15,4,1,0,1,1,-1,-1,-1,5.2191278425,2015.0,"(Honda, Civic, 1.0, 1.0)",2.0,24033801707,1,1,5,0,5,4,1,5,1,0,7,60,5,48,1,2,2,1,2,1,0,1,51013103402,0,1,323.0
2,51107980100,1,51107611206,940,20,4,1,0,1,1,-1,-1,-1,9.1978989157,2015.0,"(Acura, TLX, 1.0, 1.0)",2.0,51107611206,1,1,3,1,2,1,0,2,0,2,7,49,4,51,2,3,2,1,2,1,0,2,51107980100,0,1,204.0
13,24031700833,1,24031700706,530,10,4,2,0,2,-1,-1,-1,-1,1.8910623391,2011.0,"(Honda, Civic, 1.0, 4.0)",1.0,24031700706,1,1,2,0,2,2,0,2,1,0,8,52,5,61,2,4,2,1,2,1,0,1,-1,0,2,56.0
16,24025301301,1,24025301602,758,22,5,3,0,3,-1,-1,-1,-1,4.045,2005.0,"(Mercury, Mariner, 3.0, 1.0)",2.0,24025301602,1,1,3,0,2,0,2,2,0,2,3,89,3,33,1,1,2,2,1,2,7,0,-1,0,1,46.9672632381394
7,24017850802,5,24033801003,855,15,4,2,0,2,-1,-1,-1,-1,3.7545848627,2017.0,"(Chevrolet, Equinox, 3.0, 1.0)",1.0,24017850902,1,1,2,0,2,0,1,2,2,2,7,58,5,77,2,4,2,1,1,1,1,0,-1,0,1,126.0
2,11001010700,5,51059422402,1020,60,4,1,0,1,2,-1,-1,1,12.88872739,-1,"(-1, -1, -1, -1)",-1,51059451900,2,1,1,0,1,1,0,1,1,1,6,95,3,67,1,4,2,1,2,1,0,1,11001010700,0,1,129.0
13,51013102600,1,51013102500,385,5,4,1,0,1,1,-1,-1,-1,0.3282873018,2014.0,"(Ford, Fusion, 1.0, 4.0)",1.0,51013102500,1,1,3,1,2,2,0,2,2,3,8,97,3,31,2,4,2,1,2,1,0,1,-1,0,1,55.0
1,24025302802,10,24025302802,555,30,4,1,0,1,2,-1,-1,-1,1.487,2016.0,"(Chevrolet, Colorado, 4.0, 1.0)",1.0,24025302802,1,1,3,0,3,1,0,3,3,1,6,102,1,77,2,1,2,1,2,1,1,0,-1,0,1,91.1995644024522
16,24510070400,7,24510120700,1015,7,5,2,1,3,-1,-1,-1,-1,2.356,2005.0,"(Toyota, Camry, 1.0, 1.0)",1.0,24510130804,2,2,2,0,2,2,0,1,1,1,6,111,1,31,1,3,2,1,2,1,0,1,24510040200,0,1,241.639040387012
1,24033800520,5,24033800516,870,15,4,2,0,2,2,-1,-1,-1,0.659036163,2016.0,"(Nissan, Altima, 1.0, 1.0)",1.0,24033800520,2,1,3,0,3,0,0,1,1,2,1,41,2,46,2,2,2,1,2,2,1,0,-1,0,1,101.0
8,51059440100,2,51600300300,695,10,4,1,0,1,2,-1,-1,-1,2.0922833585,2015.0,"(Subaru, Impreza, 1.0, 1.0)",2.0,51013102500,3,2,2,0,2,2,0,2,0,1,7,80,1,31,2,4,2,1,2,1,0,2,51059452801,0,1,51.0
