o_activity,o_tract_fips,d_activity,d_tract_fips,departure_time_hhmm,arrival_time_hhmm,travel_mode,travelers_hh,travelers_nonhh,vehicle_occupancy,park_loc,park_pay,hov_used,toll_road_used,distance,reported_travel_time,year,bodytype,make,model,fueltype,tolltransponder,home_tract_fips,home_type,home_ownership,hhsize,numstudents,numdrivers,numworkers,numdisabilities,numvehicle,numvehicle_transponder,numbicycle,hh_income_detailed,tdate_string,tdate_dow,wthhfin,age,gender,race_ethnicity,race_ethnicity_hispanic,license,disability,smartphone,employment_status,jobs_count,work_tract_fips,student_status,volunteer_status
2,24003980000,1,24027605503,16:00,16:45,4,1,0,1,1,,,,16.166,45,2007.0,3.0,Hyundai,Santa Fe,1.0,1.0,24027605503,1,1,1,0,1,1,0,1,1,3,8,2018-07-09,1,103.342388463394,58,2,1,2,1,2,1,0,1,24003980000,0,
7,51059480504,1,51107611900,11:00,11:25,4,1,0,1,1,,,1,11.123994028,25,2015.0,1.0,Nissan,Altima,1.0,1.0,51107611900,3,1,2,0,2,0,0,2,2,0,7,2018-03-30,5,170.0,72,2,4,2,1,2,1,1,,,0,2
10,24015030400,1,24015030904,15:45,16:04,4,1,0,1,1,,,,6.684,19,2016.0,3.0,Honda,CR-V,1.0,1.0,24015030904,1,1,1,0,1,0,0,1,1,0,5,2019-02-19,2,119.891979584759,70,1,1,2,1,2,1,1,,,0,1
10,24033803602,1,24033800511,16:00,16:35,4,1,0,1,1,,,,10.189339122,35,2012.0,3.0,Ford,Explorer,1.0,2.0,24033800511,1,2,3,1,2,2,0,2,0,0,5,2018-08-30,4,305.0,38,2,2,2,1,2,1,0,2,11001005800,0,1
1,24033800518,5,24033803521,11:00,11:10,4,1,0,1,2,,,,3.1541910079,10,2013.0,1.0,Honda,Accord,1.0,2.0,24033800518,2,1,1,0,1,1,0,1,0,0,8,2017-10-20,5,157.0,57,1,2,2,1,2,1,0,1,11001005800,0,1
5,24005404403,1,24005404404,12:45,13:00,4,1,0,1,1,,,,2.15,15,2018.0,3.0,Honda,Pilot,1.0,1.0,24005404404,2,1,2,0,2,2,0,3,2,0,8,2018-06-12,2,244.617232830511,65,2,1,2,1,2,1,0,1,,0,
14,51153901225,1,51153901236,10:40,10:45,4,3,0,3,1,,,,1.5554678857,5,2012.0,3.0,Toyota,Highlander,1.0,1.0,51153901236,1,1,4,2,2,2,0,2,2,2,7,2018-04-16,1,308.0,36,1,4,2,1,2,1,0,2,51153901231,0,2
8,24033807404,5,24033807404,10:45,10:55,4,1,0,1,2,,,,0.7284042079,10,2014.0,3.0,Lexus,RX 350,1.0,1.0,24033806400,1,1,2,0,2,0,0,3,2,1,7,2017-12-01,5,121.0,84,2,4,2,1,2,1,1,,,0,2
13,24025301107,2,24005440600,07:30,08:05,4,1,0,1,2,,,,12.694,35,2014.0,1.0,Dodge,Charger (2006 on),1.0,1.0,24025301602,1,1,2,0,2,2,0,5,2,0,7,2019-03-12,2,43.8660736348094,52,1,1,2,1,2,1,0,1,24005440600,0,
12,24025303501,12,24025303803,12:30,12:37,4,2,0,2,3,,,,1.496,7,2006.0,2.0,Chevrolet,HHR,1.0,2.0,24025303501,1,1,2,0,2,0,1,2,1,0,8,2018-08-13,1,184.967647502802,85,2,1,2,1,2,2,1,,,0,1
5,24021752204,1,24021752204,17:10,17:15,4,1,0,1,,,,,0.4652055056,5,,,,,,,24021752204,1,1,2,0,2,0,0,2,2,1,2,2018-01-19,5,134.0,81,1,4,2,1,2,2,1,,,0,2
1,24025301301,13,24005440600,08:30,09:30,4,1,0,1,2,,,,9.416,60,2017.0,1.0,Lexus,RX330/350/400h/450h,1.0,2.0,24025301301,1,1,2,0,2,1,1,1,0,0,2,2019-03-28,4,196.721280613564,78,1,1,2,1,2,1,0,1,24025301703,0,
