column,value,count,percentage
o_tpb_taz,43,121,0.108221%
o_tpb_taz,2279,121,0.108221%
o_tpb_taz,1532,121,0.108221%
o_tpb_taz,1584,120,0.107327%
o_tpb_taz,3185,119,0.106432%
o_tpb_taz,3296,118,0.105538%
o_tpb_taz,514,118,0.105538%
o_tpb_taz,206,118,0.105538%
o_tpb_taz,3161,118,0.105538%
o_tpb_taz,3287,116,0.103749%
o_tpb_taz,372,116,0.103749%
o_tpb_taz,844,116,0.103749%
o_tpb_taz,66,116,0.103749%
o_tpb_taz,1652,116,0.103749%
o_tpb_taz,1628,116,0.103749%
o_tpb_taz,3087,115,0.102855%
o_tpb_taz,3044,115,0.102855%
o_tpb_taz,366,115,0.102855%
o_tpb_taz,703,114,0.101961%
o_tpb_taz,50,114,0.101961%
o_tpb_taz,618,113,0.101066%
o_tpb_taz,3012,113,0.101066%
o_tpb_taz,3665,113,0.101066%
o_tpb_taz,3035,112,0.100172%
o_tpb_taz,3036,112,0.100172%
o_tpb_taz,669,112,0.100172%
o_tpb_taz,2934,112,0.100172%
o_tpb_taz,1502,112,0.100172%
o_tpb_taz,3025,111,0.099277%
o_tpb_taz,3072,111,0.099277%
o_tpb_taz,1734,111,0.099277%
o_tpb_taz,1567,111,0.099277%
o_tpb_taz,57,111,0.099277%
o_tpb_taz,3158,111,0.099277%
o_tpb_taz,503,110,0.098383%
o_tpb_taz,2270,110,0.098383%
o_tpb_taz,1543,110,0.098383%
o_tpb_taz,1665,109,0.097489%
o_tpb_taz,2405,109,0.097489%
o_tpb_taz,1540,109,0.097489%
o_tpb_taz,3674,108,0.096594%
o_tpb_taz,1,108,0.096594%
o_tpb_taz,1817,108,0.096594%
o_tpb_taz,1414,108,0.096594%
o_tpb_taz,586,107,0.095700%
o_tpb_taz,2920,107,0.095700%
o_tpb_taz,1458,107,0.095700%
o_tpb_taz,3040,106,0.094805%
o_tpb_taz,1600,106,0.094805%
o_tpb_taz,1111,106,0.094805%
o_tpb_taz,722,106,0.094805%
o_tpb_taz,2278,106,0.094805%
o_tpb_taz,3078,105,0.093911%
o_tpb_taz,101,105,0.093911%
o_tpb_taz,1858,105,0.093911%
o_tpb_taz,466,105,0.093911%
o_tpb_taz,789,105,0.093911%
o_tpb_taz,42,104,0.093017%
o_tpb_taz,2933,104,0.093017%
o_tpb_taz,1342,104,0.093017%
o_tpb_taz,1218,103,0.092122%
o_tpb_taz,978,103,0.092122%
o_tpb_taz,62,103,0.092122%
o_tpb_taz,1590,103,0.092122%
o_tpb_taz,718,102,0.091228%
o_tpb_taz,3423,102,0.091228%
o_tpb_taz,1573,102,0.091228%
o_tpb_taz,1649,101,0.090333%
o_tpb_taz,504,101,0.090333%
o_tpb_taz,180,100,0.089439%
o_tpb_taz,1527,100,0.089439%
o_tpb_taz,2138,100,0.089439%
o_tpb_taz,289,99,0.088545%
o_tpb_taz,49,99,0.088545%
o_tpb_taz,1730,99,0.088545%
o_tpb_taz,1457,99,0.088545%
o_tpb_taz,1500,98,0.087650%
o_tpb_taz,3435,98,0.087650%
o_tpb_taz,1352,98,0.087650%
o_tpb_taz,2624,97,0.086756%
o_tpb_taz,33,97,0.086756%
o_tpb_taz,407,97,0.086756%
o_tpb_taz,3324,97,0.086756%
o_tpb_taz,201,96,0.085861%
o_tpb_taz,1222,96,0.085861%
o_tpb_taz,186,96,0.085861%
o_tpb_taz,12,96,0.085861%
o_tpb_taz,1152,95,0.084967%
o_tpb_taz,3042,95,0.084967%
o_tpb_taz,1769,95,0.084967%
o_tpb_taz,3381,95,0.084967%
o_tpb_taz,695,94,0.084073%
o_tpb_taz,1593,94,0.084073%
o_tpb_taz,2918,94,0.084073%
o_tpb_taz,1972,94,0.084073%
o_tpb_taz,3107,93,0.083178%
o_tpb_taz,2936,93,0.083178%
o_tpb_taz,27,93,0.083178%
o_tpb_taz,47,93,0.083178%
o_tpb_taz,2265,93,0.083178%
o_tpb_taz,3441,93,0.083178%
o_tpb_taz,1998,93,0.083178%
o_tpb_taz,2644,93,0.083178%
o_tpb_taz,2144,93,0.083178%
o_tpb_taz,11,92,0.082284%
o_tpb_taz,35,92,0.082284%
o_tpb_taz,1416,92,0.082284%
o_tpb_taz,736,92,0.082284%
o_tpb_taz,3100,91,0.081390%
o_tpb_taz,2034,91,0.081390%
o_tpb_taz,3256,91,0.081390%
o_tpb_taz,2271,91,0.081390%
o_tpb_taz,2396,91,0.081390%
o_tpb_taz,2758,91,0.081390%
o_tpb_taz,2921,91,0.081390%
o_tpb_taz,981,90,0.080495%
o_tpb_taz,2539,90,0.080495%
o_tpb_taz,199,90,0.080495%
o_tpb_taz,2145,90,0.080495%
o_tpb_taz,17,89,0.079601%
o_tpb_taz,1940,89,0.079601%
o_tpb_taz,2931,89,0.079601%
o_tpb_taz,1477,89,0.079601%
o_tpb_taz,1569,89,0.079601%
o_tpb_taz,2075,89,0.079601%
o_tpb_taz,2975,88,0.078706%
o_tpb_taz,714,88,0.078706%
o_tpb_taz,688,88,0.078706%
o_tpb_taz,2069,88,0.078706%
o_tpb_taz,1547,88,0.078706%
o_tpb_taz,1767,87,0.077812%
o_tpb_taz,3657,87,0.077812%
o_tpb_taz,3094,86,0.076918%
o_tpb_taz,423,86,0.076918%
o_tpb_taz,1750,86,0.076918%
o_tpb_taz,147,86,0.076918%
o_tpb_taz,2177,86,0.076918%
o_tpb_taz,200,85,0.076023%
o_tpb_taz,411,85,0.076023%
o_tpb_taz,1601,85,0.076023%
o_tpb_taz,1901,85,0.076023%
o_tpb_taz,3477,85,0.076023%
o_tpb_taz,537,85,0.076023%
o_tpb_taz,2223,85,0.076023%
o_tpb_taz,2062,85,0.076023%
o_tpb_taz,3070,84,0.075129%
o_tpb_taz,285,84,0.075129%
o_tpb_taz,279,84,0.075129%
o_tpb_taz,384,84,0.075129%
o_tpb_taz,3668,84,0.075129%
o_tpb_taz,1412,84,0.075129%
o_tpb_taz,1508,84,0.075129%
o_tpb_taz,1731,84,0.075129%
o_tpb_taz,1694,84,0.075129%
o_tpb_taz,2307,84,0.075129%
o_tpb_taz,18,83,0.074234%
