segment_id,segment_group,direction,route,route_type,description,observed_speed_mph,travel_time_min,speed_time_min,length_miles,status,congestion,imputation,source_link_id,start_lon,start_lat,end_lon,end_lat,start_milepost,end_milepost,fetched_at_utc,source_response_url,source_metadata_url
VA_I-81_137-143,segment,N,I-81,I,from I-81 VA-112 Exit137 (MM 137) to MM 143,51.43000000,7.00000000,7.00000000,6.00000000,open,1,0.0,1305410,,,,,,,2026-06-04T06:33:22+00:00,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_response.json,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_segments_metadata.json
VA_I-81_172-150,segment,S,I-81,I,from I-81 MM 172 to Junction US 220 South-Exit 150A (MM 150),60.00000000,22.00000000,20.00000000,22.00000000,open,1,0.0,1305657,,,,,,,2026-06-04T06:33:22+00:00,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_response.json,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_segments_metadata.json
VA_I-81_150-191,segment,N,I-81,I,from I-81 US-220S Exit150A (MM 150) to I-64 Exit191 (MM 191),63.08000000,39.00000000,37.00000000,41.00000000,open,1,0.0,1305753,,,,,,,2026-06-04T06:33:22+00:00,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_response.json,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_segments_metadata.json
VA_I-81_114-118,segment,N,I-81,I,from I-81 VA-8 Exit114 (MM 114) to MM 118,60.00000000,4.00000000,4.00000000,4.00000000,open,1,0.0,1305774,,,,,,,2026-06-04T06:33:22+00:00,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_response.json,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_segments_metadata.json
VA_I-81_98-118,segment,N,I-81,I,from I-81 VA-100 Exit98 (MM 98) to MM 118,66.67000000,18.00000000,18.00000000,20.00000000,open,1,0.0,1305830,,,,,,,2026-06-04T06:33:22+00:00,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_response.json,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_segments_metadata.json
VA_I-81_98-81,segment,S,I-81,I,from I-81 MM 98 to Jct I-81 Wytheville (MM 81),63.91000000,16.00000000,16.00000000,17.00000000,open,1,0.0,1305860,,,,,,,2026-06-04T06:33:22+00:00,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_response.json,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_segments_metadata.json
VA_I-81_140-143,segment,N,I-81,I,from I-81 VA-311 Exit140 (MM 140) to MM 143,45.00000000,4.00000000,4.00000000,3.00000000,open,1,0.0,1306068,,,,,,,2026-06-04T06:33:22+00:00,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_response.json,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_segments_metadata.json
VA_I-81_81-72,segment,S,I-81,I,from I-81 Jct I-81 Wytheville (MM 81) to MM 72,63.73000000,8.50000000,8.50000000,9.00000000,open,1,0.0,1306258,,,,,,,2026-06-04T06:33:22+00:00,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_response.json,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_segments_metadata.json
VA_I-95_3.8-36.3,segment,N,I-95,I,from I-95 Rt629 Exit4 (MM 3.8) to MM 36.3,69.64000000,28.00000000,28.00000000,32.50000000,open,1,0.0,365457166,,,,,,,2026-06-04T06:33:22+00:00,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_response.json,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_segments_metadata.json
VA_I-95_62.95-67.43,segment,N,I-95,I,"from I-95 junction VA-288,Chesterfield County (MM 62.95) to VA-150N Exit67B (MM 67.43)",53.45000000,4.90000000,4.50000000,4.40000000,open,1,0.0,365466880,,,,,,,2026-06-04T06:33:22+00:00,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_response.json,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_segments_metadata.json
VA_I-95_18.9-0.1,segment,S,I-95,I,from I-95 MM 18.9 to North Carolina State Line (MM 0.1),66.00000000,17.00000000,17.00000000,18.70000000,open,1,0.0,365481058,,,,,,,2026-06-04T06:33:22+00:00,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_response.json,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_segments_metadata.json
