scenario,source_row,o_tpb_taz,d_tpb_taz,o_activity,d_activity,departure_time_min,travel_mode,vehicle_occupancy,person_weight,vehicle_weight_unscaled,vehicle_weight
real,88207,1623,2150,1,7,1015,4,2,133.00000000,66.50000000,3.04334957
real,88208,2150,1623,7,1,1095,4,2,133.00000000,66.50000000,3.04334957
real,88211,2627,1675,1,2,420,4,1,162.00000000,162.00000000,7.41387413
real,88212,1675,2627,2,1,1200,4,1,162.00000000,162.00000000,7.41387413
real,88215,2627,1968,1,2,855,4,1,162.00000000,162.00000000,7.41387413
real,88216,1968,2627,2,1,1380,4,1,162.00000000,162.00000000,7.41387413
real,88217,2052,2052,1,5,1140,4,1,164.00000000,164.00000000,7.50540344
real,88218,2052,2008,5,8,1190,4,1,164.00000000,164.00000000,7.50540344
real,88219,2008,2052,8,1,1200,4,1,164.00000000,164.00000000,7.50540344
real,88220,1628,1978,1,16,525,4,3,108.00000000,36.00000000,1.64752759
real,88221,1978,1628,16,16,545,4,2,108.00000000,54.00000000,2.47129138
real,88222,1628,1628,16,1,565,4,1,108.00000000,108.00000000,4.94258276
real,88227,1628,1978,1,16,980,4,1,108.00000000,108.00000000,4.94258276
real,88228,1978,1628,16,16,995,4,2,108.00000000,54.00000000,2.47129138
real,88229,1628,1628,16,1,1015,4,3,108.00000000,36.00000000,1.64752759
real,88256,2360,2357,1,5,510,4,3,225.00000000,75.00000000,3.43234914
real,88257,2357,2360,5,1,550,4,3,225.00000000,75.00000000,3.43234914
real,88258,2388,2360,18,1,930,4,1,225.00000000,225.00000000,10.29704741
real,88307,1540,1598,1,2,485,4,1,37.00000000,37.00000000,1.69329224
real,88310,1598,1540,2,1,1080,4,1,37.00000000,37.00000000,1.69329224
real,88333,1968,1927,1,7,1105,4,2,100.00000000,50.00000000,2.28823276
real,88334,1927,1933,7,6,1185,4,2,100.00000000,50.00000000,2.28823276
real,88335,1933,1968,6,1,1205,4,2,100.00000000,50.00000000,2.28823276
real,88336,1968,1637,1,2,420,4,1,100.00000000,100.00000000,4.57646551
real,88337,1637,1817,2,13,995,4,1,100.00000000,100.00000000,4.57646551
real,88338,1817,1968,13,1,1070,4,1,100.00000000,100.00000000,4.57646551
real,88344,1920,1937,1,10,845,4,1,81.00000000,81.00000000,3.70693707
real,88345,1937,1928,10,5,865,4,1,81.00000000,81.00000000,3.70693707
real,88346,1928,1920,5,1,900,4,1,81.00000000,81.00000000,3.70693707
real,88347,1920,1448,1,7,320,4,1,81.00000000,81.00000000,3.70693707
real,88350,1920,1938,1,9,570,4,1,81.00000000,81.00000000,3.70693707
real,88351,1938,1920,9,1,615,4,1,81.00000000,81.00000000,3.70693707
