screenline_id,method,absolute_error_delta_vs_direct
24003702204__24033800504,direct_survey,0.0
24003702205__24003702206,direct_survey,0.0
24003702205__24003702209,direct_survey,0.0
24003702205__24003740702,direct_survey,0.0
24003702206__24003702208,direct_survey,0.0
24003702206__24003702209,direct_survey,0.0
24003702206__24003751700,direct_survey,0.0
24003702208__24003702209,direct_survey,0.0
24003702208__24003740702,direct_survey,0.0
24003702208__24003740800,direct_survey,0.0
24003702209__24003740702,direct_survey,0.0
24003702300__24003751700,direct_survey,0.0
24003702300__24033800504,direct_survey,0.0
24003702402__24003702500,direct_survey,0.0
24003702402__24003702701,direct_survey,0.0
24003702402__24003702702,direct_survey,0.0
24003702402__24003706500,direct_survey,0.0
24003702402__24003751600,direct_survey,0.0
24003702500__24003702601,direct_survey,0.0
24003702500__24003706500,direct_survey,0.0
24003702601__24003702602,direct_survey,0.0
24003702601__24003706401,direct_survey,0.0
24003702602__24003706301,direct_survey,0.0
24003702602__24003706401,direct_survey,0.0
24003702701__24003702702,direct_survey,0.0
24003702701__24003706500,direct_survey,0.0
24003702701__24003706600,direct_survey,0.0
24003706101__24003706302,direct_survey,0.0
24003706101__24003706402,direct_survey,0.0
24003706101__24003706500,direct_survey,0.0
24003706101__24003706700,direct_survey,0.0
24003706301__24003706302,direct_survey,0.0
24003706301__24003706401,direct_survey,0.0
24003706302__24003706401,direct_survey,0.0
24003706302__24003706402,direct_survey,0.0
24003706401__24003706402,direct_survey,0.0
24003706401__24003706500,direct_survey,0.0
24003706500__24003706600,direct_survey,0.0
24003706600__24003706700,direct_survey,0.0
24003707001__24003707002,direct_survey,0.0
24003707001__24003708001,direct_survey,0.0
24003707002__24003708001,direct_survey,0.0
24003708001__24003708004,direct_survey,0.0
24003708001__24009860200,direct_survey,0.0
24003708001__24009860300,direct_survey,0.0
24003708004__24009860101,direct_survey,0.0
24003708004__24009860102,direct_survey,0.0
24003708004__24033800601,direct_survey,0.0
24003708004__24033800605,direct_survey,0.0
24003730100__24003730203,direct_survey,0.0
24003730100__24003730204,direct_survey,0.0
24003730100__24003731308,direct_survey,0.0
24003730100__24003731309,direct_survey,0.0
24003730100__24003731311,direct_survey,0.0
24003730100__24510250500,direct_survey,0.0
24003730203__24003730204,direct_survey,0.0
24003730203__24003730300,direct_survey,0.0
24003730203__24003730402,direct_survey,0.0
24003730203__24003731204,direct_survey,0.0
24003730203__24003751103,direct_survey,0.0
24003730204__24003731204,direct_survey,0.0
24003730204__24003731311,direct_survey,0.0
24003730300__24003730401,direct_survey,0.0
24003730300__24003730402,direct_survey,0.0
24003730300__24003751000,direct_survey,0.0
24003730300__24003751103,direct_survey,0.0
24003730401__24003730402,direct_survey,0.0
24003730401__24003730506,direct_survey,0.0
24003730401__24003740201,direct_survey,0.0
24003730401__24003750900,direct_survey,0.0
24003730401__24003751000,direct_survey,0.0
24003730402__24003730502,direct_survey,0.0
24003730402__24003730506,direct_survey,0.0
24003730402__24003731204,direct_survey,0.0
24003730502__24003730504,direct_survey,0.0
24003730502__24003730506,direct_survey,0.0
24003730502__24003730603,direct_survey,0.0
24003730502__24003731204,direct_survey,0.0
24003730504__24003730505,direct_survey,0.0
24003730504__24003730601,direct_survey,0.0
24003730504__24003730603,direct_survey,0.0
24003730504__24003741000,direct_survey,0.0
24003730505__24003740201,direct_survey,0.0
24003730505__24003741000,direct_survey,0.0
24003730506__24003740201,direct_survey,0.0
24003730601__24003741000,direct_survey,0.0
24003730603__24003730604,direct_survey,0.0
24003730603__24003731203,direct_survey,0.0
24003730603__24003731204,direct_survey,0.0
24003730604__24003730700,direct_survey,0.0
24003730604__24003731203,direct_survey,0.0
24003730700__24003730800,direct_survey,0.0
24003730700__24003731201,direct_survey,0.0
24003730700__24003731203,direct_survey,0.0
24003730800__24003730901,direct_survey,0.0
24003730800__24003731103,direct_survey,0.0
24003730800__24003731105,direct_survey,0.0
24003730800__24003731201,direct_survey,0.0
24003730901__24003730902,direct_survey,0.0
24003730901__24003731103,direct_survey,0.0
24003730902__24003731002,direct_survey,0.0
24003730902__24003731003,direct_survey,0.0
24003730902__24003731004,direct_survey,0.0
24003730902__24003731103,direct_survey,0.0
24003731002__24003731003,direct_survey,0.0
24003731003__24003731004,direct_survey,0.0
24003731102__24003731103,direct_survey,0.0
24003731102__24003731104,direct_survey,0.0
24003731103__24003731104,direct_survey,0.0
24003731103__24003731105,direct_survey,0.0
24003731104__24003731105,direct_survey,0.0
24003731105__24003731201,direct_survey,0.0
24003731201__24003731203,direct_survey,0.0
24003731202__24003731203,direct_survey,0.0
24003731202__24003731204,direct_survey,0.0
24003731202__24003731303,direct_survey,0.0
24003731202__24003731307,direct_survey,0.0
24003731203__24003731204,direct_survey,0.0
24003731204__24003731307,direct_survey,0.0
24003731204__24003731311,direct_survey,0.0
24003731303__24003731307,direct_survey,0.0
24003731306__24003731307,direct_survey,0.0
24003731306__24003731309,direct_survey,0.0
24003731307__24003731309,direct_survey,0.0
24003731307__24003731310,direct_survey,0.0
24003731307__24003731311,direct_survey,0.0
24003731308__24003731309,direct_survey,0.0
