value,count
Versa Note,30
Ioniq,30
Rabbit,29
Escort/EXP/ZX2,29
M35/M37/M45/M56,29
Stratus,29
Avenger (2008 on),29
XT5,29
200/220/230/240/ 250/260/280/300/ 320/420,29
TrailBlazer EXT,29
C-Max,28
C30,27
Suburban (1950-2003),27
Intrigue,27
CLA-Class,27
Intrepid,27
Yaris iA,27
IS 300,27
Regal (FWD),26
Tiburon,26
Silhouette,26
A8,26
500c,26
iM,26
Envoy XL,26
LS 430,26
CLS-Class,26
Savana,26
Aveo,26
80 Series,25
CC (2012 on),25
STS,25
V60,25
Miata/MX-5,25
BRZ,25
Van,25
GLC-Class,25
S4,25
SLK-Class,25
Lumina,24
XTS,24
XF,24
S Class (1995 on),23
MKS,23
Vue,23
Magnum,23
S6,23
GLA-Class,23
1 series,23
Windstar,22
40 Series,22
iA,22
C-Max Energi,22
Escalade,22
Boxster,22
allroad,22
Grand Prix (FWD),21
B-Series Van/fRam Van/Ram Wagon,21
tC (2012 on),21
HS 250h,21
Malibu Maxx,21
GLK Class,20
5-Sep,20
Transit,20
V50,20
S5,20
Electra/Electra 225/Park Avenue (1991 on),20
I35,20
Scion,20
LS 400,20
Aspen,20
B-Series,20
Soul EV,20
9-3/9-3x,19
7-series,19
xD (2012 on),19
LS-400/430/460/L/600h/L,19
Geo Tracker/Tracker,19
Expedition EL,19
Accord Crosstour,19
350Z,19
2500,19
Medium/Heavy Â­ COE high entry,18
FX35/FX37/FX45/FX50,18
C70,18
850 Series,18
M35,18
370Z,18
NV3500,18
Aerostar,17
Suburban/Yukon XL (1950-2003 only),17
Aerio,17
Contour,17
Bonneville,17
Range Rover Sport,17
XJ8,17
NX200t,17
Model X,17
Achieva/Alero,16
Regal (RWD only),16
Transit Van,16
S-Type,16
6 series,16
G25,16
190,15
Rendezvous,15
Aveo/Aveo 5,15
F-Pace,15
CLK,15
"Bus: Front engine, Flat front",15
Ram Truck,15
Prelude,15
K1500,15
Rapide,15
Medium/Heavy Â­ CBE,14
S15/T15/Sonoma,14
CLA Class,14
Seville,14
Trans Sport/ Montana/SV6,14
Ciera,14
RX-8,14
Alero,14
Rodeo,14
ZDX,13
Pickup/ B-Series Pickup,13
Z3,13
500/500c,13
2-Series,13
S3,13
FR-S,13
Continental (1982 on),13
500 ABARTH,13
Firebird,13
Envision,13
Nitro,13
Navigator L,13
CL,12
G-series van,12
Delta 88/LSS,12
CJ-5/CJ-6/CJ-7/CJ-8,12
911/996,12
QX4,12
GLA Class,12
Ram C/V,12
230/280 SL,12
Rodeo/Rodeo Sport,12
Excursion,12
Terraza,12
Other (vehicle),12
NX,12
Unknown (light truck)  OTHER AND,12
S4 (1992-1994; 2000-2011),12
Venture,12
SX4 Crossover,12
Mazdaspeed3,12
LX 570,12
A3 e-tron,12
Voyager,12
7 series,12
S2000,12
Tracker,12
M37,12
G-Class,12
LHS,12
500X,12
350/380/420/450/560 SLC,11
986/Boxster,11
Baja,11
1-Series,11
S-10 Blazer/TrailBlazer (2002 only),11
Titan (2004-2006),11
Cadenza,11
Grand Vitara (2003 on),11
Passport,11
Escalade ESV,11
Golf R,11
Jetta Sportwagen,11
Grand Vitara,11
Spark EV,11
e-Golf,11
Forte5,11
E450 Super Duty,11
Truck,11
LR3,11
I30,11
Titan XD,11
500L,10
Cayman,10
G8,10
Crown,10
XJ,10
G5,10
Veracruz,10
Thunderbird,10
2 series,10
Park Avenue,10
Prizm,10
3000GT,10
SCION XA,10
500e,10
Montana,10
TRAIL HAWK,10
Rogue Sport,10
Fortwo,9
NV200/eNV200,9
Motorcycle 750cc or greater,9
Montero/MonteroSport,9
Cutlass (FWD),9
Kizashi,9
XF/XF-R,9
Corona,9
850,9
CX-5 AWD 1,9
Genesis Coupe,9
L300,9
T100,9
QX80,9
F-450,9
G25x,9
F650CS,9
LX 470,9
UltraGlide,9
SX4,9
Touareg/Touareg 2,8
"Unknown (as to automobile, motored cycle, light truck or truck)",8
300/380/420/450/500/560/SEL & 500/560,8
6-series,8
SLK,8
GX460,8
English Ford,8
MKT,8
Sky,8
Discovery Sport,8
Mark VIII,8
Hybrid,8
Amanti,8
IS 250C,8
240,8
Model 3,8
H3,8
Continental,8
Stelvio,8
Malibu Limited,8
Ecosport,8
LX450/470/570,7
450-749cc,7
"D50, Colt pickup, Ram 50/Ram 100",7
Regal (2011 on),7
Challenger (2008 on),7
Geo Metro/Metro,7
Macan,7
Nova/Geo Prism/Prism,7
NV,7
ECHO,7
Grand AM,7
Concorde,7
Taurus wagon,7
G80,7
RX-7,7
EX37,7
Forte Koup,7
M37x,7
M3,7
Overland,7
H2,7
SCION XB,7
NX 300h,7
Road King,7
320,7
Hornet,7
Medium/Heavy Â­ COE low entry,6
Ram Promaster,6
XJ/XJL/XJ6/12/XJR/XJ8/XJ8L Sedan/Coupe,6
Escalade EXT (2002 -2006),6
90 Series,6
F-Type,6
Unknown cc,6
Dauphine/10/R-8 Caravelle,6
Range Rover Evoque,6
SL Class (1995 on),6
Cascada,6
Astro Van,6
B9 Tribeca,6
R Class,6
Allroad (2013 on),6
4-door Hardtop,6
Capri,6
Sunfire,6
C-HR,6
S60 Inscription,6
R-Class,6
122,6
clubman,6
Aveo5,6
QX30,6
iQ,6
SX4 Sport,6
323,6
Grand Turismo,6
V70 XC,6
G20,6
400h,6
XK8,6
Hummer 2,6
Outlook,6
Spider,6
QX90,6
300S,6
Montero,6
XA,6
Cutlass,6
Pathfinder Hybrid,6
SC 400,6
825,6
Rio5,6
Hybrid SeMax,6
Stinger,6
GS F,6
RLX,6
scion,6
C-RV,6
