link_id,observed_volume,count_id,match_distance_m,lon,lat,road_name,route_id,county
osm_755552421_12,571.00000000,S2011220619,0.182,-75.72598179,38.35782364,Catchpenny Rd,22000CO00067  01SS**************,Wicomico
osm_545100429_5,26431.00000000,B0967,0.074,-76.64899294,39.49272116,York Rd,03000MD00045  01NN**************,Baltimore
osm_78482180_13,2755.00000000,S2014040318,0.308,-76.60232154,38.55603039,Prince Frederick Blvd,04000CO01040  01NN**************,Calvert
osm_49655318_2,14645.00000000,S2003240021,1.413,-76.62868805,39.29356392,W Mulberry St,24999MU06168  01EE**************,Baltimore City
osm_47287880_2,42982.00000000,B030153,0.541,-76.47914748,39.32394531,Southeast Blvd,03000MD00702  01EE**************,Baltimore
osm_242827991_4,4143.00000000,S2000160206,1.104,-76.86786587,38.95892783,Ramp 8 Fr Is 95 Sb To Md 450 Wb,16000RP00095  02SSIS20        08,Prince George's
osm_17604768_11,1165.00000000,S2014050630,0.377,-75.79956945,38.88398962,Hobbs Rd,05000CO00107  01WW**************,Caroline
osm_6002571_4,1554.00000000,S2003240014,0.291,-76.55311439,39.27970506,Ramp 4 Fr Is895 Nb To Odonnell St Cutoff,24000RP00895  02WWIS11A       04,Baltimore City
osm_17698314_73,6352.00000000,B200014,0.809,-76.05901230,38.75812109,Dutchmans La,20000CO00095  01WW**************,Talbot
osm_609616562_5,753.00000000,S2010110017,0.591,-79.10511538,39.68834362,Ramp 4 Fr Us 219j Nb To Is 68 Eb,11000RP00068  02EEIS22        04,Garrett
osm_1084550620_2,20681.00000000,B030085,0.565,-76.65391809,39.49571971,Shawan Rd,03000CO00438  01EE**************,Baltimore
osm_195245964_3,25281.00000000,B030043,0.314,-76.71879056,39.29085435,Balto National Pike,03000US00040  01EE**************,Baltimore
osm_1474054574_6,3212.00000000,S2011220598,0.069,-75.61848417,38.32042335,E Main St,22061MU00195  01SS**************,Wicomico
osm_289676218_3,5161.00000000,S2012241421,0.151,-76.67262134,39.28580388,W Caton Ave,24999MU01671  01WW**************,Baltimore City
osm_1346068524_1,2151.00000000,B1806,1.716,-76.16089689,38.49761597,Taylors Island Rd,09000MD00016  01EE**************,Dorchester
osm_160951987_6,1000.00000000,S2012030110,0.247,-76.56499081,39.48752580,Blenheim Rd,03000CO00330  01SS**************,Baltimore
osm_696063629_1,7921.00000000,S2012161035,0.852,-76.90572578,38.84988960,Parkland Dr,16000CO00086  01SS**************,Prince George's
osm_83985343_1,15791.00000000,B3819,0.382,-76.07953004,38.76158965,Easton Pkwy,20000MD00322  01NN**************,Talbot
osm_10900116_16,7862.00000000,S2010240117,1.602,-76.63049544,39.31721478,Ramp 1 Fr Ramp 4 To Druid Park Lake Dr,24000RP00083  02NNIS7         01,Baltimore City
osm_22845759_10,5230.00000000,S1998030180,1.958,-76.66577121,39.49670507,Ramp 2 Fr Shawan Rd Wb To Is 83 Nb,03000RP00083  02NNIS20        02,Baltimore
osm_54968057_7,4935.00000000,S2010030151,0.195,-76.77845440,39.41781338,Ramp 6 Fr Md 140 Eb To Ramp 7,03000RP00140  02SSMD5         06,Baltimore
osm_17624178_42,44441.00000000,B1337,0.677,-76.60466057,38.58288331,Solomons Island Rd,04000MD00002  01NN**************,Calvert
osm_1335040187_7,14832.00000000,B160115,0.860,-76.85981107,39.10194337,Talbott Ave (wb Couplet),16000MD00198  09WW**************,Prince George's
osm_697667726_10,7912.00000000,B120004,3.618,-76.35934233,39.54581276,Moores Mill Rd,12007MU00595  01EE**************,Harford
osm_341361178_2,4361.00000000,S1999030074,1.520,-76.71268062,39.39183466,Ramp 7 Fr Ramp 2 To Stevenson Rd,03000RP00695  02WWIS21        07,Baltimore
osm_968550957_1,44181.00000000,B150098,4.575,-77.11034082,39.07247120,Veirs Mill Rd,15000MD00586  01EE**************,Montgomery
osm_47057084_6,4113.00000000,S2009080006,1.205,-76.78057369,38.53519351,Ramp 8 Fr Md 5 Sb To Md 231 Wb,08000RP00005  02SSMD47        08,Charles
osm_1048568024_1,161030.00000000,P0034,0.419,-76.50718697,39.36306952,Balto Beltway,03000IS00695  01NN**************,Baltimore
osm_135199677_4,1984.00000000,S2009030023,0.279,-76.46801116,39.34214171,Ramp 7 Fr Us 40 Wb To Ramp 6 (to Md 700),03000RP00040  02SSUS18        07,Baltimore
osm_75923293_2,8232.00000000,B240141,0.472,-76.59495628,39.31141201,N Broadway,24999MU01445  01NN**************,Baltimore City
osm_48844230_1,1115.00000000,B0573,0.769,-78.68026128,39.67871622,National Pike,01000MD00144  01EE**************,Allegany
osm_5265715_9,4413.00000000,S2006130009,3.027,-76.85986273,39.13026921,Ramp 1 Fr Is 95 Nb To Md 216 Wb,13000RP00095  02EEIS35        01,Howard
osm_130467869_2,8302.00000000,B3941,0.643,-77.81069622,39.62738311,Greencastle Pike,21000MD00063  01NN**************,Washington
osm_1079764311_2,37881.00000000,B080094,2.210,-76.87494051,38.62209414,Mattawoman Beantown Rd,08000MD00005  01NN**************,Charles
osm_284469935_30,320.00000000,S2012011471,3.099,-78.62487496,39.54656128,Opessa St,01000CO00743  01SS**************,Allegany
osm_424994165_6,12882.00000000,B030030,5.424,-76.71890710,39.36788094,Milford Mill Rd,03000CO01800  01WW**************,Baltimore
osm_50814687_5,2983.00000000,S2000030090,1.332,-76.49226995,39.33538681,Ramp 6 Fr Md 7 Eb To Md 695 Sb,03000RP00695  02EEMD34        06,Baltimore
osm_889933107_2,2383.00000000,B1404,0.623,-75.76198010,38.82891503,Greenwood Rd,05000MD00016  01EE**************,Caroline
osm_1071216637_16,15222.00000000,B130059,1.368,-76.82650252,39.18180364,Oakland Mills Rd,13000CO00128  01SS**************,Howard
osm_1393377377_4,11425.00000000,S2002020015,0.530,-76.67382546,39.03830701,Riedel Rd,02000CO02637  01NN**************,Anne Arundel
osm_6000153_5,3130.00000000,S2011240482,1.446,-76.53491250,39.28798628,Ramp 5 Fr Ramp 8 (fr Is 95 Sb) To Md 150,24000RP00095  02SSIS59        05,Baltimore City
osm_5974460_3,3471.00000000,S2012150927,0.350,-77.17985867,39.14933691,Victory Farm Dr,15063MU00389  01EE**************,Montgomery
osm_1099741248_2,39411.00000000,B3305,1.545,-76.98774086,38.98794203,New Hampshire Ave,15000MD00650  01NN**************,Montgomery
osm_889079398_2,77390.00000000,B020060,0.154,-76.41732709,39.02061458,Blue Star Memorial Hwy,02000US00050  01EE**************,Anne Arundel
osm_11541890_15,2280.00000000,B1598,0.107,-76.99519504,39.58408429,Monroe St                               ,06155MU00380  01EE**************,Carroll
osm_468888876_4,66492.00000000,B3281,2.515,-76.86299195,38.96126436,Annapolis Rd,16000MD00450  01EE**************,Prince George's
osm_70011407_6,3713.00000000,S2010020067,5.260,-76.60550767,39.17631092,Ramp 2 Fr Md 270 Wb To Md 10 Nb,02000RP00010  02NNMD5         02,Anne Arundel
osm_17649690_18,1381.00000000,B2644,0.990,-75.84264334,39.31675237,Massey Galena Rd,14000MD00313  01NN**************,Kent
osm_49723185_9,12861.00000000,B120029,0.040,-76.34527532,39.53499034,Fulford Ave,12000MD00022  01EE**************,Harford
osm_1264976457_2,11300.00000000,B210063,4.396,-77.74174207,39.65316249,National Pike (wb Couplet),21000US00040  09WW**************,Washington
osm_5267231_5,5394.00000000,S2001130011,2.127,-76.75551566,39.18932228,Ramp 1 Fr Us 1 Nb To Md 100 Wb,13000RP00100  02EEMD6         01,Howard
osm_262489329_8,14335.00000000,S2011020262,2.802,-76.76374903,39.14128478,National Business Pkwy,02000CO05455  01NN**************,Anne Arundel
osm_544833008_2,7221.00000000,S2012241352,0.460,-76.70409274,39.35902844,Clarks La,24999MU02825  01NN**************,Baltimore City
osm_1513479982_2,525.00000000,S2014050533,2.126,-75.77627987,38.71334930,Smithville Rd,05000CO00167  01SS**************,Caroline
