epoch,total_loss,reconstruction_loss,contrastive_loss,tv_loss,raw_reconstruction_loss,raw_numeric_loss,raw_categorical_loss,raw_contrastive_loss,raw_tv_loss
49,0.36470409,0.21025520,0.85536173,0.15444889,1.55054149,0.82362303,0.72691846,5.48319874,0.30889778
50,0.37093240,0.21695340,0.85332451,0.15397901,1.60183253,0.87675152,0.72508101,5.44328010,0.30795802
51,0.35869929,0.20420139,0.85320368,0.15449790,1.53961993,0.81151661,0.72810333,5.44142522,0.30899580
52,0.36095893,0.20655433,0.85428956,0.15440460,1.42841992,0.70185440,0.72656553,5.46266645,0.30880921
53,0.35973638,0.20579685,0.85496912,0.15393954,1.83244396,1.10370722,0.72873674,5.47479507,0.30787908
54,0.36065060,0.20573480,0.85627644,0.15491580,1.73777636,1.01593965,0.72183672,5.50098613,0.30983160
55,0.35888140,0.20391335,0.85572475,0.15496805,1.43784468,0.71258070,0.72526398,5.49084588,0.30993610
56,0.35852316,0.20419581,0.85741016,0.15432735,1.68184136,0.95566919,0.72617217,5.52421058,0.30865469
57,0.36214967,0.20750931,0.85834356,0.15464036,1.68867157,0.96267901,0.72599257,5.54204632,0.30928073
58,0.35972279,0.20545046,0.85747633,0.15427233,1.62428720,0.90321474,0.72107247,5.52500757,0.30854467
59,0.35534243,0.20044625,0.85797553,0.15489618,1.48161292,0.75813847,0.72347446,5.53484829,0.30979236
60,0.35539956,0.20054953,0.85849912,0.15485003,1.41388892,0.69068045,0.72320848,5.54573547,0.30970006
61,0.35680124,0.20195032,0.85955118,0.15485092,1.59363618,0.87504326,0.71859293,5.56690108,0.30970184
62,0.35833486,0.20379956,0.86016798,0.15453531,1.67691719,0.95817545,0.71874173,5.57906552,0.30907062
63,0.35612929,0.20047455,0.85935345,0.15565475,1.81775815,1.09562390,0.72213425,5.56289170,0.31130949
64,0.35873151,0.20377072,0.86259218,0.15496078,1.66203098,0.94167217,0.72035882,5.62765070,0.30992157
65,0.35466847,0.19969612,0.86127513,0.15497235,1.51725385,0.79976393,0.71748993,5.60068736,0.30994470
66,0.35319508,0.19750250,0.86037570,0.15569258,1.57726135,0.86240039,0.71486095,5.58379763,0.31138516
67,0.35067044,0.19544332,0.86074956,0.15522713,1.59484838,0.87997807,0.71487031,5.59040490,0.31045425
68,0.34959261,0.19371621,0.86002827,0.15587639,1.54312655,0.83162363,0.71150292,5.57555388,0.31175278
69,0.34962389,0.19380180,0.86285437,0.15582209,1.49787714,0.78302131,0.71485583,5.63298559,0.31164417
70,0.35209287,0.19647834,0.85914894,0.15561453,1.62114832,0.91024557,0.71090275,5.55826716,0.31122906
71,0.34974740,0.19407734,0.85963580,0.15567006,1.47371474,0.76296047,0.71075428,5.56763028,0.31134011
72,0.34828514,0.19237899,0.86172027,0.15590615,1.58880479,0.87514754,0.71365724,5.60961247,0.31181229
73,0.35515846,0.19884486,0.86101489,0.15631361,1.74903763,1.03110248,0.71793515,5.59568937,0.31262722
74,0.34940605,0.19349071,0.86070059,0.15591534,1.45147040,0.73869743,0.71277297,5.58916099,0.31183067
75,0.34577163,0.18944379,0.86156570,0.15632784,1.61634672,0.89989471,0.71645202,5.60616324,0.31265568
76,0.34514067,0.18946410,0.86294907,0.15567657,1.46244820,0.75195370,0.71049450,5.63465304,0.31135314
77,0.34808079,0.19171280,0.86210188,0.15636798,1.46482793,0.75777020,0.70705772,5.61727289,0.31273596
78,0.34679636,0.19039145,0.86344104,0.15640491,1.42611660,0.71579919,0.71031740,5.64480715,0.31280982
79,0.34370035,0.18746417,0.86218927,0.15623618,1.38238904,0.67418418,0.70820485,5.61882369,0.31247236
80,0.34724837,0.19090111,0.86235528,0.15634726,1.54130267,0.82934366,0.71195900,5.62259048,0.31269452
81,0.34660497,0.19070003,0.86133996,0.15590493,1.51223907,0.80474651,0.70749257,5.60149587,0.31180987
82,0.34067118,0.18422324,0.86005963,0.15644794,1.31358413,0.60739426,0.70618987,5.57522171,0.31289588
83,0.34092329,0.18478176,0.86120834,0.15614153,1.32100821,0.61368727,0.70732094,5.59842756,0.31228306
84,0.34425656,0.18838994,0.86169034,0.15586663,1.44325050,0.73759436,0.70565614,5.60786498,0.31173325
85,0.34152743,0.18577452,0.86003019,0.15575291,1.42257186,0.71845881,0.70411305,5.57432662,0.31150582
86,0.34647050,0.18985491,0.85898880,0.15661559,1.75478667,1.04807120,0.70671547,5.55340122,0.31323118
87,0.34149388,0.18520164,0.86018867,0.15629225,1.38845560,0.68627533,0.70218027,5.57723475,0.31258450
88,0.34638651,0.18993366,0.85909617,0.15645285,1.59470021,0.88846426,0.70623594,5.55503009,0.31290571
89,0.34077241,0.18400452,0.85940406,0.15676789,1.46852215,0.76725270,0.70126945,5.56137457,0.31353577
90,0.34433978,0.18781170,0.86170375,0.15652808,1.61416566,0.91765722,0.69650845,5.60796580,0.31305616
91,0.34071822,0.18456842,0.86093359,0.15614980,1.48149172,0.78043100,0.70106072,5.59210481,0.31229960
92,0.34449444,0.18754624,0.86120987,0.15694821,1.77139503,1.06879114,0.70260389,5.59774048,0.31389642
93,0.34243226,0.18586971,0.86074621,0.15656255,1.42441906,0.72376154,0.70065751,5.58890462,0.31312510
94,0.34211578,0.18563483,0.86186679,0.15648095,1.46248111,0.76159976,0.70088135,5.61123491,0.31296191
95,0.34475794,0.18835599,0.86356229,0.15640196,1.55641112,0.85528702,0.70112410,5.64624442,0.31280391
96,0.34199525,0.18545420,0.86077014,0.15654106,1.33676040,0.64090448,0.69585592,5.58867528,0.31308212
97,0.34078729,0.18436086,0.86109553,0.15642643,1.58083366,0.88607051,0.69476315,5.59549059,0.31285285
98,0.34750470,0.19112936,0.86006871,0.15637533,1.66882321,0.97157697,0.69724624,5.57470221,0.31275067
99,0.34291003,0.18662535,0.86234252,0.15628467,1.58061973,0.88383384,0.69678588,5.62069503,0.31256935
100,0.34184430,0.18492206,0.86210653,0.15692225,1.48137496,0.78434479,0.69703017,5.61593505,0.31384449
101,0.33746320,0.18100854,0.86424083,0.15645466,1.33778881,0.64123517,0.69655363,5.65975776,0.31290931
102,0.34043409,0.18343935,0.86352248,0.15699473,1.55580946,0.85464578,0.70116369,5.64480489,0.31398947
103,0.33734526,0.18111971,0.86249987,0.15622555,1.39185409,0.69823087,0.69362321,5.62371549,0.31245110
104,0.33781134,0.18076969,0.86359431,0.15704165,1.53727098,0.84156862,0.69570235,5.64625664,0.31408331
105,0.34189511,0.18485995,0.86391243,0.15703516,1.62637087,0.93017816,0.69619270,5.65291134,0.31407032
106,0.34074357,0.18372145,0.86569425,0.15702213,1.57437753,0.88143501,0.69294252,5.69016359,0.31404425
107,0.33879981,0.18210271,0.86560330,0.15669710,1.60102570,0.91092945,0.69009625,5.68817426,0.31339420
108,0.34130973,0.18452557,0.86492989,0.15678416,1.46490789,0.77053960,0.69436829,5.67452115,0.31356833
109,0.34170791,0.18474669,0.86431237,0.15696123,1.66430349,0.96839382,0.69590968,5.66157238,0.31392245
110,0.34023622,0.18334155,0.86537544,0.15689467,1.48731584,0.79064512,0.69667072,5.68359846,0.31378934
111,0.33610646,0.17894598,0.86605664,0.15716049,1.35601550,0.66494537,0.69107013,5.69812910,0.31432097
112,0.34197140,0.18552147,0.86817741,0.15644993,1.69319435,1.00010271,0.69309164,5.74307685,0.31289987
113,0.33831674,0.18124976,0.86567294,0.15706698,1.34472779,0.65353359,0.69119420,5.68981276,0.31413396
114,0.33582282,0.17877538,0.86630870,0.15704745,1.35660527,0.66714442,0.68946086,5.70339064,0.31409490
115,0.33711435,0.17972931,0.86728395,0.15738504,1.64614873,0.95572779,0.69042094,5.72396057,0.31477008
116,0.33978746,0.18253374,0.86808084,0.15725372,1.60561341,0.91356990,0.69204351,5.74096716,0.31450745
117,0.34112200,0.18394729,0.86604214,0.15717472,1.53127475,0.84092694,0.69034781,5.69780690,0.31434944
118,0.33601531,0.17894499,0.86701482,0.15707032,1.48743641,0.80093604,0.68650037,5.71812955,0.31414064
119,0.33491097,0.17730706,0.86672712,0.15760391,1.62762660,0.93748359,0.69014301,5.71217307,0.31520782
120,0.33597954,0.17908166,0.86723594,0.15689788,1.54066396,0.85347884,0.68718512,5.72294121,0.31379576
