scenario,activity_pair,vehicle_trips,share
real,3 -> 9,10.411459050000001,5.481437202654284e-05
real,13 -> 14,9.690665730000001,5.1019530880168934e-05
real,8 -> 3,9.519048269999999,5.011599725884711e-05
real,14 -> 18,9.08428405,4.7827045481342916e-05
real,1 -> 1,8.23763793,4.336961303372559e-05
real,15 -> 6,8.0545793,4.240584380606011e-05
real,10 -> 4,8.00881465,4.2164901538629826e-05
real,2 -> 15,7.82575603,4.120113236361246e-05
real,4 -> 18,7.5511681,3.975547860108642e-05
real,14 -> 13,7.15454109,3.766731205521548e-05
real,14 -> 12,5.92652284,3.1202027133321256e-05
real,15 -> 3,5.35446465,2.8190248448229976e-05
real,8 -> 4,4.8968181,2.5780825510686576e-05
real,3 -> 13,4.02728965,2.1202921903030056e-05
real,12 -> 14,3.72219195,1.9596639944667787e-05
real,18 -> 15,3.15776121,1.6625018348021647e-05
real,12 -> 3,2.99758491,1.578172028039537e-05
real,4 -> 9,2.45603649,1.2930569791140314e-05
real,15 -> 18,1.83058621,9.637691802821725e-06
real,3 -> 12,1.83058621,9.637691802821725e-06
real,15 -> 11,1.41870431,7.469211132708605e-06
real,15 -> 13,1.35005733,7.107797705239124e-06
real,14 -> 3,1.28141034,6.746384225121526e-06
synthetic,1 -> 2,26360.39999964,0.13878254389981198
synthetic,2 -> 1,22353.19999932,0.11768539021597821
synthetic,5 -> 1,15472.11428352,0.08145776922219872
synthetic,1 -> 16,11199.3142764,0.058962281499275446
synthetic,1 -> 5,9977.79999852,0.05253123876485399
synthetic,16 -> 1,9520.5428496,0.05012386595016379
synthetic,7 -> 1,3408.79999848,0.01794669031733928
synthetic,1 -> 13,3297.3999996000002,0.01736019029324201
synthetic,2 -> 5,3294.39999996,0.01734439585985923
synthetic,5 -> 5,3211.82857068,0.016909672827997865
synthetic,1 -> 10,2970.9999996,0.015641755734983515
synthetic,13 -> 1,2918.99999964,0.015367985523706846
synthetic,6 -> 1,2870.39999952,0.015112115671569667
synthetic,10 -> 1,2862.9999996,0.015073156064971512
synthetic,1 -> 4,2577.5999994,0.013570578787794238
synthetic,1 -> 9,2488.99999944,0.013104116466124614
synthetic,16 -> 2,2479.99999968,0.013056733161553835
synthetic,2 -> 2,2388.0,0.012572370481376499
synthetic,1 -> 7,2316.399999,0.012195409954140767
synthetic,11 -> 1,2106.19999956,0.011088746525269404
synthetic,16 -> 16,2089.59999768,0.011001350640166009
synthetic,4 -> 1,2006.9999994,0.010566477197897491
synthetic,2 -> 16,1888.3999998,0.009942070525342088
synthetic,1 -> 18,1815.9999996,0.009560898152910708
synthetic,8 -> 1,1789.39999968,0.009420854160532642
synthetic,18 -> 1,1725.39999972,0.00908390620814353
synthetic,9 -> 1,1662.1999998000001,0.008751170105372505
synthetic,1 -> 6,1594.99999968,0.008397374754511038
synthetic,1 -> 3,1559.79999984,0.00821205338142357
synthetic,1 -> 11,1538.19999936,0.008098333444894058
synthetic,1 -> 12,1402.39999956,0.007383372009024522
synthetic,3 -> 1,1394.39999964,0.007341253515370744
synthetic,2 -> 7,1224.99999996,0.006449394405018139
synthetic,1 -> 14,1202.19999924,0.006329356693113829
synthetic,14 -> 1,1200.99999912,0.006323038918370808
synthetic,16 -> 5,1134.19999932,0.005971349493897828
synthetic,12 -> 1,1013.39999988,0.005335360236314179
synthetic,7 -> 2,953.39999988,0.005019471530751956
synthetic,2 -> 6,948.0,0.004991041547883133
synthetic,6 -> 2,948.0,0.004991041547883133
synthetic,10 -> 5,937.99999992,0.004938393429868244
synthetic,1 -> 8,829.99999992,0.004369793759856242
synthetic,18 -> 5,816.99999996,0.004301351207195018
synthetic,5 -> 16,707.39999976,0.0037243278373150614
synthetic,7 -> 5,687.99999996,0.003622190490236238
synthetic,2 -> 10,678.0,0.0035695423728531266
synthetic,2 -> 8,648.0,0.003411598020072015
synthetic,8 -> 5,610.39999992,0.0032136410974985033
synthetic,8 -> 2,570.0,0.003000942702841124
synthetic,5 -> 7,534.39999972,0.002813515402733391
synthetic,18 -> 2,498.0,0.0026218762561664557
synthetic,1 -> 1,474.99999984,0.0025007855848585667
synthetic,2 -> 13,450.0,0.0023691652917166768
synthetic,5 -> 2,435.99999996,0.002295457926874899
synthetic,5 -> 8,435.99999996,0.002295457926874899
synthetic,9 -> 5,423.39999996,0.002229121298706832
synthetic,5 -> 6,408.0,0.0021480431978231204
synthetic,2 -> 9,384.0,0.002021687715598231
synthetic,5 -> 10,375.0,0.0019743044097638974
synthetic,7 -> 7,374.99999964,0.001974304407868565
synthetic,13 -> 5,366.0,0.0019269211039295638
synthetic,10 -> 2,354.0,0.0018637433628171192
synthetic,5 -> 18,354.0,0.0018637433628171192
synthetic,16 -> 7,343.39999944,0.0018079363552194984
synthetic,10 -> 10,336.0,0.001768976751148452
synthetic,3 -> 5,334.99999992,0.0017637119389678968
synthetic,2 -> 11,312.0,0.0016426212689235626
synthetic,15 -> 1,307.3999998,0.0016184031337774965
synthetic,11 -> 5,294.0,0.0015478546572548957
synthetic,16 -> 6,286.9999998,0.0015110009738863405
synthetic,2 -> 18,285.99999996,0.00150573616296934
synthetic,5 -> 11,279.99999996,0.0014741472924131177
synthetic,1 -> 15,270.99999996,0.0014267639865787841
synthetic,7 -> 16,258.99999984,0.0013635862448345619
synthetic,6 -> 5,249.0,0.0013109381280832278
synthetic,13 -> 13,225.99999996,0.0011898474574071163
synthetic,10 -> 16,199.99999992,0.0010529623514528936
