scenario,rows,vehicle_trips,mean_vehicle_weight,median_vehicle_weight,weighted_mean_departure_min,weighted_mean_departure_hour,mean_vehicle_occupancy
real,28167,189940.31428397,6.743363307557425,5.67481724,809.867743307712,13.4977957217952,1.3428835161714063
synthetic,18652,189940.31424203998,10.183375200624061,12.0,814.7620222262882,13.579367037104804,1.397169204374866
