scenario,travel_mode,vehicle_trips,share
real,4,189935.01870217,0.9999721197586728
real,5,5.2955818,2.7880241327193174e-05
synthetic,4,182320.31424252,0.9598821343961248
synthetic,5,6257.99999952,0.03294719198761281
synthetic,1,858.0,0.004517208489539798
synthetic,7,276.0,0.0014530880455862288
synthetic,8,84.0,0.00044224418778711307
synthetic,2,60.0,0.0003158887055622236
synthetic,12,48.0,0.0002527109644497789
synthetic,6,24.0,0.00012635548222488945
synthetic,9,12.0,6.317774111244472e-05
