scenario,source_row,o_tpb_taz,d_tpb_taz,o_activity,d_activity,departure_time_min,travel_mode,vehicle_occupancy,person_weight,vehicle_weight_unscaled,vehicle_weight
real,7414,3091,3036,7,16,855,4,2,88.69822541,44.34911271,2.09084069
real,7415,3036,3102,16,16,965,4,4,88.69822541,22.17455635,1.04542034
real,7416,3102,3102,16,1,1015,4,2,88.69822541,44.34911271,2.09084069
real,7419,3102,3102,1,5,570,4,1,88.69822541,88.69822541,4.18168138
real,7420,3102,3102,5,1,675,4,1,88.69822541,88.69822541,4.18168138
real,7421,3102,3096,1,5,725,5,2,88.69822541,44.34911271,2.09084069
real,7422,3096,3100,5,5,740,5,2,88.69822541,44.34911271,2.09084069
real,7423,3100,3096,5,5,760,5,2,88.69822541,44.34911271,2.09084069
real,7424,3096,3091,5,7,784,5,2,88.69822541,44.34911271,2.09084069
real,7425,3091,3036,7,16,855,5,2,88.69822541,44.34911271,2.09084069
real,7426,3036,3102,16,16,965,5,4,88.69822541,22.17455635,1.04542034
real,7427,3102,3102,16,1,1015,5,2,88.69822541,44.34911271,2.09084069
real,7428,3102,1219,1,5,785,5,2,88.69822541,44.34911271,2.09084069
real,7429,1219,3102,5,1,878,5,2,88.69822541,44.34911271,2.09084069
real,7430,3102,3102,1,7,940,5,2,88.69822541,44.34911271,2.09084069
real,7431,3102,3102,7,1,1055,5,2,88.69822541,44.34911271,2.09084069
real,7432,3102,1219,1,5,785,4,2,88.69822541,44.34911271,2.09084069
real,7433,1219,3102,5,1,878,4,2,88.69822541,44.34911271,2.09084069
real,7434,3102,3102,1,7,940,4,2,88.69822541,44.34911271,2.09084069
real,7435,3102,3102,7,1,1055,4,2,88.69822541,44.34911271,2.09084069
real,7439,3091,3102,7,1,1260,4,1,179.20029951,179.20029951,8.44840527
real,7440,3102,3091,1,2,600,4,1,179.20029951,179.20029951,8.44840527
real,7442,3091,3102,7,1,1260,4,1,179.20029951,179.20029951,8.44840527
real,7443,3102,3313,1,2,480,4,1,179.20029951,179.20029951,8.44840527
real,7444,3313,3102,2,1,1020,4,1,179.20029951,179.20029951,8.44840527
real,7445,3102,3096,1,2,240,4,1,179.20029951,179.20029951,8.44840527
real,7446,3096,3102,2,1,720,4,1,179.20029951,179.20029951,8.44840527
real,7447,3102,3313,1,2,360,4,1,179.20029951,179.20029951,8.44840527
real,7448,3313,3102,2,1,900,4,1,179.20029951,179.20029951,8.44840527
real,7451,3102,3096,1,13,434,4,1,164.78113545,164.78113545,7.76861321
real,7452,3096,3102,13,2,527,4,1,164.78113545,164.78113545,7.76861321
real,7460,3102,3096,1,13,987,4,1,164.78113545,164.78113545,7.76861321
real,7461,3096,3102,13,1,1083,4,1,164.78113545,164.78113545,7.76861321
real,7462,3102,3087,1,4,610,4,1,164.78113545,164.78113545,7.76861321
real,7463,3087,3102,4,4,740,4,1,164.78113545,164.78113545,7.76861321
real,7466,3102,3090,1,8,450,4,1,88.69822541,88.69822541,4.18168138
real,7467,3090,3089,8,9,515,4,1,88.69822541,88.69822541,4.18168138
real,7468,3089,3102,9,1,590,4,1,88.69822541,88.69822541,4.18168138
real,7469,3102,1218,1,5,665,4,2,88.69822541,44.34911271,2.09084069
real,7470,1218,1218,5,7,720,5,2,88.69822541,44.34911271,2.09084069
real,7471,1218,3091,7,10,755,4,2,88.69822541,44.34911271,2.09084069
real,7472,3091,3102,10,1,790,4,2,88.69822541,44.34911271,2.09084069
real,7473,3102,3090,1,8,960,4,1,88.69822541,88.69822541,4.18168138
real,7474,3090,3102,8,1,1005,4,1,88.69822541,88.69822541,4.18168138
real,7475,3102,1218,1,5,660,5,2,88.69822541,44.34911271,2.09084069
real,7476,1218,1218,5,7,720,5,2,88.69822541,44.34911271,2.09084069
real,7477,1218,3091,7,10,755,5,2,88.69822541,44.34911271,2.09084069
real,7478,3091,3102,10,1,790,5,2,88.69822541,44.34911271,2.09084069
real,7479,656,646,1,2,405,4,1,84.67048062,84.67048062,3.99179319
real,7480,646,3102,2,1,925,4,1,84.67048062,84.67048062,3.99179319
real,7481,656,657,1,2,435,4,1,84.67048062,84.67048062,3.99179319
real,7485,656,632,1,11,1140,4,1,84.67048062,84.67048062,3.99179319
real,7486,632,656,11,1,1210,4,1,84.67048062,84.67048062,3.99179319
real,7487,3102,1018,1,2,455,4,1,113.10313981,113.10313981,5.33225204
real,7488,1018,3099,2,8,1025,4,1,113.10313981,113.10313981,5.33225204
real,7489,3099,3102,8,5,1075,4,1,113.10313981,113.10313981,5.33225204
real,7490,3102,3102,5,1,1100,4,1,113.10313981,113.10313981,5.33225204
real,7491,3102,3091,1,5,540,4,1,72.39834268,72.39834268,3.41322276
real,7492,3091,3099,5,8,620,4,1,72.39834268,72.39834268,3.41322276
real,7493,3099,3102,8,1,640,4,1,72.39834268,72.39834268,3.41322276
real,7494,3102,3096,1,5,1080,4,1,72.39834268,72.39834268,3.41322276
real,7495,3096,3102,5,1,1110,4,1,72.39834268,72.39834268,3.41322276
real,7496,3102,3088,1,3,555,4,1,60.00639810,60.00639810,2.82900403
real,7497,3088,3102,3,1,815,4,1,60.00639810,60.00639810,2.82900403
real,7498,3082,3082,1,10,560,4,1,77.10101228,77.10101228,3.63493030
real,7499,3082,3087,10,13,570,4,1,77.10101228,77.10101228,3.63493030
real,7500,3087,3082,13,5,690,4,1,77.10101228,77.10101228,3.63493030
real,7501,3082,3082,5,1,715,4,1,77.10101228,77.10101228,3.63493030
real,7502,3082,3090,1,3,510,4,1,77.10101228,77.10101228,3.63493030
real,7503,3090,3087,3,13,660,4,1,77.10101228,77.10101228,3.63493030
real,7504,3087,3082,13,1,797,4,1,77.10101228,77.10101228,3.63493030
real,7505,3082,3089,1,2,460,4,1,143.23615032,143.23615032,6.75287402
real,7506,3089,3082,2,1,960,4,1,143.23615032,143.23615032,6.75287402
real,7507,3082,3093,1,4,750,4,1,143.23615032,143.23615032,6.75287402
real,7508,3093,3082,4,1,858,4,1,143.23615032,143.23615032,6.75287402
real,7509,3082,3082,1,2,770,4,1,77.10101228,77.10101228,3.63493030
real,7510,3082,3082,2,2,810,4,1,77.10101228,77.10101228,3.63493030
real,7511,3082,3082,1,10,732,4,1,77.10101228,77.10101228,3.63493030
real,7512,3082,3082,10,10,739,4,1,77.10101228,77.10101228,3.63493030
real,7513,3082,3070,10,8,744,4,1,77.10101228,77.10101228,3.63493030
real,7514,3070,3070,8,5,774,4,1,77.10101228,77.10101228,3.63493030
real,7515,3070,3062,5,10,822,4,1,77.10101228,77.10101228,3.63493030
real,7516,3062,3062,10,10,861,4,1,77.10101228,77.10101228,3.63493030
real,7517,3062,3060,10,5,865,4,1,77.10101228,77.10101228,3.63493030
real,7518,3060,3087,5,5,901,4,1,77.10101228,77.10101228,3.63493030
real,7519,3087,3082,5,1,920,4,1,77.10101228,77.10101228,3.63493030
real,7520,3082,3096,1,2,520,4,1,143.23615032,143.23615032,6.75287402
