example_id,o_tract_fips,d_tract_fips,path_order,first_raw_position,path_occurrences,screenline_id,tract_a,tract_b,screenline_color,shared_boundary_m,is_validation_candidate,is_in_cached_validation_path,mapped_mdot_station_ids,mapped_fhwa_station_ids
8,24017851100,24033801217,4,6,1,24017850706__24017850708,24017850706,24017850708,#d62728,6316.7933126093985,True,True,B080080,
8,24017851100,24033801217,5,7,1,24017850708__24033801310,24017850708,24033801310,#9467bd,5327.198225557037,True,True,B080108,
8,24017851100,24033801217,6,8,1,24033801003__24033801310,24033801003,24033801310,#8c564b,4264.161232786063,True,True,B080108,
8,24017851100,24033801217,7,9,1,24033801003__24033801004,24033801003,24033801004,#e377c2,13755.204525514357,True,True,B3255,
8,24017851100,24033801217,8,10,1,24033801004__24033801209,24033801004,24033801209,#7f7f7f,1594.659421392268,False,False,,
8,24017851100,24033801217,9,11,1,24033801208__24033801209,24033801208,24033801209,#bcbd22,2729.866705182191,True,True,S2012161078,
8,24017851100,24033801217,10,12,1,24033801208__24033801217,24033801208,24033801217,#17becf,1569.1623586207313,True,True,S2012161069;S2012161070,
9,24003740305,24003751200,1,1,1,24003740105__24003740305,24003740105,24003740305,#1f77b4,1852.3160966450132,True,True,B0747,
9,24003740305,24003751200,2,2,1,24003740104__24003740105,24003740104,24003740105,#ff7f0e,2218.9050082215504,True,True,S2008020010,
9,24003740305,24003751200,3,3,1,24003740103__24003740104,24003740103,24003740104,#2ca02c,4343.95228419912,True,True,S2011020800;S2011020801,
9,24003740305,24003751200,4,4,1,24003740103__24003751200,24003740103,24003751200,#d62728,1754.7470082028633,True,True,B020093,
10,24003740203,24003730203,1,2,1,24003730505__24003740201,24003730505,24003740201,#1f77b4,1022.0422463001731,True,True,B0630;S2010020091;S2010020092;S2010020093,
10,24003740203,24003730203,2,3,1,24003730506__24003740201,24003730506,24003740201,#ff7f0e,1019.5950372967009,True,True,B0631;S2012021518,
10,24003740203,24003730203,3,4,1,24003730502__24003730506,24003730502,24003730506,#2ca02c,1658.3112463072187,True,True,P0038;S2011020865,P0038
10,24003740203,24003730203,4,5,1,24003730402__24003730502,24003730402,24003730502,#d62728,2620.0137992290834,True,True,B0650;P0038;S2010020139;S2010020140;S2010020141;S2010020142;S2010020143;S2010020148,P0038
10,24003740203,24003730203,5,6,1,24003730203__24003730402,24003730203,24003730402,#9467bd,605.2439768107093,True,True,B020078,
10,24003740203,24003730203,6,7,2,24003730203__24003730300,24003730203,24003730300,#8c564b,2147.4822061323443,True,True,B020078;B0755;S2011020871;S2011020872,
11,24005401503,24005411302,1,2,1,24005401504__24005401505,24005401504,24005401505,#1f77b4,2706.9205436223447,True,True,B030091,
11,24005401503,24005411302,2,4,1,24005401101__24005401301,24005401101,24005401301,#ff7f0e,2171.4650033750304,True,True,S2010030117;S2010030118;S2010030119;S2011031020,
11,24005401503,24005411302,3,5,1,24005401301__24005401302,24005401301,24005401302,#2ca02c,1549.337968098634,True,True,B1211;S2010030120;S2010030121;S2010030122;S2011031021;S2012031546,
11,24005401503,24005411302,4,6,1,24005401302__24510280401,24005401302,24510280401,#d62728,830.5981686349653,True,True,S2010030120;S2010030121;S2010030122,
11,24005401503,24005411302,5,7,1,24510280401__24510280402,24510280401,24510280402,#9467bd,1263.721322699547,True,True,S2006240059,
11,24005401503,24005411302,6,8,1,24510160802__24510280402,24510160802,24510280402,#8c564b,863.8286190268046,True,True,,
11,24005401503,24005411302,7,9,1,24510150900__24510160802,24510150900,24510160802,#e377c2,1245.1864011653563,True,True,B240112,
11,24005401503,24005411302,8,10,1,24510150600__24510150900,24510150600,24510150900,#7f7f7f,960.4880168478143,True,True,B240112,
11,24005401503,24005411302,9,11,1,24510150600__24510150702,24510150600,24510150702,#bcbd22,1481.857902930525,True,True,S2012240456,
11,24005401503,24005411302,10,13,1,24510130400__24510150400,24510130400,24510150400,#17becf,526.428857728259,True,True,B240020;B240219;B240220,
11,24005401503,24005411302,11,14,1,24510120700__24510130400,24510120700,24510130400,#aec7e8,197.8967455458707,True,True,S2010240117;S2010240118;S2010240120;S2010240121;S2010240122,
11,24005401503,24005411302,12,15,1,24510120700__24510130600,24510120700,24510130600,#ffbb78,1075.7950604668752,True,True,S2010240120;S2010240121;S2010240122,
11,24005401503,24005411302,13,16,1,24510120202__24510130600,24510120202,24510130600,#98df8a,566.7791628469844,True,True,,
11,24005401503,24005411302,14,17,1,24510120201__24510120202,24510120201,24510120202,#ff9896,1012.0171984012525,True,True,B240194;S2012241377,
11,24005401503,24005411302,15,18,1,24510090500__24510120201,24510090500,24510120201,#c5b0d5,323.54275801473307,True,True,,
11,24005401503,24005411302,16,19,1,24510090300__24510090500,24510090300,24510090500,#c49c94,1231.5975013911614,True,True,B240087;S2010240011;S2012241358,
11,24005401503,24005411302,17,20,1,24510090200__24510090300,24510090200,24510090300,#f7b6d2,744.7217037971825,True,True,B240031;S2012240296,
11,24005401503,24005411302,18,21,1,24510090200__24510270200,24510090200,24510270200,#c7c7c7,657.3204341876575,True,True,S2012240262,
11,24005401503,24005411302,19,22,1,24510270200__24510270302,24510270200,24510270302,#dbdb8d,420.7005128408032,True,True,B240155;B240156;B240158;B240159,
11,24005401503,24005411302,20,23,1,24510270102__24510270302,24510270102,24510270302,#9edae5,1017.1967517213031,True,True,B240156,
11,24005401503,24005411302,21,24,1,24510270102__24510270401,24510270102,24510270401,#393b79,976.789882067473,True,True,S2012240242,
11,24005401503,24005411302,22,25,1,24510260101__24510270401,24510260101,24510270401,#6b6ecf,1355.176853040999,True,True,B240082,
