example_id,o_tract_fips,d_tract_fips,path_order,screenline_id,screenline_color,station_id,is_fhwa_station,boundary_distance_m,boundary_centroid_distance_ratio,station_x,station_y
1,24005430101,24005430400,1,24005430101__24005430300,#1f77b4,B1167,False,37.54981691847779,0.08171559580329504,430280.1018574628,174153.2069704227
1,24005430101,24005430400,1,24005430101__24005430300,#1f77b4,S2008030085,False,57.4976485337043,0.06300926463130198,430359.76276396425,175308.65000140943
1,24005430101,24005430400,2,24005430200__24005430300,#ff7f0e,S2008030085,False,23.371880000444882,0.029864858556702175,430359.76276396425,175308.65000140943
1,24005430101,24005430400,2,24005430200__24005430300,#ff7f0e,S2017030302,False,0.5088310728649381,0.0007455539192619727,430081.77198489005,175105.83455436138
1,24005430101,24005430400,3,24005430200__24005430400,#2ca02c,B240127,False,55.88448913092455,0.06663710901778719,429412.66087096673,176437.20275224105
2,24033802901,24033806602,2,24033803100__24033803300,#ff7f0e,B160015,False,25.972494456014335,0.02132184014162335,408436.13999452564,137885.16058487108
2,24033802901,24033806602,3,24033803200__24033803300,#2ca02c,S2012161177,False,242.24332743667864,0.20502108924110163,410005.87347128557,139845.79875064356
2,24033802901,24033806602,4,24033803200__24033804101,#d62728,B160039,False,53.51399751920255,0.03932246377258084,407381.69313417474,138760.98466918478
2,24033802901,24033806602,4,24033803200__24033804101,#d62728,P0061,True,71.02764453872564,0.1266305524784152,408160.3282267023,139330.18553231124
2,24033802901,24033806602,4,24033803200__24033804101,#d62728,S2010160077,False,50.077488686004095,0.040267160408832575,407408.768584211,138885.1227301124
2,24033802901,24033806602,5,24033804101__24033804102,#9467bd,B3195,False,17.20995875785474,0.02942794838158413,408309.62795378827,140559.32222587004
2,24033802901,24033806602,5,24033804101__24033804102,#9467bd,B3196,False,67.81694594269392,0.05829364452168938,407352.8692202686,140746.97482123275
2,24033802901,24033806602,5,24033804101__24033804102,#9467bd,S1999160170,False,24.272336982257436,0.03409793270706739,408768.8489281443,140385.72403381506
2,24033802901,24033806602,5,24033804101__24033804102,#9467bd,S1999160173,False,61.42347799909583,0.08524524323713886,408724.9868455325,140312.0552004985
2,24033802901,24033806602,5,24033804101__24033804102,#9467bd,S1999160174,False,69.93164465692801,0.09928799735043936,408703.06574092637,140314.46555739423
2,24033802901,24033806602,5,24033804101__24033804102,#9467bd,S1999160176,False,29.829762544277884,0.043063732543956325,408752.254433597,140401.2639678116
2,24033802901,24033806602,5,24033804101__24033804102,#9467bd,S2010160078,False,13.447580681434314,0.019785696344367634,408710.49620996584,140405.6213153486
2,24033802901,24033806602,5,24033804101__24033804102,#9467bd,S2012161243,False,86.34270592416483,0.1405810962334245,408458.41175373935,140416.21102511598
2,24033802901,24033806602,6,24033803801__24033804102,#8c564b,B3279,False,17.28448082205965,0.020107328969496865,407737.45935528306,141203.34150787626
2,24033802901,24033806602,6,24033803801__24033804102,#8c564b,S2010160113,False,44.34487190320079,0.04155747365072445,407516.19566993276,141178.9075362214
2,24033802901,24033806602,6,24033803801__24033804102,#8c564b,S2010160114,False,32.39024640011795,0.03300574489014071,407564.2016147274,141250.74471389398
2,24033802901,24033806602,6,24033803801__24033804102,#8c564b,S2010160115,False,27.98793010973039,0.027879304350467867,407531.56877153524,141249.75675777518
2,24033802901,24033806602,6,24033803801__24033804102,#8c564b,S2010160116,False,34.65315253542957,0.03340348085302603,407555.7348722299,141184.12226481768
2,24033802901,24033806602,6,24033803801__24033804102,#8c564b,S2010160117,False,89.8967408105237,0.08080973911313599,407343.1292384996,141292.9447277455
2,24033802901,24033806602,6,24033803801__24033804102,#8c564b,S2010160118,False,84.65500926980233,0.07757861755039702,407358.33778018417,141307.9252740617
2,24033802901,24033806602,7,24033803801__24033804001,#e377c2,B3236,False,18.584007324469177,0.0322900593690673,407659.1041825295,141533.0345339247
2,24033802901,24033806602,7,24033803801__24033804001,#e377c2,S2010160115,False,93.3392123526207,0.11219801021778897,407531.56877153524,141249.75675777518
2,24033802901,24033806602,7,24033803801__24033804001,#e377c2,S2010160117,False,89.8967408105237,0.11251011044186994,407343.1292384996,141292.9447277455
2,24033802901,24033806602,7,24033803801__24033804001,#e377c2,S2010160118,False,84.1642092054542,0.10766271103270812,407358.33778018417,141307.9252740617
2,24033802901,24033806602,9,24033806601__24033806602,#bcbd22,B3267,False,16.664679256177877,0.031944276041080494,407069.2459909195,143580.9204331862
3,24033801209,24033801207,1,24033801208__24033801209,#1f77b4,S2012161078,False,66.17744651523297,0.0545129159492483,408987.80306408735,120408.95291210228
4,24510270805,24005440300,1,24510270802__24510270805,#1f77b4,S2012240274,False,97.16469268382903,0.15614576590871831,434646.8476362061,188645.07175291094
4,24510270805,24005440300,1,24510270802__24510270805,#1f77b4,S2012240275,False,32.883416341012094,0.05079908466986803,434543.00059177884,188554.48342008292
4,24510270805,24005440300,2,24510270802__24510270803,#ff7f0e,B240091,False,0.9034265303052378,0.0015944535643431003,435611.1262042251,188429.99032545203
4,24510270805,24005440300,2,24510270802__24510270803,#ff7f0e,S2012240273,False,61.203963945025286,0.08508802133563585,435316.8333101593,187525.49369917653
4,24510270805,24005440300,3,24510270702__24510270803,#2ca02c,S2009240032,False,81.45219551905447,0.09918435154752216,436676.8690208476,189045.72406938468
4,24510270805,24005440300,4,24510270701__24510270702,#d62728,S2009240032,False,82.34420239747399,0.11816513059723574,436676.8690208476,189045.72406938468
4,24510270805,24005440300,5,24510270701__24510270703,#9467bd,S2012030149,False,235.75966447258742,0.33595049917374525,437934.44366875617,189576.33767178576
4,24510270805,24005440300,6,24510270501__24510270703,#8c564b,S2012240147,False,28.669670952132694,0.038260617706412356,439126.09081029356,189255.94723104654
4,24510270805,24005440300,6,24510270501__24510270703,#8c564b,S2012240148,False,49.04440437056818,0.06158384381601276,439187.73363954184,189208.5219687704
4,24510270805,24005440300,7,24005440100__24510270501,#e377c2,B1050,False,112.5257799294518,0.11565049019655681,439345.4234895459,189531.01540586274
4,24510270805,24005440300,7,24005440100__24510270501,#e377c2,S2012240147,False,221.2383000922964,0.25130706188327345,439126.09081029356,189255.94723104654
4,24510270805,24005440300,7,24005440100__24510270501,#e377c2,S2012240148,False,229.62361581541884,0.2859721173403194,439187.73363954184,189208.5219687704
4,24510270805,24005440300,8,24005440100__24005440200,#7f7f7f,S2010030024,False,69.11965386965491,0.06612465256046156,441450.7941213095,190243.74649979433
4,24510270805,24005440300,9,24005440200__24005440300,#bcbd22,B1098,False,27.438683144408422,0.046138485106287784,441508.4085097842,189666.56099599536
4,24510270805,24005440300,9,24005440200__24005440300,#bcbd22,S2002030044,False,39.667255500183,0.05916361139914206,441572.6023112562,189502.5992416745
4,24510270805,24005440300,9,24005440200__24005440300,#bcbd22,S2002030045,False,47.070690840150014,0.06334940890329466,441825.3387065953,189314.9498328979
4,24510270805,24005440300,9,24005440200__24005440300,#bcbd22,S2010030024,False,66.50988744202726,0.12000910420887886,441450.7941213095,190243.74649979433
5,24005490602,24005491100,1,24005490602__24005491000,#1f77b4,S2012030154,False,35.96174296540031,0.06576647144157868,433767.20582781895,190083.39708649056
5,24005490602,24005491100,1,24005490602__24005491000,#1f77b4,S2017030294,False,36.48958090064454,0.0825078742502631,433718.0788209292,190200.8621632378
5,24005490602,24005491100,2,24005491000__24005491100,#ff7f0e,S2012030154,False,4.801469907613188,0.005393247595815123,433767.20582781895,190083.39708649056
6,11001010300,11001009501,1,11001001702__11001010300,#1f77b4,B150102,False,267.9424585074466,0.35088707098854927,398246.38097596186,145829.1100814894
6,11001010300,11001009501,1,11001001702__11001010300,#1f77b4,B2854,False,429.0011817346787,0.38996055983774575,398618.35761337954,145967.37602374275
7,51059420503,24033801311,4,24033801307__24033801410,#d62728,S2012161040,False,354.2319988578433,0.21551460378871767,399544.61834453855,121464.86942431756
7,51059420503,24033801311,5,24033801307__24033801313,#9467bd,B160063,False,17.76744274968537,0.01176480310591278,400643.1684388456,120394.77358941916
7,51059420503,24033801311,7,24033801311__24033801312,#e377c2,B3227,False,362.5621446309569,0.1705094517869005,402354.55906221725,114704.47271438429
7,51059420503,24033801311,7,24033801311__24033801312,#e377c2,S2017160355,False,403.0768880280503,0.16717432930948717,402291.9078010794,114389.21165385313
8,24017851100,24033801217,1,24017851002__24017851100,#1f77b4,B080103,False,2.162070904990304,0.0005198329482044787,404769.24389939354,92539.38307597331
8,24017851100,24033801217,2,24017850711__24017851500,#ff7f0e,B1776,False,0.0005117357091428558,5.934609626048263e-07,405736.027360943,105799.33221569558
8,24017851100,24033801217,3,24017850706__24017850711,#2ca02c,B1748,False,83.02467459414044,0.0422242034350862,407130.5616059393,105701.36863417194
8,24017851100,24033801217,4,24017850706__24017850708,#d62728,B080080,False,0.10699391953658854,8.602471561383376e-05,403800.64388800727,109007.55281288692
8,24017851100,24033801217,5,24017850708__24033801310,#9467bd,B080108,False,469.67011491682405,0.23575527398440124,407638.392278798,109025.91912566805
8,24017851100,24033801217,6,24033801003__24033801310,#8c564b,B080108,False,469.67011491682405,0.08346988176183644,407638.392278798,109025.91912566805
8,24017851100,24033801217,7,24033801003__24033801004,#e377c2,B3255,False,1.5512697624142786,0.0007170345625625342,411534.48942806054,114482.73980612244
8,24017851100,24033801217,9,24033801208__24033801209,#bcbd22,S2012161078,False,66.17744651523297,0.0545129159492483,408987.80306408735,120408.95291210228
8,24017851100,24033801217,10,24033801208__24033801217,#17becf,S2012161069,False,89.90166806122782,0.07358596350050785,410563.7692039851,120283.88321837503
8,24017851100,24033801217,10,24033801208__24033801217,#17becf,S2012161070,False,0.2524758353202636,0.00022296220836599882,410360.54305274144,120340.60513452331
9,24003740305,24003751200,1,24003740105__24003740305,#1f77b4,B0747,False,461.2374910041307,0.37994349182572235,424612.30420952605,161222.5628741318
9,24003740305,24003751200,2,24003740104__24003740105,#ff7f0e,S2008020010,False,150.67944129798892,0.11089595741613235,425862.35373831884,163012.31120610732
9,24003740305,24003751200,3,24003740103__24003740104,#2ca02c,S2011020800,False,81.98866143037185,0.051098762204802174,423037.9964363982,162302.9584286089
9,24003740305,24003751200,3,24003740103__24003740104,#2ca02c,S2011020801,False,99.6301190039303,0.13876571015165887,425062.4958606787,163002.15259757428
9,24003740305,24003751200,4,24003740103__24003751200,#d62728,B020093,False,58.86038161381422,0.03506368457559527,425814.1760500005,165486.08648771807
