method,rmse,mae,bias,cells,screenlines,stations,dates,fixed_temporal_factor
direct_survey,13553.173525924673,5748.785873053677,-4286.264453060796,521424,56,37,427,423
weighted_bootstrap,13880.914288906506,5756.621766336898,-4284.0839252333735,521424,56,37,427,423
bayesian_network,7038.472559879387,4951.210091121704,-4162.275473929521,521424,56,37,427,423
noncontrastive_vae,6909.702723334524,4907.187316242663,-4129.464642537848,521424,56,37,427,423
contrastive_vae,6919.88857580187,4943.363024212283,-4369.717535250841,521424,56,37,427,423
