column_a,column_b,kind_a,kind_b,real_unique_pairs,synthetic_unique_pairs,cross_marginal_overlap,total_variation_distance
license,j1_benefits_bicycle_parking,categorical,categorical,6,6,0.96754053,0.03245947
subway_access_mode,school_mode,categorical,categorical,44,41,0.96758712,0.03241288
jobs_count,j1_benefits_walking_biking,numeric,categorical,15,15,0.96758858,0.03241142
hov_used,bodytype,categorical,categorical,14,14,0.96761078,0.03238922
subway_pay,school_mode,categorical,categorical,51,43,0.96761729,0.03238271
tolltransponder,volunteer_status,categorical,categorical,6,6,0.96761913,0.03238087
j1_telecommute,school_mode,categorical,categorical,33,33,0.96767904,0.03232096
j1_telecommute,school_type,categorical,categorical,27,30,0.96781722,0.03218278
subway_pay,race_ethnicity_hispanic,categorical,categorical,17,10,0.96784158,0.03215842
smartphone,j1_benefits_walking_biking,categorical,categorical,6,6,0.96787075,0.03212925
race_ethnicity_hispanic,j1_benefits_ev_charging,categorical,categorical,6,6,0.96787559,0.03212441
tdate_dow,food_delivered,categorical,categorical,10,10,0.96789231,0.03210769
subway_used,school_mode,categorical,categorical,22,22,0.96791573,0.03208427
subway_access_mode,race_ethnicity_hispanic,categorical,categorical,12,11,0.96792061,0.03207939
subway_access_mode,j1_benefits_walking_biking,categorical,categorical,18,16,0.96792723,0.03207277
numdisabilities,volunteer_status,numeric,categorical,9,8,0.96802379,0.03197621
race_ethnicity_hispanic,volunteer_status,categorical,categorical,4,4,0.96804851,0.03195149
license,school_mode,categorical,categorical,22,22,0.96807718,0.03192282
subway_used,race_ethnicity_hispanic,categorical,categorical,4,4,0.96814956,0.03185044
j1_benefits_none,volunteer_status,categorical,categorical,6,6,0.96815112,0.03184888
transit_egress_mode,j1_telecommute,categorical,categorical,21,20,0.96822187,0.03177813
transit_egress_mode,subway_egress_mode,categorical,categorical,16,36,0.96824274,0.03175726
j1_benefits_carpool,school_type,categorical,categorical,23,29,0.96827814,0.03172186
school_type,volunteer_status,categorical,categorical,18,20,0.96827857,0.03172143
transit_access_mode,j1_telecommute,categorical,categorical,21,21,0.96830176,0.03169824
j1_workplace_loc,school_type,categorical,categorical,37,43,0.96842013,0.03157987
subway_station_board,j1_telecommute,categorical,categorical,281,238,0.96843349,0.03156651
j1_workplace_loc,j1_telecommute_days,categorical,numeric,20,26,0.96844926,0.03155074
food_delivered,j1_benefits_carpool,categorical,categorical,6,6,0.96851898,0.03148102
subway_station_exit,j1_telecommute,categorical,categorical,284,240,0.96852019,0.03147981
food_delivered,disability,categorical,categorical,4,4,0.96857040,0.03142960
race_ethnicity_hispanic,smartphone,categorical,categorical,4,4,0.96859845,0.03140155
subway_used,j1_benefits_walking_biking,categorical,categorical,6,6,0.96868283,0.03131717
transit_access_mode,hov_used,categorical,categorical,11,9,0.96873702,0.03126298
transit_egress_mode,hov_used,categorical,categorical,11,9,0.96873724,0.03126276
food_delivered,jobs_count,categorical,numeric,9,9,0.96881286,0.03118714
disability,j1_workplace_loc,categorical,categorical,10,10,0.96881368,0.03118632
j1_benefits_ev_charging,j1_benefits_none,categorical,categorical,4,9,0.96882254,0.03117746
tolltransponder,school_type,categorical,categorical,30,30,0.96882376,0.03117624
tdate_dow,j1_workplace_loc,categorical,categorical,25,25,0.96883383,0.03116617
j1_benefits_walking_biking,j1_benefits_none,categorical,categorical,4,9,0.96894880,0.03105120
j1_benefits_walking_biking,volunteer_status,categorical,categorical,6,6,0.96897430,0.03102570
food_delivered,school_freq,categorical,categorical,18,18,0.96904545,0.03095455
tdate_dow,jobs_count,categorical,numeric,28,26,0.96910957,0.03089043
license,j1_telecommute_days,categorical,numeric,12,12,0.96911114,0.03088886
smartphone,j1_benefits_none,categorical,categorical,6,6,0.96928213,0.03071787
j1_benefits_none,school_freq,categorical,categorical,27,27,0.96938857,0.03061143
j1_benefits_carpool,j1_benefits_none,categorical,categorical,4,9,0.96939072,0.03060928
subway_station_exit,subway_egress_mode,categorical,categorical,329,287,0.96941517,0.03058483
transit_egress_mode,subway_station_exit,categorical,categorical,348,277,0.96951068,0.03048932
